run-id,run-name,run-current-time,output-filepath,renderer-variant,renderer-variant-name,variable,to-use-scene,scene-path,warmup-frames,measure-frames,auto-terminate,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,renderer_name,pass_name_0,pass_name_1,pass_name_2,pass_name_3,pass_0_time_min_ms,pass_0_time_median_ms,pass_0_time_max_ms,pass_0_time_avg_ms,pass_0_time_p01_ms,pass_0_time_p10_ms,pass_0_time_p90_ms,pass_0_time_p99_ms,pass_1_time_min_ms,pass_1_time_median_ms,pass_1_time_max_ms,pass_1_time_avg_ms,pass_1_time_p01_ms,pass_1_time_p10_ms,pass_1_time_p90_ms,pass_1_time_p99_ms,pass_2_time_min_ms,pass_2_time_median_ms,pass_2_time_max_ms,pass_2_time_avg_ms,pass_2_time_p01_ms,pass_2_time_p10_ms,pass_2_time_p90_ms,pass_2_time_p99_ms,pass_3_time_min_ms,pass_3_time_median_ms,pass_3_time_max_ms,pass_3_time_avg_ms,pass_3_time_p01_ms,pass_3_time_p10_ms,pass_3_time_p90_ms,pass_3_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_run_id,param_run_name,param_run_current_time,param_output_filepath,param_renderer_variant_name,param_variable,param_to_use_scene,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_material_count,param_geometry_count,param_overdraw_count,param_z_min,param_z_max,param_xy_minmax,param_radius,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_geometry_div,param_object_count,param_alu_calc_count,param_renderer_variant,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error
207,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00207.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,4,Forward,forward,,,total,0.10899,0.10947,0.10995,0.10948,0.10902,0.10925,0.10982,0.10992,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10899,0.10947,0.10995,0.10948,0.10902,0.10925,0.10982,0.10992,147456,0,64,4,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,4,1,quad_alu_orthogonal,0,207,0,success,0,
208,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00208.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,4,ForwardPrepass,depth_prepass,forward,,total,0.05533,0.05597,0.05690,0.05600,0.05542,0.05568,0.05645,0.05664,0.10560,0.10602,0.10637,0.10602,0.10563,0.10589,0.10618,0.10634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16125,0.16198,0.16314,0.16201,0.16131,0.16163,0.16246,0.16266,147456,0,64,4,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,4,2,quad_alu_orthogonal,0,208,0,success,0,
209,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00209.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,4,VisBuf,visibility,resolve,,total,0.06032,0.06093,0.06134,0.06090,0.06042,0.06064,0.06118,0.06131,0.06842,0.06870,0.06902,0.06870,0.06845,0.06854,0.06886,0.06902,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12883,0.12963,0.13014,0.12960,0.12899,0.12925,0.12998,0.13014,147456,0,64,4,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,4,4,quad_alu_orthogonal,0,209,0,success,0,
210,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00210.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,8,Forward,forward,,,total,0.15562,0.15613,0.16742,0.15621,0.15565,0.15578,0.15642,0.15706,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15562,0.15613,0.16742,0.15621,0.15565,0.15578,0.15642,0.15706,147456,0,64,8,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,8,1,quad_alu_orthogonal,0,210,0,success,0,
211,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00211.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,8,ForwardPrepass,depth_prepass,forward,,total,0.05549,0.05600,0.05680,0.05605,0.05549,0.05568,0.05642,0.05674,0.14982,0.15040,0.15162,0.15040,0.14982,0.15002,0.15082,0.15117,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20554,0.20637,0.20778,0.20645,0.20560,0.20582,0.20720,0.20771,147456,0,64,8,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,8,2,quad_alu_orthogonal,0,211,0,success,0,
212,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00212.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,8,VisBuf,visibility,resolve,,total,0.06074,0.06122,0.06173,0.06120,0.06074,0.06096,0.06150,0.06163,0.10630,0.10656,0.10672,0.10655,0.10637,0.10646,0.10666,0.10669,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.16720,0.16778,0.16826,0.16776,0.16730,0.16742,0.16806,0.16822,147456,0,64,8,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,8,4,quad_alu_orthogonal,0,212,0,success,0,
213,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00213.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,16,Forward,forward,,,total,0.24787,0.24880,0.25005,0.24879,0.24803,0.24835,0.24925,0.24986,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.24787,0.24880,0.25005,0.24879,0.24803,0.24835,0.24925,0.24986,147456,0,64,16,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,16,1,quad_alu_orthogonal,0,213,0,success,0,
214,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00214.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,16,ForwardPrepass,depth_prepass,forward,,total,0.05555,0.05613,0.05683,0.05616,0.05565,0.05584,0.05654,0.05677,0.23824,0.23878,0.23962,0.23879,0.23837,0.23846,0.23914,0.23955,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29402,0.29498,0.29578,0.29494,0.29411,0.29446,0.29546,0.29568,147456,0,64,16,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,16,2,quad_alu_orthogonal,0,214,0,success,0,
215,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00215.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,16,VisBuf,visibility,resolve,,total,0.06077,0.06122,0.06163,0.06121,0.06077,0.06099,0.06144,0.06163,0.18758,0.18781,0.18813,0.18780,0.18758,0.18768,0.18790,0.18803,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.24848,0.24899,0.24960,0.24901,0.24848,0.24880,0.24922,0.24957,147456,0,64,16,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,16,4,quad_alu_orthogonal,0,215,0,success,0,
216,quad_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_9g12k_mf\run_00216.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,36,1,1,0,-1,1,1,0.5,64,1,1,256,1,32,Forward,forward,,,total,0.44016,0.44198,0.44429,0.44198,0.44016,0.44080,0.44339,0.44419,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44016,0.44198,0.44429,0.44198,0.44016,0.44080,0.44339,0.44419,147456,0,64,32,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,1,0,-1.0,1.0,1.0,0.5,1,1,256,1,64,36,32,1,quad_alu_orthogonal,0,216,0,success,0,
