renderer,pass,mean_ms,share_percent
Forward,forward,0.27748827067669174,100.0
Forward + Prepass,depth_prepass,0.198599022556391,44.388074996517176
Forward + Prepass,forward,0.2488162406015038,55.611925003482845
Deferred,geometry,0.28151842105263164,96.8617045219953
Deferred,lighting,0.009121127819548871,3.13829547800469
Deferred + Prepass,depth_prepass,0.22362142857142858,45.568215925590955
Deferred + Prepass,geometry,0.2580821804511278,52.59041855010715
Deferred + Prepass,lighting,0.009036315789473684,1.8413655243018787
TVB,visibility,0.31535308270676693,88.14843553296207
TVB,resolve,0.042399248120300756,11.851564467037935
TVB + G-buffer,visibility,0.32644691729323305,87.12427198181479
TVB + G-buffer,gbuffer,0.041017368421052636,10.946981493729572
TVB + G-buffer,lighting,0.007226842105263158,1.9287465244556319
