frame,TVB - Forward,TVB - Deferred,TVB + G-buffer - Deferred,Forward + Prepass - Forward,Deferred + Prepass - Deferred
0,0.06818000000000002,0.044800000000000006,0.06629999999999997,0.15220999999999996,0.18404000000000004
10,0.06880999999999993,0.04616999999999993,0.06758999999999993,0.1482,0.1845
20,0.06381000000000003,0.047250000000000014,0.06845999999999997,0.14236000000000004,0.18984999999999996
30,0.06680000000000003,0.04829,0.07000999999999996,0.14726,0.18593999999999994
40,0.06842999999999999,0.051929999999999976,0.08745999999999998,0.16532000000000002,0.19195999999999996
50,0.07244,0.05514000000000002,0.07299,0.1523,0.19766000000000006
60,0.07183,0.05606,0.07602999999999999,0.15450000000000003,0.19290999999999997
70,0.06897000000000003,0.05994000000000005,0.08174000000000003,0.14505,0.22027000000000013
80,0.09786999999999996,0.08603999999999995,0.08251000000000003,0.14850999999999998,0.19702000000000003
90,0.07763000000000003,0.061370000000000036,0.08136999999999994,0.19039999999999996,0.19512999999999997
100,0.044509999999999994,0.051090000000000024,0.07253000000000004,0.12833999999999995,0.21969
110,0.07685999999999998,0.04396,0.047819999999999974,0.18013,0.17836999999999997
120,0.05882999999999999,0.041789999999999994,0.060350000000000015,0.15963,0.21972999999999998
130,0.05782999999999999,0.04131000000000001,0.06348000000000004,0.15256999999999998,0.19263999999999998
140,0.05676000000000003,0.04165000000000002,0.06028,0.15090000000000003,0.19026999999999994
150,0.06079000000000001,0.04250000000000004,0.05976999999999999,0.15376,0.21264999999999995
160,0.06248999999999999,0.04355000000000003,0.06332000000000004,0.1563,0.1935
170,0.06309999999999999,0.04380999999999996,0.06335999999999992,0.15510999999999997,0.19467999999999996
180,0.06548999999999999,0.04620000000000002,0.06383,0.15572000000000003,0.21874000000000005
190,0.06638000000000005,0.04770000000000002,0.06691999999999998,0.15929000000000004,0.19657000000000008
200,0.06702000000000002,0.046719999999999984,0.06608999999999998,0.15935000000000005,0.22072999999999998
210,0.06761000000000006,0.04522000000000004,0.06443999999999994,0.15940000000000004,0.19429999999999997
220,0.06702999999999998,0.046729999999999994,0.06553999999999999,0.15814999999999996,0.19419999999999998
230,0.07578000000000001,0.05573,0.07455999999999996,0.1638,0.20084000000000002
240,0.08201999999999998,0.06395,0.0827,0.16305000000000003,0.19867
250,0.08376999999999996,0.06412999999999991,0.08255000000000001,0.15703,0.19597999999999993
260,0.08134999999999998,0.06464000000000003,0.08195000000000002,0.15283999999999998,0.19599000000000005
270,0.08309,0.06547999999999998,0.08312999999999998,0.15482999999999997,0.19474999999999998
280,0.07545000000000002,0.05810000000000004,0.07663999999999999,0.15459,0.1968600000000001
290,0.06584999999999996,0.045469999999999955,0.06334000000000001,0.15511999999999998,0.19206
300,0.06324999999999997,0.044269999999999976,0.06317999999999996,0.15444999999999998,0.19058999999999998
310,0.035570000000000046,0.04058000000000006,0.06045000000000006,0.13021,0.19205
320,0.05945999999999996,0.04168999999999995,0.06112999999999996,0.15365,0.19358999999999998
330,0.06394,0.04846000000000006,0.06736000000000003,0.15176999999999996,0.19696000000000002
340,0.07181999999999994,0.05026999999999998,0.06952000000000008,0.15731999999999996,0.19846000000000008
350,0.08324999999999999,0.06440999999999997,0.08671999999999996,0.15206999999999998,0.19360999999999995
360,0.06704000000000004,0.028380000000000072,0.04760000000000003,0.15321,0.20067000000000002
370,0.06285999999999997,0.04018999999999995,0.06075999999999998,0.15455000000000002,0.19264999999999993
