renderer,samples,mean_ms,median_ms,std_ms,cv_percent,min_ms,p05_ms,p95_ms,p99_ms,max_ms,mean_vs_forward_percent
Forward,133,0.27748827067669174,0.27601,0.012675472946246522,4.567931075189488,0.24257,0.253558,0.29956999999999995,0.3035684,0.31969,0.0
Deferred,133,0.2906395488721805,0.28963,0.00964866656391486,3.3198050992565427,0.26818,0.273646,0.307948,0.3102856,0.31223999999999996,4.739399673873668
TVB,133,0.3577523308270677,0.35974,0.02153658433876257,6.019970376984921,0.32267,0.32579800000000003,0.38868400000000003,0.3901548,0.39666999999999997,28.925208245610335
TVB + G-buffer,133,0.3746911278195489,0.37842,0.01948806941377115,5.201102445947585,0.34058,0.346204,0.404192,0.405652,0.41934000000000005,35.02953725064313
Forward + Prepass,133,0.44741526315789476,0.43696,0.029871074500029023,6.676364657118859,0.39466,0.406184,0.5030060000000001,0.5046084,0.5085999999999999,61.237540623541896
Deferred + Prepass,133,0.4907399248120301,0.49160999999999994,0.017830979998911353,3.633488757969146,0.44156,0.451208,0.51475,0.5277108,0.5295200000000001,76.85069124374017
