resolution,variant,renderer,pass,mean_ms,median_ms,min_ms,max_ms,p90_ms,p99_ms
640x360,8,DonutDeferredPrepass,total,0.169535,0.138745,0.038830,0.433800,0.334893,0.429004
640x360,8,DonutDeferredPrepass,depth_prepass,0.065319,0.052895,0.006610,0.188670,0.141274,0.186122
640x360,8,DonutDeferredPrepass,geometry,0.076210,0.058950,0.005950,0.215150,0.163970,0.213457
640x360,8,DonutDeferredPrepass,lighting,0.010868,0.010840,0.010450,0.011380,0.011158,0.011271
640x360,8,DonutDeferredPrepass,tonemap,0.004176,0.004065,0.003400,0.004850,0.004750,0.004804
640x360,9,DonutVisGBuffer,total,0.215219,0.188145,0.088030,0.434850,0.361552,0.434677
640x360,9,DonutVisGBuffer,visibility,0.114982,0.087345,0.010460,0.338420,0.258870,0.335435
640x360,9,DonutVisGBuffer,visutil_histogram,0.005256,0.004985,0.003730,0.007310,0.006339,0.007073
640x360,9,DonutVisGBuffer,visutil_prefix,0.001985,0.001950,0.001910,0.002110,0.002100,0.002110
640x360,9,DonutVisGBuffer,visutil_flatten,0.006215,0.006270,0.003590,0.006910,0.006777,0.006883
640x360,9,DonutVisGBuffer,gbuffer,0.041695,0.041765,0.022950,0.050840,0.046253,0.050230
640x360,9,DonutVisGBuffer,lighting,0.010173,0.010090,0.009950,0.010760,0.010499,0.010696
640x360,9,DonutVisGBuffer,tonemap,0.004244,0.004140,0.003650,0.005030,0.004710,0.005021
1920x1080,8,DonutDeferredPrepass,total,0.341813,0.323695,0.107660,0.533610,0.476576,0.533182
1920x1080,8,DonutDeferredPrepass,depth_prepass,0.090194,0.084040,0.007760,0.194570,0.150122,0.192805
1920x1080,8,DonutDeferredPrepass,geometry,0.149768,0.142290,0.005920,0.246350,0.218659,0.241518
1920x1080,8,DonutDeferredPrepass,lighting,0.068471,0.068220,0.065940,0.071770,0.070288,0.071151
1920x1080,8,DonutDeferredPrepass,tonemap,0.019668,0.020565,0.014950,0.021310,0.021068,0.021274
1920x1080,9,DonutVisGBuffer,total,0.493828,0.493100,0.179940,0.677900,0.616124,0.657935
1920x1080,9,DonutVisGBuffer,visibility,0.160576,0.146180,0.012930,0.368610,0.289368,0.366681
1920x1080,9,DonutVisGBuffer,visutil_histogram,0.021793,0.021850,0.014830,0.025450,0.023648,0.025195
1920x1080,9,DonutVisGBuffer,visutil_prefix,0.002098,0.002100,0.001930,0.002120,0.002110,0.002120
1920x1080,9,DonutVisGBuffer,visutil_flatten,0.029308,0.030320,0.017930,0.032190,0.031550,0.032172
1920x1080,9,DonutVisGBuffer,gbuffer,0.156125,0.170690,0.021060,0.194310,0.183895,0.190979
1920x1080,9,DonutVisGBuffer,lighting,0.073276,0.074245,0.065450,0.075900,0.075528,0.075827
1920x1080,9,DonutVisGBuffer,tonemap,0.018894,0.019070,0.014920,0.019570,0.019437,0.019570
