frame,visibility_ms,index_count,predicted_ms,residual_ms
2390,0.003824,0.0,-0.020462372852448923,0.024286372852448924
2320,0.0038060000000000004,0.0,-0.020462372852448923,0.024268372852448924
2350,0.0037920000000000002,0.0,-0.020462372852448923,0.024254372852448924
2310,0.003784,0.0,-0.020462372852448923,0.024246372852448923
2360,0.003778,0.0,-0.020462372852448923,0.024240372852448924
2370,0.003764,0.0,-0.020462372852448923,0.024226372852448923
2330,0.003742,0.0,-0.020462372852448923,0.024204372852448922
2340,0.003728,0.0,-0.020462372852448923,0.024190372852448922
2380,0.0037059999999999997,0.0,-0.020462372852448923,0.024168372852448924
2300,0.007235999999999999,130779.0,-0.016128643293057236,0.023364643293057236
860,0.322112,9667607.4,0.2999009573303313,0.022211042669668724
900,0.361514,10864835.4,0.33957447045500255,0.02193952954499745
2250,0.013572,384978.6,-0.007705025430055204,0.021277025430055205
890,0.36024,10864839.0,0.339574589751116,0.02066541024888402
910,0.359664,10864828.2,0.3395742318627758,0.020089768137224184
1520,0.35925599999999996,10864827.0,0.3395741920974047,0.019681807902595272
850,0.319034,9667603.2,0.29990081815153224,0.01913318184846774
880,0.357696,10864839.0,0.339574589751116,0.01812141024888403
1570,0.357654,10869039.6,0.33971378843276345,0.017940211567236575
1580,0.359972,10951032.6,0.34243085682878427,0.017541143171215745
1560,0.357018,10864828.2,0.3395742318627758,0.017443768137224203
1510,0.356814,10864824.0,0.33957409268397687,0.01723990731602315
1590,0.36011,10974487.8,0.3432081107729301,0.016901889227069866
1600,0.35961,10974497.4,0.3432084288958992,0.016401571104100787
1530,0.35509,10864822.2,0.33957403303592015,0.015515966964079864
1610,0.35827200000000003,10974504.0,0.34320864760544034,0.015063352394559693
1550,0.35437399999999997,10864827.0,0.3395741920974047,0.014799807902595274
840,0.31462599999999996,9667602.6,0.29990079826884675,0.014725201731153215
1980,0.36347,11161169.7,0.3493943399705337,0.014075660029466308
1540,0.353504,10864824.0,0.33957409268397687,0.013929907316023116
2260,0.010738000000000001,521978.4,-0.003165152186715297,0.013903152186715298
1500,0.35251,10864818.6,0.3395739137398067,0.012936086260193269
2020,0.355872,10974408.0,0.3432054663757498,0.012666533624250242
1960,0.364154,11240934.6,0.35203757401370517,0.01211642598629481
1970,0.364142,11240930.4,0.35203743483490624,0.012104565165093784
1620,0.35516800000000004,10974501.0,0.3432085481920125,0.01195945180798752
1950,0.36399600000000004,11240949.0,0.3520380511981588,0.011957948801841256
920,0.351486,10864825.2,0.339574132449348,0.011911867550652044
2010,0.355066,10974408.0,0.3432054663757498,0.011860533624250214
930,0.35103,10864821.0,0.33957399327054905,0.011456006729450963
1990,0.35464599999999996,10974408.0,0.3432054663757498,0.011440533624250182
830,0.31102799999999997,9667602.0,0.29990077838616114,0.011127221613838834
1940,0.363128,11240961.0,0.3520384488518701,0.011089551148129928
870,0.334546,10385949.0,0.32370522426661863,0.01084077573338138
2000,0.35366,10974408.0,0.3432054663757498,0.010454533624250195
940,0.34987599999999996,10864821.0,0.33957399327054905,0.010302006729450919
1490,0.34980200000000006,10864813.2,0.3395737347956366,0.010228265204363485
580,0.108442,3585789.6,0.09836283901856471,0.010079160981435284
1630,0.35328400000000004,10974495.0,0.3432083493651569,0.01007565063484317
950,0.349606,10864821.0,0.33957399327054905,0.010032006729450926
1930,0.362052,11240971.2,0.35203878685752465,0.01001321314247533
2030,0.352966,10974408.0,0.3432054663757498,0.009760533624250223
800,0.309218,9664446.6,0.29979621534276957,0.009421784657230425
2280,0.030202,1252506.0,0.021042932093417337,0.009159067906582663
810,0.30901,9667598.4,0.2999006590900478,0.00910934090995219
2240,0.029354,1232427.9,0.020377587844979728,0.008976412155020274
1640,0.352108,10974492.0,0.34320824995172905,0.008899750048270927
2290,0.029936,1252506.0,0.021042932093417337,0.008893067906582664
2160,0.32253000000000004,10082360.1,0.31364495319990904,0.008885046800091001
960,0.34811800000000004,10864818.0,0.3395738938571212,0.008544106142878816
790,0.31240199999999996,9787313.4,0.3038677519276025,0.008534248072397443
1650,0.351528,10974492.0,0.34320824995172905,0.008319750048270957
570,0.13001000000000001,4297629.9,0.12195166711540173,0.008058332884598285
1920,0.360014,11240985.6,0.3520392640419783,0.007974735958021728
820,0.30779199999999995,9667593.0,0.29990048014587767,0.007891519854122286
1010,0.307632,9667551.0,0.29989908835788803,0.007732911642111984
1670,0.35095,10974916.2,0.3432223070104242,0.007727692989575763
1350,0.215192,6881545.8,0.2075769793965185,0.007615020603481487
1480,0.347084,10864807.8,0.33957355585146654,0.007510444148533468
2060,0.350516,10974408.0,0.3432054663757498,0.007310533624250215
1660,0.350398,10974493.8,0.34320830959978577,0.0071896904002142215
1900,0.358878,11241003.0,0.3520398406398597,0.006838159360140261
1000,0.33845000000000003,10625328.6,0.33163773979614053,0.006812260203859499
2070,0.345528,10846963.8,0.338982244782734,0.006545755217266025
1910,0.358528,11240994.0,0.35203954239957624,0.006488457600423769
1680,0.35399400000000003,11108102.1,0.3476357959629639,0.00635820403703613
2200,0.155696,5132634.9,0.14962190355045518,0.006074096449544819
1330,0.170088,5573805.0,0.16424131418281807,0.005846685817181924
2190,0.192914,6266152.5,0.18718419359098706,0.005729806409012939
1690,0.357684,11241013.2,0.3520401786455143,0.005643821354485712
1700,0.357624,11241018.6,0.35204035758968444,0.005583642410315559
1890,0.357584,11241006.0,0.35203994005328754,0.005544059946712476
1470,0.345028,10864803.0,0.339573396789982,0.005454603210018005
1150,0.206012,6681090.0,0.2009343133277192,0.005077686672280812
2040,0.348236,10973341.8,0.3431701348434991,0.0050658651565008705
2180,0.201494,6549874.2,0.19658610917323546,0.004907890826764544
1710,0.356572,11241024.0,0.3520405365338545,0.004531463466145524
1720,0.35644200000000004,11241025.8,0.3520405961819112,0.004401403818088845
970,0.34395600000000004,10864786.2,0.33957284007478616,0.004383159925213875
1880,0.355394,11241012.6,0.3520401587628288,0.0033538412371711956
1460,0.34289200000000003,10864803.0,0.339573396789982,0.003318603210018034
2140,0.33400799999999997,10606616.4,0.331017658481394,0.002990341518605999
2050,0.346006,10972275.6,0.34313480331124824,0.0028711966887517426
1870,0.354652,11241019.8,0.35204039735505555,0.0026116026449444774
1730,0.354522,11241037.2,0.352040973952937,0.0024810260470630174
780,0.34094199999999997,10864798.8,0.33957325761118307,0.0013687423888169015
1860,0.353328,11241019.8,0.35204039735505555,0.00128760264494443
1020,0.30113,9667551.0,0.29989908835788803,0.001230911642111976
2130,0.32839399999999996,10491226.8,0.32719389992408443,0.0012001000759155334
330,0.163184,5522449.2,0.162539495477168,0.0006445045228319901
750,0.32071,10279200.0,0.32016779626414493,0.0005422037358550624
740,0.324822,10404744.0,0.32432804939197335,0.0004939506080266498
1450,0.340042,10864803.0,0.339573396789982,0.00046860321001801486
770,0.336776,10766673.6,0.3363216034483494,0.00045439655165063764
2230,0.069882,2713873.8,0.06946945953286249,0.00041254046713751213
1850,0.352366,11241018.0,0.35204033770699883,0.0003256622930011832
1740,0.35232399999999997,11241052.2,0.3520414710200761,0.0002825289799238684
1780,0.352248,11241054.0,0.3520415306681328,0.0002064693318671873
760,0.325504,10437937.5,0.325428009264198,7.599073580200066e-05
1340,0.180388,6060954.0,0.18038436483413134,3.635165868653978e-06
1840,0.352032,11241024.0,0.3520405365338545,-8.536533854464068e-06
1080,0.311706,10025094.6,0.3117472999827767,-4.1299982776743516e-05
1800,0.35196,11241054.0,0.3520415306681328,-8.153066813282317e-05
340,0.159626,5438616.3,0.1597614568258591,-0.00013545682585910934
1770,0.351808,11241054.0,0.3520415306681328,-0.00023353066813280865
1790,0.35171800000000003,11241054.0,0.3520415306681328,-0.00032353066813278764
1820,0.351458,11241039.6,0.3520410534836792,-0.0005830534836792078
1830,0.351444,11241032.4,0.35204081489145245,-0.0005968148914524685
720,0.332488,10673067.0,0.3332196857905133,-0.0007316857905133034
990,0.33873600000000004,10864773.0,0.33957240265570376,-0.0008364026557037274
1760,0.35116,11241054.0,0.3520415306681328,-0.0008815306681327906
1810,0.351144,11241049.8,0.3520413914893339,-0.0008973914893338764
1750,0.351138,11241054.0,0.3520415306681328,-0.0009035306681328126
1380,0.33860799999999996,10864773.6,0.33957242253838926,-0.0009644225383892979
410,0.139134,4857206.7,0.14049481638944275,-0.0013608163894427427
730,0.328862,10593060.0,0.33056842908371586,-0.0017064290837158769
1370,0.336944,10864779.0,0.3395726014825594,-0.0026286014825593895
390,0.13613999999999998,4809108.6,0.13890095072507322,-0.0027609507250732357
2150,0.335964,10839546.3,0.3387364450824244,-0.002772445082424413
1170,0.278314,9101922.0,0.28115538243454286,-0.0028413824345428496
1440,0.33645,10864798.2,0.33957323772849746,-0.00312323772849743
1400,0.336172,10864774.8,0.3395724623037605,-0.0034004623037604542
370,0.14054,4967546.1,0.1441512223823433,-0.003611222382343293
400,0.136442,4843965.0,0.14005601546034405,-0.003614015460344039
1040,0.29618,9667551.0,0.29989908835788803,-0.003719088357888034
1390,0.335636,10864773.0,0.33957240265570376,-0.003936402655703775
1360,0.294794,9634320.9,0.2987979156418439,-0.00400391564184388
2120,0.32317999999999997,10491190.8,0.32719270696295055,-0.004012706962950585
2170,0.214764,7223112.0,0.21889573498747036,-0.0041317349874703535
310,0.166586,5774538.6,0.17089318593503444,-0.00430718593503443
2080,0.318668,10364410.5,0.32299148556151336,-0.004323485561513352
350,0.154556,5419182.0,0.1591174466990338,-0.0045614466990338
1100,0.27838599999999997,9156234.0,0.28295516313197655,-0.0045691631319765835
1430,0.33493,10864791.0,0.3395729991362707,-0.004642999136270698
980,0.334746,10864773.0,0.33957240265570376,-0.0048264026557037765
420,0.137744,4924218.0,0.14271542406822346,-0.004971424068223457
360,0.152356,5369350.8,0.15746614989740695,-0.005110149897406963
1030,0.294722,9667551.0,0.29989908835788803,-0.005177088357888049
320,0.163624,5711706.0,0.16881105121987808,-0.005187051219878086
2210,0.101424,3836330.4,0.10666521226498532,-0.0052412122649853204
380,0.136592,4898302.8,0.14185665111325707,-0.0052646511132570795
2270,0.06368,2713873.8,0.06946945953286249,-0.005789459532862487
1130,0.27693399999999996,9153888.0,0.2828774218314135,-0.005943421831413553
1120,0.27695600000000004,9156234.0,0.28295516313197655,-0.005999163131976515
560,0.132652,4808830.8,0.1388917450416562,-0.006239745041656197
300,0.17487,6086332.2,0.18122534278551616,-0.006355342785516166
1110,0.276446,9156234.0,0.28295516313197655,-0.006509163131976525
1070,0.332956,10864773.0,0.33957240265570376,-0.00661640265570379
490,0.117018,4350555.0,0.12370548898514963,-0.006687488985149634
710,0.332368,10855368.0,0.33926074155945674,-0.006892741559456739
650,0.28447,9421272.6,0.2917379617097282,-0.00726796170972821
1090,0.28142,9329834.4,0.28870790007752767,-0.007287900077527665
110,0.18394,6388359.0,0.19123384928035464,-0.007293849280354647
1200,0.27367400000000003,9103005.0,0.28119127068198946,-0.00751727068198943
430,0.135002,4921590.0,0.1426283379054444,-0.007626337905444397
220,0.15912600000000002,5654925.0,0.16692945327134032,-0.007803453271340299
620,0.28717,9521362.2,0.295054711785105,-0.007884711785105025
700,0.331324,10855368.0,0.33926074155945674,-0.007936741559456728
180,0.191696,6654137.7,0.20004117315075198,-0.008345173150751978
510,0.125264,4649973.0,0.13362754556314715,-0.008363545563147168
100,0.228848,7778540.1,0.2373014054321653,-0.0084534054321653
520,0.12508,4649973.0,0.13362754556314715,-0.008547545563147158
140,0.178978,6278724.0,0.18760078556030854,-0.008622785560308543
130,0.180512,6328608.3,0.18925384197960798,-0.008741841979607978
440,0.133792,4919838.0,0.14257028046359171,-0.00877828046359172
120,0.182452,6388359.0,0.19123384928035464,-0.008781849280354637
480,0.126986,4724589.9,0.13610018616416242,-0.00911418616416243
1240,0.271978,9103039.2,0.28119240399506673,-0.009214403995066733
690,0.33004,10855368.0,0.33926074155945674,-0.009220741559456735
680,0.330144,10858885.5,0.33937730380358744,-0.009233303803587445
540,0.12420199999999999,4649973.0,0.13362754556314715,-0.009425545563147161
500,0.121256,4561743.6,0.13070381653335342,-0.009447816533353415
640,0.283504,9459631.8,0.2930091015633334,-0.009505101563333396
530,0.123896,4649973.0,0.13362754556314715,-0.009731545563147148
1250,0.27135600000000004,9100531.5,0.28110930431074366,-0.009753304310743616
1210,0.27144399999999996,9103881.0,0.2812202994029158,-0.009776299402915856
240,0.18690199999999998,6556806.0,0.19681581383957936,-0.009913813839579372
1300,0.24251399999999998,8236771.2,0.25248618022859726,-0.009972180228597277
70,0.23232599999999998,7933098.0,0.24242311564456567,-0.010097115644565696
630,0.284656,9517167.0,0.2949156920476276,-0.010259692047627555
150,0.17715,6278724.0,0.18760078556030854,-0.01045078556030854
590,0.136456,5050871.7,0.14691245022300617,-0.010456450223006175
190,0.189388,6649594.8,0.19989063139698907,-0.010502631396989065
1410,0.319054,10566703.2,0.32969502247217297,-0.010641022472172967
1180,0.270248,9097980.0,0.28102475319037434,-0.010776753190374355
170,0.185412,6548192.4,0.19653037800559398,-0.011118378005593982
90,0.23124000000000003,7933098.0,0.24242311564456567,-0.011183115644565644
1140,0.26277,8888382.0,0.27407913464160594,-0.011309134641605934
80,0.23104200000000003,7933098.0,0.24242311564456567,-0.011381115644565648
