variant,intercept_ms,slope_ms_per_alu,r2
Forward,0.1352422916666668,0.05977549529569895,0.9999554967440175
Forward+Prepass,0.32193875000000044,0.031000358870967748,0.9995319194946929
Deferred,0.16295770833333423,0.05978726276881722,0.9999497916044408
TVB,0.30077645833333355,0.02150389583333334,0.9996259561721136
Deferred+Prepass,0.3368702083333337,0.03127602889784947,0.9995136149825493
TVB+GBuffer,0.32639833333333385,0.02150068817204302,0.9995220032565557
