frame,total,geometry,lighting,tonemap,index_count
1100,2.65520,2.02552,0.42700,0.02118,4041469.80000
1110,2.66070,2.03645,0.42648,0.02079,3829725.00000
1120,2.56418,1.86724,0.42648,0.02189,3625378.80000
1130,2.57392,1.89495,0.42212,0.02151,3497889.30000
1140,2.32878,1.63275,0.42616,0.02078,2350612.80000
1150,2.18764,1.48651,0.42693,0.02113,1301457.60000
1160,2.28306,1.58622,0.42717,0.02123,1975792.50000
1170,2.58812,1.89162,0.42664,0.02107,3156324.60000
1180,2.50903,1.81078,0.42671,0.02150,3050540.40000
1190,2.53528,1.83786,0.42662,0.02166,2981322.90000
1200,2.59057,1.89508,0.42695,0.02115,2914107.30000
1210,2.63757,1.94127,0.42704,0.02149,2838095.10000
1220,2.51190,1.81514,0.42697,0.02181,2404130.40000
1230,2.50100,1.80270,0.42678,0.02138,2756329.80000
1240,2.46328,1.76638,0.42664,0.02060,3243857.10000
1250,2.40834,1.71177,0.42658,0.02070,3374841.30000
1260,2.47373,1.77726,0.42690,0.02126,2758986.60000
1270,2.19572,1.50130,0.42667,0.02110,1980257.70000
1280,2.00970,1.29838,0.42626,0.02084,1437031.50000
1290,1.30866,0.60984,0.55336,0.02098,1166351.70000
1300,1.13129,0.43691,0.65228,0.02112,1037250.60000
1310,1.28175,0.56516,0.54294,0.02020,1221641.40000
1320,1.29230,0.57834,0.50704,0.02029,759526.20000
1330,1.34609,0.60594,0.55426,0.02019,430540.20000
1340,1.46346,0.73572,0.44401,0.01891,694622.10000
1350,1.94354,1.17178,0.48128,0.01997,1566384.90000
1360,2.40676,1.71262,0.42628,0.02052,2940508.80000
1370,2.87732,2.18623,0.42629,0.02037,4580042.10000
1380,2.87818,2.18035,0.42690,0.02114,5117127.00000
1390,2.88274,2.33234,0.42702,0.02042,5701572.00000
1400,2.90420,2.44625,0.42658,0.02096,6038218.80000
1410,2.82972,2.22568,0.42336,0.02152,4462831.50000
1420,2.59527,1.91430,0.41962,0.01976,4482807.90000
1430,2.93042,2.43528,0.42327,0.01956,6096565.50000
1440,2.89405,2.39878,0.46060,0.01911,6378838.20000
1450,2.85223,2.37840,0.42245,0.01871,6844768.20000
