sweep,x_value,renderer_name,total_time_avg_ms,total_time_min_ms,total_time_max_ms,observations
material-assign-diversity,0.9,DonutDeferredPrepass,0.06234,0.06234,0.06234,1
material-assign-diversity,0.9,DonutVisGBuffer,0.11636,0.11636,0.11636,1
material-assign-diversity,0.95,DonutDeferredPrepass,0.06212,0.06212,0.06212,1
material-assign-diversity,0.95,DonutVisGBuffer,0.1164,0.1164,0.1164,1
material-assign-diversity,1.0,DonutDeferredPrepass,0.06246,0.06246,0.06246,1
material-assign-diversity,1.0,DonutVisGBuffer,0.11633,0.11633,0.11633,1
material-assign-locality,0.0,DonutDeferredPrepass,0.06207,0.06207,0.06207,1
material-assign-locality,0.0,DonutVisGBuffer,0.1164,0.1164,0.1164,1
material-assign-locality,0.05,DonutDeferredPrepass,0.06228,0.06228,0.06228,1
material-assign-locality,0.05,DonutVisGBuffer,0.11669,0.11669,0.11669,1
material-assign-locality,0.1,DonutDeferredPrepass,0.06208,0.06208,0.06208,1
material-assign-locality,0.1,DonutVisGBuffer,0.11662,0.11662,0.11662,1
material-assign-locality,0.15,DonutDeferredPrepass,0.06202,0.06202,0.06202,1
material-assign-locality,0.15,DonutVisGBuffer,0.11643,0.11643,0.11643,1
material-assign-locality,0.2,DonutDeferredPrepass,0.062,0.062,0.062,1
material-assign-locality,0.2,DonutVisGBuffer,0.11644,0.11644,0.11644,1
material-assign-locality,0.25,DonutDeferredPrepass,0.06211,0.06211,0.06211,1
material-assign-locality,0.25,DonutVisGBuffer,0.11668,0.11668,0.11668,1
material-assign-locality,0.3,DonutDeferredPrepass,0.06232,0.06232,0.06232,1
material-assign-locality,0.3,DonutVisGBuffer,0.1167,0.1167,0.1167,1
material-assign-locality,0.35,DonutDeferredPrepass,0.06233,0.06233,0.06233,1
material-assign-locality,0.35,DonutVisGBuffer,0.11688,0.11688,0.11688,1
material-assign-locality,0.4,DonutDeferredPrepass,0.06212,0.06212,0.06212,1
material-assign-locality,0.4,DonutVisGBuffer,0.11637,0.11637,0.11637,1
material-assign-locality,0.45,DonutDeferredPrepass,0.06204,0.06204,0.06204,1
material-assign-locality,0.45,DonutVisGBuffer,0.11639,0.11639,0.11639,1
material-assign-locality,0.5,DonutDeferredPrepass,0.0621,0.06199,0.06224,4
material-assign-locality,0.5,DonutVisGBuffer,0.1164075,0.11629,0.11656,4
material-assign-locality,0.55,DonutDeferredPrepass,0.06213,0.06213,0.06213,1
material-assign-locality,0.55,DonutVisGBuffer,0.11629,0.11629,0.11629,1
material-assign-locality,0.6,DonutDeferredPrepass,0.06206,0.06206,0.06206,1
material-assign-locality,0.6,DonutVisGBuffer,0.11638,0.11638,0.11638,1
material-assign-locality,0.65,DonutDeferredPrepass,0.06227,0.06227,0.06227,1
material-assign-locality,0.65,DonutVisGBuffer,0.11646,0.11646,0.11646,1
material-assign-locality,0.7,DonutDeferredPrepass,0.06211,0.06211,0.06211,1
material-assign-locality,0.7,DonutVisGBuffer,0.11632,0.11632,0.11632,1
material-assign-locality,0.75,DonutDeferredPrepass,0.0623,0.0623,0.0623,1
material-assign-locality,0.75,DonutVisGBuffer,0.11622,0.11622,0.11622,1
material-assign-locality,0.8,DonutDeferredPrepass,0.06211,0.06211,0.06211,1
material-assign-locality,0.8,DonutVisGBuffer,0.11662,0.11662,0.11662,1
material-assign-locality,0.85,DonutDeferredPrepass,0.06213,0.06213,0.06213,1
material-assign-locality,0.85,DonutVisGBuffer,0.11652,0.11652,0.11652,1
material-assign-locality,0.9,DonutDeferredPrepass,0.06215,0.06215,0.06215,1
material-assign-locality,0.9,DonutVisGBuffer,0.11654,0.11654,0.11654,1
material-assign-locality,0.95,DonutDeferredPrepass,0.06195,0.06195,0.06195,1
material-assign-locality,0.95,DonutVisGBuffer,0.11665,0.11665,0.11665,1
material-assign-locality,1.0,DonutDeferredPrepass,0.06219,0.06219,0.06219,1
material-assign-locality,1.0,DonutVisGBuffer,0.11686,0.11686,0.11686,1
material-assign-max-open,1.0,DonutDeferredPrepass,0.0621,0.0621,0.0621,1
material-assign-max-open,1.0,DonutVisGBuffer,0.11636,0.11636,0.11636,1
material-assign-max-open,2.0,DonutDeferredPrepass,0.06572,0.06572,0.06572,1
