frame,total,visibility,visibility_debug,index_count
0,0.71430,0.67507,0.02878,18152448.10000
60,0.61150,0.57875,0.02238,18586967.45000
120,0.40445,0.37976,0.01711,13912915.15000
180,0.07627,0.05765,0.01165,1334104.85000
240,0.08332,0.06435,0.01162,1563999.05000
300,0.07114,0.05278,0.01160,942806.45000
360,0.06083,0.04241,0.01161,651664.20000
420,0.05568,0.03736,0.01157,531526.60000
480,0.05344,0.03276,0.01164,335265.25000
540,0.05280,0.03435,0.01157,394504.35000
600,0.61665,0.58002,0.01740,18946657.50000
660,0.79996,0.76749,0.01815,22204983.50000
720,0.81324,0.78031,0.01799,22048389.25000
780,0.76500,0.72693,0.01829,22030151.10000
840,0.81091,0.77930,0.01754,22933227.50000
900,0.85297,0.82279,0.01791,23109201.20000
960,0.74945,0.71222,0.01819,21561609.35000
1020,0.66302,0.63223,0.01801,20587357.35000
1080,0.57405,0.54287,0.01822,19340923.10000
1140,0.34924,0.32439,0.01526,11587346.20000
1200,0.53122,0.50262,0.01765,18118567.50000
1260,0.48645,0.45938,0.01734,16796927.25000
1320,0.52226,0.49051,0.01721,17025278.05000
1380,0.72127,0.69081,0.01745,20513194.45000
1440,0.86293,0.83190,0.01742,22738668.90000
1500,0.94330,0.90381,0.01722,24340029.45000
1560,0.97829,0.94445,0.01667,25480750.30000
1620,0.99886,0.96532,0.01644,25990293.40000
1680,1.01107,0.97725,0.01626,26398667.95000
1740,1.00180,0.96607,0.01608,26393518.40000
1800,1.02520,0.99470,0.01556,26437710.30000
1860,1.03416,1.00854,0.01602,26437681.00000
1920,1.02253,0.98868,0.01665,26437617.40000
1980,0.97511,0.93646,0.01623,25454451.50000
2040,0.74670,0.70981,0.01665,22314910.70000
2100,0.51288,0.48341,0.01669,16667258.70000
2160,0.14953,0.13051,0.01201,3680024.70000
2220,0.03012,0.01214,0.01103,250198.20000
2280,0.02494,0.00647,0.01109,81778.25000
2340,0.02178,0.00308,0.01117,0.00000
2400,0.02165,0.00304,0.01117,0.00000
2460,0.02194,0.00310,0.01120,0.00000
