frame,total,visibility,visibility_debug,index_count
0,0.67501,0.63485,0.02513,18152448.10000
60,0.53087,0.50342,0.01718,18586967.45000
120,0.40382,0.38008,0.01613,13912915.15000
180,0.07589,0.05758,0.01140,1334104.85000
240,0.08304,0.06445,0.01146,1563999.05000
300,0.07143,0.05337,0.01139,942806.45000
360,0.06041,0.04240,0.01139,651664.20000
420,0.05522,0.03725,0.01135,531526.60000
480,0.05059,0.03245,0.01135,335265.25000
540,0.05294,0.03457,0.01141,394504.35000
600,0.61182,0.57989,0.01677,18946657.50000
660,0.80191,0.76768,0.01743,22204983.50000
720,0.81806,0.78122,0.01723,22048389.25000
780,0.76225,0.72708,0.01751,22030151.10000
840,0.81035,0.77650,0.01688,22933227.50000
900,0.84911,0.81687,0.01730,23109201.20000
960,0.75049,0.71289,0.01731,21561609.35000
1020,0.66474,0.63244,0.01717,20587357.35000
1080,0.57281,0.54289,0.01726,19340923.10000
1140,0.35103,0.32420,0.01473,11587346.20000
1200,0.53204,0.50273,0.01675,18118567.50000
1260,0.48291,0.45888,0.01645,16796927.25000
1320,0.51942,0.49015,0.01646,17025278.05000
1380,0.72019,0.69101,0.01670,20513194.45000
1440,0.86643,0.83278,0.01665,22738668.90000
1500,0.93499,0.90397,0.01643,24340029.45000
1560,0.98331,0.95285,0.01595,25480750.30000
1620,0.99899,0.96880,0.01560,25990293.40000
1680,1.01007,0.97495,0.01557,26398667.95000
1740,0.99601,0.96614,0.01532,26393518.40000
1800,1.02276,0.98827,0.01474,26437710.30000
1860,1.02467,0.98747,0.01523,26437681.00000
1920,1.01801,0.98226,0.01585,26437617.40000
1980,0.97312,0.93692,0.01553,25454451.50000
2040,0.74096,0.71020,0.01594,22314910.70000
2100,0.51524,0.48517,0.01595,16667258.70000
2160,0.14941,0.13052,0.01181,3680024.70000
2220,0.03032,0.01242,0.01103,250198.20000
2280,0.02470,0.00643,0.01109,81778.25000
2340,0.02178,0.00310,0.01117,0.00000
2400,0.02172,0.00311,0.01118,0.00000
2460,0.02161,0.00302,0.01118,0.00000
