frame,total,visibility,visibility_debug,index_count
0,0.23509,0.20601,0.01925,3553381.35000
60,0.25392,0.22625,0.02029,3662944.30000
120,0.17714,0.15243,0.01707,2176008.00000
180,0.11053,0.09003,0.01378,1760027.75000
240,0.20856,0.17816,0.02098,2911562.30000
300,0.23797,0.20803,0.02262,3211259.30000
360,0.23869,0.20788,0.02300,3197534.35000
420,0.15377,0.12960,0.01712,2080022.75000
480,0.16784,0.13779,0.01794,2143202.10000
540,0.19445,0.16744,0.01972,2652802.15000
600,0.18641,0.16327,0.01379,2718203.40000
660,0.10602,0.08745,0.01173,1551084.95000
720,0.14662,0.12494,0.01372,2455791.85000
780,0.13494,0.11555,0.01245,2049572.45000
840,0.08229,0.06427,0.01138,904159.35000
900,0.16872,0.14882,0.01279,2916661.70000
960,0.20418,0.18217,0.01466,3578981.25000
1020,0.16427,0.14295,0.01422,2767377.40000
1080,0.14503,0.12489,0.01300,2271770.15000
1140,0.18719,0.16572,0.01423,2903832.20000
1200,0.16449,0.14148,0.01349,2424988.15000
1260,0.13968,0.12018,0.01266,2026572.10000
1320,0.15453,0.13402,0.01267,2301510.50000
1380,0.15470,0.13411,0.01337,2404923.35000
1440,0.17244,0.14905,0.01495,2983851.65000
1500,0.29216,0.26903,0.01582,5965339.50000
1560,0.31984,0.29657,0.01565,6425388.50000
1620,0.31648,0.29322,0.01579,6351675.30000
1680,0.20940,0.18744,0.01463,3853289.10000
1740,0.10838,0.08956,0.01188,1807302.25000
1800,0.10652,0.08780,0.01149,1503980.35000
1860,0.10327,0.08496,0.01137,1304820.90000
1920,0.10309,0.08250,0.01146,1271388.55000
1980,0.09296,0.07473,0.01134,1145896.95000
2040,0.08601,0.06766,0.01138,833803.50000
2100,0.08476,0.06657,0.01144,724541.55000
2160,0.08066,0.06254,0.01144,651558.70000
2220,0.07709,0.05910,0.01139,606690.35000
2280,0.05221,0.03421,0.01129,387407.30000
2340,0.14667,0.12654,0.01317,2264677.55000
2400,0.23611,0.21332,0.01501,3983123.90000
2460,0.24162,0.21956,0.01495,4233659.50000
2520,0.21936,0.19702,0.01507,3774183.40000
2580,0.18947,0.16802,0.01417,2738790.20000
2640,0.16053,0.13821,0.01300,2234217.40000
2700,0.13235,0.11393,0.01169,1876452.05000
2760,0.11646,0.09803,0.01149,1554160.70000
2820,0.11001,0.09202,0.01136,1444209.80000
2880,0.10406,0.08360,0.01144,1270269.50000
2940,0.09086,0.07279,0.01139,1185182.60000
3000,0.20199,0.17906,0.01367,3737532.35000
3060,0.27239,0.24947,0.01547,5419981.65000
3120,0.27156,0.24643,0.01561,5328916.45000
3180,0.25554,0.23287,0.01545,4942521.95000
3240,0.23547,0.21069,0.01532,4355188.50000
3300,0.21731,0.19482,0.01516,3918437.60000
3360,0.20079,0.17864,0.01495,3488605.15000
3420,0.18062,0.15882,0.01468,3070083.20000
3480,0.17206,0.14811,0.01428,2804740.95000
3540,0.16020,0.13911,0.01401,2554279.00000
3600,0.15405,0.13306,0.01380,2404749.20000
3660,0.14678,0.12595,0.01388,2364661.40000
3720,0.14212,0.11897,0.01363,2323845.85000
3780,0.13065,0.11144,0.01226,2171285.25000
3840,0.12369,0.10468,0.01185,2069926.10000
3900,0.11105,0.09301,0.01116,1706132.85000
3960,0.10401,0.08566,0.01128,1310622.90000
4020,0.10165,0.08377,0.01124,1119696.90000
4080,0.10443,0.08631,0.01134,958432.85000
4140,0.09214,0.07429,0.01127,891260.80000
4200,0.07243,0.05441,0.01131,795127.20000
4260,0.13565,0.11630,0.01226,2716290.05000
4320,0.37127,0.34841,0.01534,7242797.15000
4380,0.32188,0.29992,0.01484,6033148.00000
4440,0.06674,0.04885,0.01117,867288.75000
4500,0.07261,0.05448,0.01128,698827.95000
4560,0.06762,0.04960,0.01119,684012.30000
4620,0.07412,0.05611,0.01127,872447.40000
4680,0.13902,0.11762,0.01266,2415162.35000
4740,0.27278,0.25088,0.01452,5264990.15000
4800,0.37595,0.35152,0.01484,7605016.10000
4860,0.35855,0.33688,0.01424,7298187.05000
4920,0.36775,0.34393,0.01421,7437915.15000
4980,0.39726,0.37524,0.01471,8149009.90000
5040,0.30385,0.28173,0.01458,5907876.05000
5100,0.32923,0.30707,0.01483,6713387.25000
5160,0.41345,0.39098,0.01515,8461629.95000
5220,0.41670,0.39429,0.01522,8496360.00000
5280,0.41505,0.39040,0.01506,8448473.20000
5340,0.32761,0.30638,0.01411,6607069.85000
5400,0.06400,0.04216,0.01097,1056943.50000
5460,0.03208,0.01437,0.01100,344217.00000
