frame,total,visibility,visibility_debug,index_count
0,0.12345,0.10278,0.01207,2955774.10000
60,0.16649,0.14278,0.01479,3390293.45000
120,0.08471,0.06581,0.01154,1763572.05000
180,0.08065,0.05869,0.01177,1334104.85000
240,0.08393,0.06521,0.01154,1563999.05000
300,0.07108,0.05293,0.01137,942806.45000
360,0.06358,0.04261,0.01158,651664.20000
420,0.05606,0.03777,0.01135,531526.60000
480,0.05120,0.03292,0.01137,335265.25000
540,0.05295,0.03462,0.01140,394504.35000
600,0.24970,0.22093,0.01932,4763095.10000
660,0.36470,0.33085,0.02529,7008309.50000
720,0.35648,0.32494,0.02356,6851715.25000
780,0.36123,0.32875,0.02267,6833477.10000
840,0.33472,0.31319,0.01417,7736553.50000
900,0.33063,0.30925,0.01393,7912527.20000
960,0.27014,0.24886,0.01398,6364935.35000
1020,0.22481,0.20306,0.01381,5390683.35000
1080,0.17608,0.15601,0.01267,4144249.10000
1140,0.11304,0.09449,0.01162,2469341.80000
1200,0.12587,0.10670,0.01186,2921893.50000
1260,0.09198,0.06952,0.01231,1600253.25000
1320,0.10823,0.08748,0.01163,1828604.05000
1380,0.22675,0.20533,0.01335,5316520.45000
1440,0.31626,0.29280,0.01391,7541994.90000
1500,0.37826,0.35605,0.01413,9143355.45000
1560,0.42631,0.40276,0.01401,10284076.30000
1620,0.44431,0.42027,0.01420,10793619.40000
1680,0.46286,0.43890,0.01429,11201993.95000
1740,0.45874,0.43478,0.01433,11196844.40000
1800,0.46395,0.44054,0.01367,11241036.30000
1860,0.46310,0.43967,0.01371,11241007.00000
1920,0.46397,0.43787,0.01408,11240943.40000
1980,0.42026,0.39769,0.01346,10257777.50000
2040,0.29538,0.27453,0.01339,7118236.70000
2100,0.20612,0.18341,0.01322,4779189.60000
2160,0.09635,0.07816,0.01141,1653801.50000
2220,0.03070,0.01216,0.01173,250198.20000
2280,0.02496,0.00656,0.01115,81778.25000
2340,0.02165,0.00308,0.01118,0.00000
2400,0.02172,0.00312,0.01115,0.00000
2460,0.02149,0.00301,0.01116,0.00000
