frame,total,visibility,gbuffer,lighting,tonemap,index_count
930,1.40953,0.50582,0.23105,0.58092,0.06827,4071835.80000
940,1.40018,0.47176,0.25232,0.58396,0.07093,3963503.10000
950,1.40626,0.45845,0.26678,0.58696,0.07248,4031704.50000
960,1.40832,0.44959,0.27417,0.58909,0.07410,3971499.00000
970,1.40872,0.44627,0.27848,0.58882,0.07338,3766537.50000
980,1.41414,0.44664,0.28344,0.58898,0.07371,3583336.20000
990,1.40210,0.43074,0.28682,0.58964,0.07409,3483438.60000
1000,1.39071,0.42187,0.28575,0.58901,0.07365,3392737.80000
1010,1.38486,0.41502,0.28793,0.58875,0.07312,3276338.40000
1020,1.38669,0.41126,0.29229,0.58931,0.07348,3129990.90000
1030,1.37282,0.39757,0.29172,0.58952,0.07367,2999856.00000
1040,1.35129,0.37780,0.28948,0.59027,0.07388,2824652.70000
1050,1.32095,0.34725,0.28890,0.59089,0.07429,2633786.40000
1060,1.32254,0.34905,0.28768,0.59148,0.07456,2547567.60000
1070,1.35478,0.37957,0.28921,0.59158,0.07464,2468410.80000
1080,1.36045,0.38942,0.28521,0.59120,0.07455,2416487.40000
1090,1.34664,0.36441,0.29607,0.59169,0.07491,2360726.40000
1100,1.36452,0.38342,0.29620,0.59171,0.07429,2341794.60000
1110,1.34269,0.36268,0.29523,0.59128,0.07460,2220366.60000
1120,1.38295,0.40200,0.29561,0.59108,0.07491,2163918.60000
1130,1.39090,0.41441,0.29056,0.59144,0.07483,2127327.30000
1140,1.40336,0.42868,0.28894,0.59152,0.07502,2131965.90000
1150,1.45715,0.47800,0.29179,0.59219,0.07535,2479488.00000
1160,1.53940,0.54936,0.30210,0.59280,0.07510,3103379.70000
1170,1.59220,0.59637,0.30799,0.59301,0.07471,3286165.20000
1180,1.57076,0.57140,0.31128,0.59251,0.07461,3223156.20000
1190,1.56543,0.56453,0.31279,0.59247,0.07456,3198838.20000
1200,1.54013,0.54112,0.31169,0.59198,0.07448,3071377.50000
1210,1.45541,0.45918,0.30998,0.59183,0.07408,2679304.50000
1220,1.41372,0.42080,0.30729,0.59145,0.07374,2262525.60000
1230,1.41672,0.42469,0.30691,0.59098,0.07373,2219412.30000
1240,1.41332,0.42306,0.30526,0.59072,0.07393,2190796.80000
1250,1.40553,0.41640,0.30415,0.59064,0.07380,2126512.20000
1260,1.39325,0.40770,0.30160,0.59013,0.07384,2051850.90000
1270,1.36980,0.38787,0.29864,0.58980,0.07344,2036807.40000
1280,1.35821,0.37773,0.29726,0.58998,0.07300,1998442.80000
1290,1.34006,0.36691,0.29184,0.58937,0.07207,1982232.90000
1300,1.32782,0.35930,0.28806,0.58895,0.07170,2002564.80000
1310,1.35993,0.38357,0.29374,0.59000,0.07270,2087533.80000
1320,1.42384,0.43948,0.29856,0.59205,0.07425,2609298.00000
1330,1.44675,0.47099,0.29005,0.59161,0.07457,2327745.60000
1340,1.41202,0.44016,0.28706,0.59130,0.07436,2212672.50000
1350,1.38800,0.41822,0.28492,0.59103,0.07418,2211165.60000
1360,1.38120,0.41048,0.28636,0.59098,0.07373,2223684.00000
1370,1.38240,0.41079,0.28756,0.59077,0.07386,2224497.30000
1380,1.37516,0.40519,0.28582,0.59095,0.07392,2203552.80000
1390,1.39576,0.42423,0.28702,0.59113,0.07412,2218140.90000
1400,1.45524,0.46893,0.29868,0.59242,0.07459,2743615.20000
1410,1.43490,0.43522,0.31127,0.59228,0.07502,2587569.90000
1420,1.41428,0.41676,0.31018,0.59210,0.07482,2402864.70000
1430,1.40855,0.40891,0.31232,0.59231,0.07478,2273796.60000
1440,1.41676,0.41632,0.31236,0.59176,0.07498,2457954.90000
1450,1.41090,0.41054,0.31296,0.59188,0.07518,2432548.20000
1460,1.42380,0.42122,0.31469,0.59187,0.07520,2864603.70000
1470,1.45192,0.44844,0.31513,0.59214,0.07514,3260834.70000
1480,1.45084,0.44460,0.31765,0.59225,0.07500,3207732.30000
1490,1.47600,0.45528,0.32024,0.59259,0.07485,3679436.10000
1500,1.58212,0.56450,0.32738,0.59271,0.07500,5085597.00000
1510,1.60672,0.59149,0.32493,0.59275,0.07474,5622743.40000
1520,1.61296,0.60080,0.32212,0.59244,0.07475,5914413.30000
1530,1.64302,0.62901,0.32351,0.59272,0.07478,6199425.90000
1540,1.68158,0.66535,0.32570,0.59290,0.07474,6501296.40000
1550,1.68954,0.67138,0.32692,0.59264,0.07497,6468561.00000
1560,1.65373,0.67039,0.29352,0.59048,0.07420,6288352.50000
1570,1.66708,0.68053,0.29738,0.59162,0.07451,6403932.00000
1580,1.67587,0.68958,0.29624,0.59152,0.07487,6489612.90000
1590,1.68325,0.69626,0.29793,0.59154,0.07489,6514984.20000
1600,1.67901,0.67436,0.31367,0.59263,0.07474,6469406.70000
1610,1.67341,0.66032,0.32174,0.59276,0.07462,6386042.70000
1620,1.66884,0.65606,0.32077,0.59306,0.07470,6346056.00000
1630,1.65729,0.64807,0.31752,0.59274,0.07497,6270661.80000
1640,1.66221,0.65392,0.31733,0.59266,0.07472,6340435.20000
1650,1.68442,0.67432,0.31854,0.59292,0.07481,6528230.70000
1660,1.68443,0.67549,0.31816,0.59254,0.07508,6445551.30000
1670,1.66181,0.65220,0.31816,0.59298,0.07458,6179116.80000
1680,1.62728,0.62418,0.31223,0.59250,0.07482,5632906.80000
1690,1.53652,0.54530,0.30213,0.59216,0.07446,4686393.30000
1700,1.47512,0.49012,0.29810,0.59098,0.07388,4134488.70000
1710,1.42481,0.44411,0.29452,0.59076,0.07367,3614263.20000
1720,1.37067,0.39099,0.28818,0.59052,0.07404,2906742.30000
1730,1.29863,0.32762,0.28575,0.59067,0.07421,2144940.30000
1740,1.29313,0.32226,0.28529,0.59077,0.07430,1997245.20000
1750,1.28231,0.31420,0.28311,0.59063,0.07442,1861532.10000
1760,1.27609,0.30943,0.28168,0.59089,0.07434,1824885.30000
1770,1.27321,0.30776,0.28075,0.59088,0.07401,1742791.50000
1780,1.27424,0.30828,0.28052,0.59085,0.07416,1709182.20000
1790,1.28380,0.31635,0.28250,0.59056,0.07457,1708177.20000
1800,1.29232,0.32274,0.28401,0.59135,0.07450,1663645.20000
1810,1.30235,0.33156,0.28528,0.59139,0.07473,1647784.20000
1820,1.30236,0.32907,0.28764,0.59126,0.07487,1503234.60000
1830,1.30404,0.32938,0.28899,0.59140,0.07476,1460679.30000
1840,1.29947,0.32758,0.28584,0.59148,0.07496,1406943.60000
1850,1.29816,0.32717,0.28552,0.59153,0.07471,1341595.20000
1860,1.29946,0.32824,0.28609,0.59133,0.07467,1311148.80000
1870,1.29955,0.32790,0.28492,0.59182,0.07500,1309605.60000
1880,1.29396,0.32383,0.28450,0.59163,0.07509,1306084.20000
1890,1.29248,0.32053,0.28534,0.59192,0.07483,1304079.60000
1900,1.28557,0.31438,0.28528,0.59179,0.07451,1300487.40000
1910,1.28085,0.30999,0.28554,0.59151,0.07463,1297519.80000
1920,1.27824,0.30557,0.28715,0.59192,0.07477,1299405.60000
1930,1.27586,0.30357,0.28712,0.59160,0.07486,1297942.80000
