scene,resolution,variant,metric,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
Bistro Interior Wine,256x144,9,V9 total,0.116534,0.121300,0.142238,0.161128,0.076800,0.167840
Bistro Interior Wine,256x144,9,V9 visibility,0.045241,0.048810,0.070940,0.088670,0.006530,0.095320
Bistro Interior Wine,256x144,9,V9 gbuffer,0.024756,0.024880,0.025658,0.025986,0.023270,0.026000
Bistro Interior Wine,1024x576,8,V8 total,0.123211,0.125920,0.155828,0.184192,0.079600,0.191450
Bistro Interior Wine,1024x576,8,V8 depth_prepass,0.031562,0.033230,0.048690,0.062101,0.009000,0.066360
Bistro Interior Wine,1024x576,8,V8 geometry,0.051235,0.049740,0.067718,0.080813,0.031030,0.083000
Bistro Interior Wine,1024x576,9,V9 total,0.201929,0.207980,0.246650,0.280857,0.150330,0.290990
Bistro Interior Wine,1024x576,9,V9 visibility,0.060757,0.063570,0.094712,0.128215,0.015690,0.139110
Bistro Interior Wine,1024x576,9,V9 gbuffer,0.058620,0.059460,0.066018,0.068630,0.033900,0.068700
Bistro Interior Wine,4096x2304,8,V8 total,0.967326,0.988600,1.071800,1.110313,0.658520,1.111780
Bistro Interior Wine,4096x2304,8,V8 depth_prepass,0.100160,0.104720,0.136938,0.159976,0.043220,0.166500
Bistro Interior Wine,4096x2304,8,V8 geometry,0.380872,0.401440,0.435996,0.465140,0.155780,0.465210
Bistro Interior Wine,4096x2304,9,V9 total,1.659263,1.679330,1.808004,1.897549,1.027680,1.920540
Bistro Interior Wine,4096x2304,9,V9 visibility,0.231566,0.232050,0.294390,0.391318,0.139830,0.420410
Bistro Interior Wine,4096x2304,9,V9 gbuffer,0.684563,0.719440,0.751180,0.752582,0.263350,0.752590
Bistro Interior Wine,8192x4608,8,V8 total,3.614067,3.686240,3.935844,4.036263,2.487350,4.038240
Bistro Interior Wine,8192x4608,8,V8 depth_prepass,0.270017,0.270170,0.371530,0.452881,0.131810,0.480940
Bistro Interior Wine,8192x4608,8,V8 geometry,1.378225,1.442660,1.552162,1.676010,0.540620,1.676340
Bistro Interior Wine,8192x4608,9,V9 total,6.412671,6.504750,6.908140,7.075560,3.852140,7.103930
Bistro Interior Wine,8192x4608,9,V9 visibility,0.747236,0.729610,0.914422,1.198173,0.449090,1.277780
Bistro Interior Wine,8192x4608,9,V9 gbuffer,2.622671,2.729940,2.874044,2.894034,0.956440,2.895090
San Miguel,16x9,8,V8 total,0.622291,0.590200,1.148322,1.249278,0.025380,1.250400
San Miguel,16x9,8,V8 depth_prepass,0.257576,0.246640,0.478892,0.530745,0.002980,0.530780
San Miguel,16x9,8,V8 geometry,0.342342,0.320680,0.647382,0.694082,0.003720,0.695560
San Miguel,16x9,9,V9 total,0.620888,0.595060,1.117864,1.193178,0.067910,1.196940
San Miguel,16x9,9,V9 visibility,0.551060,0.525360,1.046068,1.119443,0.003350,1.123060
San Miguel,16x9,9,V9 gbuffer,0.025529,0.025670,0.027252,0.027508,0.021800,0.027600
San Miguel,64x36,8,V8 total,0.655231,0.613300,1.236032,1.365032,0.025580,1.369920
San Miguel,64x36,8,V8 depth_prepass,0.279906,0.259720,0.540498,0.610591,0.003020,0.611220
San Miguel,64x36,8,V8 geometry,0.353178,0.329360,0.670956,0.728410,0.003920,0.731160
San Miguel,64x36,9,V9 total,0.633254,0.607460,1.140844,1.223508,0.068430,1.224810
San Miguel,64x36,9,V9 visibility,0.562639,0.537610,1.069480,1.147290,0.003400,1.147580
San Miguel,64x36,9,V9 gbuffer,0.026046,0.026500,0.027894,0.028074,0.021530,0.028100
San Miguel,256x144,8,V8 total,0.679654,0.631110,1.287654,1.430516,0.027990,1.441080
San Miguel,256x144,8,V8 depth_prepass,0.290762,0.266370,0.566052,0.650731,0.003330,0.655580
San Miguel,256x144,8,V8 geometry,0.365580,0.340900,0.691718,0.753096,0.004860,0.756730
San Miguel,256x144,9,V9 total,0.654339,0.627520,1.176098,1.256680,0.073330,1.256860
San Miguel,256x144,9,V9 visibility,0.577167,0.549630,1.097410,1.176952,0.003930,1.177040
San Miguel,256x144,9,V9 gbuffer,0.031791,0.031700,0.037604,0.040051,0.022860,0.040390
San Miguel,1024x576,8,V8 total,0.739192,0.706170,1.340340,1.492909,0.062600,1.499650
San Miguel,1024x576,8,V8 depth_prepass,0.300297,0.279290,0.583732,0.662568,0.004770,0.668900
San Miguel,1024x576,8,V8 geometry,0.393678,0.378750,0.711466,0.783854,0.018820,0.784400
San Miguel,1024x576,9,V9 total,0.770670,0.747580,1.289558,1.386017,0.127150,1.390100
San Miguel,1024x576,9,V9 visibility,0.609901,0.578640,1.145594,1.224578,0.008830,1.226580
San Miguel,1024x576,9,V9 gbuffer,0.073845,0.069910,0.094592,0.111277,0.041910,0.112650
San Miguel,4096x2304,8,V8 total,1.629022,1.680320,2.178656,2.295104,0.734960,2.349140
San Miguel,4096x2304,8,V8 depth_prepass,0.361694,0.342990,0.634514,0.687064,0.023170,0.687200
San Miguel,4096x2304,8,V8 geometry,0.759793,0.787280,1.047026,1.201014,0.251040,1.228980
San Miguel,4096x2304,9,V9 total,2.244604,2.303430,2.768412,2.885014,1.161570,2.941030
San Miguel,4096x2304,9,V9 visibility,0.798675,0.777230,1.337546,1.401540,0.082160,1.405020
San Miguel,4096x2304,9,V9 gbuffer,0.661474,0.668070,0.761376,0.793868,0.406300,0.798990
San Miguel,8192x4608,8,V8 total,4.647156,4.776130,5.687132,6.091483,2.922030,6.263800
San Miguel,8192x4608,8,V8 depth_prepass,0.591390,0.593630,0.905040,1.009187,0.078170,1.051370
San Miguel,8192x4608,8,V8 geometry,2.027098,1.996230,2.865398,3.086511,0.987810,3.218040
San Miguel,8192x4608,9,V9 total,6.973092,7.078860,7.674038,7.993407,4.644170,8.072730
San Miguel,8192x4608,9,V9 visibility,1.402054,1.458370,1.979092,2.178005,0.305600,2.240740
San Miguel,8192x4608,9,V9 gbuffer,2.416540,2.448980,2.655884,2.729585,1.575150,2.734900
Sponza,16x9,8,V8 total,0.185552,0.157815,0.399554,0.414490,0.019910,0.419570
Sponza,16x9,8,V8 depth_prepass,0.080048,0.067240,0.181085,0.188468,0.001080,0.190370
Sponza,16x9,8,V8 geometry,0.085500,0.071150,0.194867,0.204063,0.000550,0.207220
Sponza,16x9,9,V9 total,0.196724,0.176080,0.380174,0.388472,0.062040,0.389620
Sponza,16x9,9,V9 visibility,0.128872,0.109025,0.304446,0.311746,0.000860,0.312980
Sponza,16x9,9,V9 gbuffer,0.023323,0.023115,0.025858,0.026045,0.018710,0.026070
Sponza,64x36,8,V8 total,0.211349,0.164765,0.478337,0.496625,0.020410,0.497220
Sponza,64x36,8,V8 depth_prepass,0.091276,0.069990,0.222314,0.230604,0.001420,0.231030
Sponza,64x36,8,V8 geometry,0.099973,0.075260,0.234606,0.244829,0.000550,0.245120
Sponza,64x36,9,V9 total,0.207978,0.184245,0.404179,0.411743,0.062000,0.413170
Sponza,64x36,9,V9 visibility,0.136895,0.114165,0.329059,0.335913,0.001190,0.337610
Sponza,64x36,9,V9 gbuffer,0.026380,0.026960,0.028279,0.036318,0.018920,0.037470
Sponza,256x144,8,V8 total,0.229281,0.194415,0.512215,0.523278,0.021110,0.525500
Sponza,256x144,8,V8 depth_prepass,0.093026,0.071190,0.231598,0.239000,0.001590,0.239250
Sponza,256x144,8,V8 geometry,0.114971,0.101890,0.255455,0.260303,0.000770,0.260820
Sponza,256x144,9,V9 total,0.263585,0.263005,0.426821,0.435472,0.063710,0.437370
Sponza,256x144,9,V9 visibility,0.144891,0.124010,0.339225,0.343863,0.001320,0.343900
Sponza,256x144,9,V9 gbuffer,0.072531,0.057705,0.151746,0.197142,0.019070,0.213710
Sponza,1024x576,8,V8 total,0.397185,0.399380,0.653914,0.697841,0.041720,0.698690
Sponza,1024x576,8,V8 depth_prepass,0.094553,0.075840,0.230859,0.238459,0.001570,0.238480
Sponza,1024x576,8,V8 geometry,0.258909,0.265110,0.395518,0.446441,0.001430,0.465190
