rank,gap_series,stat,mean_pearson,pearson_alu_5,pearson_alu_10,pearson_alu_20,min_pearson,max_pearson
1,Forward - Forward+Prepass,quad_covered_lanes,0.8175820527346435,0.7430874780185446,0.8438683006396107,0.8657903795457746,0.7430874780185446,0.8657903795457746
2,Forward - Forward+Prepass,total_fragments,0.8175820527311252,0.7430874780494121,0.8438683005984718,0.8657903795454917,0.7430874780494121,0.8657903795454917
3,Forward - Forward+Prepass,quad_instances,0.7883371161299163,0.6909153984617167,0.8188055796726236,0.8552903702554084,0.6909153984617167,0.8552903702554084
4,Forward - Forward+Prepass,overdraw_extra,0.7875925442708723,0.7086644833751514,0.8142664160996781,0.8398467333377873,0.7086644833751514,0.8398467333377873
5,Forward - Forward+Prepass,covered_pixels,0.73280344749467,0.732132714084083,0.7438947519478278,0.7223828764520991,0.7223828764520991,0.7438947519478278
6,Forward - Forward+Prepass,avg_overdraw,0.5978272557928511,0.4959110937435015,0.6256894320041113,0.6718812416309403,0.4959110937435015,0.6718812416309403
7,Forward - Forward+Prepass,quad_waste_lanes,0.5602360798693136,0.4108549389375871,0.597931111830743,0.6719221888396105,0.4108549389375871,0.6719221888396105
8,Forward - Forward+Prepass,quad_efficiency,0.47766667363105125,0.5449282734718649,0.47060628588834613,0.41746546153294267,0.41746546153294267,0.5449282734718649
9,Forward+Prepass - TVB,covered_pixels,0.2849254752206639,0.015892660178978387,0.3548257952898186,0.48405797019319474,0.015892660178978387,0.48405797019319474
10,Forward - Forward+Prepass,max_overdraw,0.27960985638689373,0.1410298347770019,0.31774074318953976,0.38005899119413955,0.1410298347770019,0.38005899119413955
11,Forward+Prepass - TVB,quad_covered_lanes,0.1862894852253033,0.10059098159970058,0.19360155257262332,0.26467592150358604,0.10059098159970058,0.26467592150358604
12,Forward+Prepass - TVB,total_fragments,0.18628948510729396,0.10059098146110625,0.19360155248421398,0.26467592137656165,0.10059098146110625,0.26467592137656165
13,Forward+Prepass - TVB,quad_instances,0.17586284029501345,0.09930154956699708,0.17381199042433493,0.2544749808937084,0.09930154956699708,0.2544749808937084
14,Forward+Prepass - TVB,overdraw_extra,0.16666861057441226,0.10495279545215343,0.1668448928990592,0.22820814337202414,0.10495279545215343,0.22820814337202414
15,Forward+Prepass - TVB,quad_efficiency,0.11786895690477743,-0.07721835084134454,0.18505246565322675,0.24577275590245007,-0.07721835084134454,0.24577275590245007
16,Forward+Prepass - TVB,quad_waste_lanes,0.11319281084366277,0.0777995560809521,0.08323191857521392,0.17854695787482228,0.0777995560809521,0.17854695787482228
17,Forward+Prepass - TVB,avg_overdraw,0.07240212888275771,0.09328176427870868,0.04806097221408816,0.07586365015547632,0.04806097221408816,0.09328176427870868
18,Forward - Forward+Prepass,rasterized_triangles,0.030409943116898153,-0.14664387488633462,0.06416533590815202,0.17370836832887707,-0.14664387488633462,0.17370836832887707
19,Forward - Forward+Prepass,triangle_count,0.026011959051854227,-0.19258978032178384,0.06854190096544965,0.20208375651189686,-0.19258978032178384,0.20208375651189686
20,Forward+Prepass - TVB,skipped_triangles,0.025791897044922425,0.3198558444026553,-0.07170498380480692,-0.1707751694630811,-0.1707751694630811,0.3198558444026553
21,Forward - Forward+Prepass,skipped_triangles,0.024302009567706322,-0.1917031098782511,0.06643042699139787,0.1981787115899722,-0.1917031098782511,0.1981787115899722
22,Forward+Prepass - TVB,triangle_count,-0.003845305105036889,0.2715304744998822,-0.10180921805343907,-0.18125717176155381,-0.18125717176155381,0.2715304744998822
23,Forward+Prepass - TVB,max_overdraw,-0.0921740578868334,-0.10926779836535347,-0.14225828762823428,-0.024996087666912456,-0.14225828762823428,-0.024996087666912456
24,Forward+Prepass - TVB,rasterized_triangles,-0.2004349162635899,-0.12382447149729918,-0.27513447544811476,-0.20234580184535575,-0.27513447544811476,-0.12382447149729918
