frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
127,1235074,5862746,2073600,3789146,2.827327,11,256661,978413,1933011,5862746,1869298,0.758240
128,1235074,5907960,2073600,3834360,2.849132,11,257589,977485,1950524,5907960,1894136,0.757227
129,1291956,5958869,2073600,3885269,2.873683,12,258329,1033627,1973376,5958869,1934635,0.754908
130,1303128,6025823,2073599,3952224,2.905973,12,260239,1042889,1996693,6025823,1960949,0.754475
131,1303128,6012464,2073600,3938864,2.899529,11,259894,1043234,1983950,6012464,1923336,0.757638
132,1303128,5988922,2073600,3915322,2.888176,11,259345,1043783,1981901,5988922,1938682,0.755452
133,1297542,5967789,2073599,3894190,2.877986,12,259280,1038262,1973937,5967789,1927959,0.755823
134,1297542,5959411,2073600,3885811,2.873944,12,257847,1039695,1971287,5959411,1925737,0.755777
135,1291956,5941985,2073600,3868385,2.865541,12,258043,1033913,1963343,5941985,1911387,0.756616
136,1291954,5925334,2073600,3851734,2.857511,12,257497,1034457,1958085,5925334,1907006,0.756522
137,1291930,5911747,2073600,3838147,2.850958,12,256430,1035500,1957557,5911747,1918481,0.754990
138,1235050,5897366,2073600,3823766,2.844023,12,255862,979188,1949197,5897366,1899422,0.756384
139,1235050,5887380,2073599,3813781,2.839209,12,256819,978231,1945824,5887380,1895916,0.756412
140,1234730,5882706,2073600,3809106,2.836953,11,256148,978582,1945435,5882706,1899034,0.755963
141,1234730,5878234,2073600,3804634,2.834796,11,255842,978888,1945824,5878234,1905062,0.755237
142,1234730,5877131,2073598,3803533,2.834267,12,255620,979110,1941704,5877131,1889685,0.756698
143,1234730,5870913,2073599,3797314,2.831267,11,254496,980234,1940400,5870913,1890687,0.756405
144,1206912,5880097,2073600,3806497,2.835695,12,255191,951721,1940857,5880097,1883331,0.757410
145,1206912,5881100,2073599,3807501,2.836180,12,254964,951948,1943010,5881100,1890940,0.756700
146,1206912,5874904,2073600,3801304,2.833191,12,253844,953068,1941344,5874904,1890472,0.756551
147,1206912,5875350,2073600,3801750,2.833406,11,254526,952386,1935262,5875350,1865698,0.758986
148,1206844,5880560,2073600,3806960,2.835918,11,253992,952852,1937710,5880560,1870280,0.758700
149,1206844,5886069,2073600,3812469,2.838575,11,253560,953284,1943114,5886069,1886387,0.757298
150,1205169,5893102,2073600,3819502,2.841967,12,253084,952085,1941716,5893102,1873762,0.758749
151,1198835,5895516,2073600,3821916,2.843131,11,251927,946908,1939519,5895516,1862560,0.759920
152,1198835,5897575,2073600,3823975,2.844124,11,249922,948913,1937577,5897575,1852733,0.760947
153,1198835,5914018,2073600,3840418,2.852053,12,249190,949645,1940818,5914018,1849254,0.761795
154,1198835,5919110,2073598,3845512,2.854512,11,247093,951742,1937999,5919110,1832886,0.763559
155,1161925,5925633,2073599,3852034,2.857656,11,244470,917455,1927491,5925633,1784331,0.768568
156,1161557,5938336,2073598,3864738,2.863784,11,243059,918498,1926514,5938336,1767720,0.770606
157,1161557,5913891,2073598,3840293,2.851995,11,238102,923455,1917398,5913891,1755701,0.771083
158,1161557,5920525,2073599,3846926,2.855193,11,234768,926789,1907458,5920525,1709307,0.775971
159,1161169,5932547,2073600,3858947,2.860989,12,230973,930196,1907195,5932547,1696233,0.777653
160,1156762,5945857,2073599,3872258,2.867409,11,224661,932101,1905885,5945857,1677683,0.779934
161,1151176,5896826,2073600,3823226,2.843763,10,217969,933207,1881798,5896826,1630366,0.783403
162,1115763,5870627,2073600,3797027,2.831128,10,210607,905156,1867400,5870627,1598973,0.785936
163,1114723,5826301,2073600,3752701,2.809752,11,202925,911798,1836851,5826301,1521103,0.792974
164,1109137,5789107,2073599,3715508,2.791816,10,196847,912290,1825802,5789107,1514101,0.792680
165,1109137,5700131,2073599,3626532,2.748907,10,190523,918614,1791929,5700131,1467585,0.795251
166,1109137,5556570,2073600,3482970,2.679673,10,183978,925159,1742814,5556570,1414686,0.797069
167,1082107,5412237,2073600,3338637,2.610068,9,177843,904264,1699963,5412237,1387615,0.795935
168,1076299,5325522,2073600,3251922,2.568249,10,171829,904470,1670432,5325522,1356206,0.797028
169,844925,5213007,2073600,3139407,2.513989,10,167216,677709,1633397,5213007,1320581,0.797878
170,844925,5059928,2073600,2986328,2.440166,10,163551,681374,1589627,5059928,1298580,0.795773
171,840745,4972077,2073599,2898478,2.397801,10,160401,680344,1565358,4972077,1289355,0.794080
172,840745,4900983,2073600,2827383,2.363514,9,157316,683429,1547662,4900983,1289665,0.791675
173,834937,4896872,2073600,2823272,2.361532,9,153996,680941,1540269,4896872,1264204,0.794808
174,831197,4899287,2073600,2825687,2.362696,9,150246,680951,1539444,4899287,1258489,0.795626
175,743098,4899627,2073599,2826028,2.362861,9,146988,596110,1537377,4899627,1249881,0.796751
176,718942,4904551,2073600,2830951,2.365235,9,144133,574809,1533242,4904551,1228417,0.799703
177,718942,4911174,2073600,2837574,2.368429,9,142283,576659,1531554,4911174,1215042,0.801665
178,691124,4918420,2073600,2844820,2.371923,9,140286,550838,1534488,4918420,1219532,0.801313
179,666968,4923672,2073599,2850073,2.374457,11,138357,528611,1531342,4923672,1201696,0.803817
180,661328,4931763,2073600,2858163,2.378358,10,136326,525002,1535541,4931763,1210401,0.802936
181,661328,4929942,2073600,2856342,2.377480,10,135334,525994,1528102,4929942,1182466,0.806547
182,654994,4936408,2073600,2862808,2.380598,10,135222,519772,1536223,4936408,1208484,0.803335
183,654994,4940204,2073600,2866604,2.382429,10,134322,520672,1534222,4940204,1196684,0.805001
184,654990,4941738,2073600,2868138,2.383168,11,133661,521329,1533873,4941738,1193754,0.805435
185,654990,4945893,2073600,2872293,2.385172,10,133043,521947,1533101,4945893,1186511,0.806518
186,654982,4947351,2073599,2873752,2.385876,10,132315,522667,1533162,4947351,1185297,0.806723
187,649762,4954043,2073600,2880443,2.389103,10,132362,517400,1536263,4954043,1191009,0.806184
188,649762,4956762,2073599,2883163,2.390415,10,131310,518452,1534349,4956762,1180634,0.807633
189,592349,4960774,2073600,2887174,2.392349,10,130946,461403,1537431,4960774,1188950,0.806666
190,592349,4967143,2073600,2893543,2.395420,10,130606,461743,1534847,4967143,1172245,0.809062
191,592349,4971087,2073600,2897487,2.397322,10,129768,462581,1540713,4971087,1191765,0.806621
192,592349,4970653,2073600,2897053,2.397113,11,128978,463371,1537390,4970653,1178907,0.808294
193,592349,4978059,2073600,2904459,2.400684,10,127488,464861,1534656,4978059,1160565,0.810941
194,553755,4980781,2073600,2907181,2.401997,10,127148,426607,1538756,4980781,1174243,0.809222
195,553763,4987779,2073600,2914179,2.405372,10,125850,427913,1534857,4987779,1151649,0.812418
196,553725,4997003,2073600,2923403,2.409820,11,125234,428491,1534985,4997003,1142937,0.813852
197,553725,5007538,2073600,2933938,2.414901,12,124524,429201,1540619,5007538,1154938,0.812585
198,551245,5012450,2073600,2938850,2.417269,10,123632,427613,1539188,5012450,1144302,0.814139
199,549468,5020058,2073599,2946459,2.420940,10,122402,427066,1539172,5020058,1136630,0.815383
