rank,gap_series,stat,mean_pearson,pearson_alu_5,pearson_alu_10,pearson_alu_20,min_pearson,max_pearson
1,Forward - Forward+Prepass,quad_covered_lanes,0.8175820527346435,0.7430874780185446,0.8438683006396107,0.8657903795457746,0.7430874780185446,0.8657903795457746
2,Forward - Forward+Prepass,total_fragments,0.8175820527311252,0.7430874780494121,0.8438683005984718,0.8657903795454917,0.7430874780494121,0.8657903795454917
3,Forward - Forward+Prepass,quad_instances,0.7883371161299163,0.6909153984617167,0.8188055796726236,0.8552903702554084,0.6909153984617167,0.8552903702554084
4,Forward - Forward+Prepass,overdraw_extra,0.7875925442708723,0.7086644833751514,0.8142664160996781,0.8398467333377873,0.7086644833751514,0.8398467333377873
5,Forward - Forward+Prepass,covered_pixels,0.73280344749467,0.732132714084083,0.7438947519478278,0.7223828764520991,0.7223828764520991,0.7438947519478278
