megapixels,param_material_assign_locality,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
0.5184,0.0,0.13347,0.18818,0.7092677223934531,-29.073227760654685
0.5184,0.5,0.11913,0.18101,0.658140434230153,-34.1859565769847
0.5184,1.0,0.09875,0.17132,0.5764067242586972,-42.359327574130276
0.9216,0.0,0.17589,0.24056,0.731168939142002,-26.883106085799803
0.9216,0.5,0.1622,0.2335,0.6946466809421842,-30.535331905781582
0.9216,1.0,0.13966,0.22236,0.6280805900341788,-37.19194099658212
1.44,0.0,0.22999,0.31355,0.7335034284803061,-26.649657151969386
1.44,0.5,0.21665,0.30789,0.7036603981941603,-29.633960180583973
1.44,1.0,0.19023,0.30112,0.6317414984059512,-36.82585015940488
2.0736,0.0,0.29255,0.4275,0.6843274853801169,-31.56725146198831
2.0736,0.5,0.27909,0.40645,0.6866527248124001,-31.334727518759987
2.0736,1.0,0.25244,0.38038,0.6636521373363479,-33.63478626636521
3.6864,0.0,0.44732,0.64367,0.6949523824319915,-30.504761756800846
3.6864,0.5,0.43315,0.62206,0.69631546796129,-30.368453203871006
3.6864,1.0,0.40493,0.59742,0.6777978641491749,-32.22021358508251
5.76,0.0,0.64594,0.92937,0.6950299665364709,-30.497003346352912
5.76,0.5,0.62999,0.92713,0.6795055709555294,-32.049442904447055
5.76,1.0,0.59943,0.8791,0.6818678193607098,-31.813218063929018
8.2944,0.0,0.87608,1.29032,0.6789633579267159,-32.10366420732841
8.2944,0.5,0.85883,1.27062,0.6759141206655018,-32.408587933449816
8.2944,1.0,0.82249,1.23173,0.6677518612033482,-33.224813879665184
