frame,total,depth_prepass,geometry,lighting,tonemap,index_count,renderer,scene,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
900,2.26277,,,0.09245,0.04312,7912527.2,VisBuf,Sponza,0.35973,0.02915,0.00293,0.04053,1.66549
960,1.87976,,,0.08988,0.03974,6364935.35,VisBuf,Sponza,0.29668,0.02949,0.00283,0.04114,1.35643
1020,1.97633,,,0.09024,0.03803,5390683.35,VisBuf,Sponza,0.24376,0.02968,0.00285,0.04129,1.50373
1080,1.70556,,,0.09018,0.03818,4144249.1,VisBuf,Sponza,0.19598,0.02892,0.00307,0.04088,1.27975
1140,1.48653,,,0.08891,0.03767,2469341.8,VisBuf,Sponza,0.13652,0.02808,0.00284,0.04084,1.12755
1200,1.40078,,,0.0896,0.03777,2921893.5,VisBuf,Sponza,0.14981,0.02829,0.00312,0.04078,1.0275
1260,0.79361,,,0.09001,0.03722,1600253.25,VisBuf,Sponza,0.11433,0.02763,0.0028,0.04009,0.45683
1320,0.75636,,,0.09043,0.03608,1828604.05,VisBuf,Sponza,0.13485,0.02748,0.00262,0.03994,0.39796
1380,1.92645,,,0.09015,0.03883,5316520.45,VisBuf,Sponza,0.25886,0.0281,0.00276,0.0396,1.43592
1440,3.05821,,,0.09335,0.03887,7541994.9,VisBuf,Sponza,0.33993,0.02868,0.00303,0.03896,2.48362
1500,2.93666,,,0.08648,0.0382,9143355.45,VisBuf,Sponza,0.39662,0.02801,0.0029,0.03788,2.32275
1560,2.19063,,,0.08894,0.03643,10284076.3,VisBuf,Sponza,0.42902,0.02842,0.00285,0.03655,1.53636
1620,2.16422,,,0.08417,0.03422,10793619.4,VisBuf,Sponza,0.4384,0.02858,0.00304,0.03574,1.50985
1680,2.63089,,,0.08249,0.03316,11201993.95,VisBuf,Sponza,0.44992,0.02807,0.00288,0.03407,1.97704
1740,2.24105,,,0.08096,0.02979,11196844.4,VisBuf,Sponza,0.4462,0.02618,0.00286,0.03146,1.59724
1800,2.0905,,,0.08094,0.0284,11241036.3,VisBuf,Sponza,0.4502,0.0256,0.00273,0.03125,1.44463
1860,2.30117,,,0.08221,0.03009,11241007.0,VisBuf,Sponza,0.45063,0.02663,0.00289,0.0329,1.64782
1920,2.40993,,,0.08383,0.03508,11240943.4,VisBuf,Sponza,0.45656,0.02832,0.00303,0.03535,1.74407
1980,2.29244,,,0.08626,0.03615,10257777.5,VisBuf,Sponza,0.42689,0.02796,0.00287,0.0364,1.64918
2040,2.02978,,,0.08539,0.03711,7118236.7,VisBuf,Sponza,0.31648,0.02718,0.00308,0.03713,1.49282
2100,1.92679,,,0.09315,0.04169,4779189.6,VisBuf,Sponza,0.23681,0.02777,0.00302,0.03924,1.45631
2160,0.75625,,,0.0894,0.03479,1653801.5,VisBuf,Sponza,0.12506,0.02459,0.00268,0.03459,0.41665
2220,0.26811,,,0.08601,0.02824,250198.2,VisBuf,Sponza,0.01678,0.02045,0.00213,0.02562,0.05684
2280,0.23807,,,0.08558,0.02572,81778.25,VisBuf,Sponza,0.00923,0.02002,0.00208,0.02486,0.03838
2340,0.21771,,,0.08559,0.02313,0.0,VisBuf,Sponza,0.00543,0.01978,0.00201,0.02445,0.02525
2400,0.21734,,,0.08554,0.02313,0.0,VisBuf,Sponza,0.00539,0.01977,0.00201,0.02445,0.02529
2460,0.21794,,,0.0856,0.02333,0.0,VisBuf,Sponza,0.00541,0.01979,0.00202,0.02446,0.02534
