param_material_assign_locality,renderer,mean,std,count,sem
0.0,DeferredPrepass,0.29266333333333333,0.0006715901527965942,3,0.0003877427555022156
0.0,VisBuf,0.4145733333333333,0.011856602942383346,3,0.006845412900459534
0.05,DeferredPrepass,0.2912033333333333,0.0005108163401197459,3,0.0002949199514745948
0.05,VisBuf,0.41658999999999996,0.01152422231649493,3,0.0066535128566294404
0.1,DeferredPrepass,0.2923,0.0011583177456984876,3,0.0006687550622861423
0.1,VisBuf,0.40556,0.0025314817795117728,3,0.001461551686849755
0.2,DeferredPrepass,0.2895666666666667,0.0008796211305632372,3,0.000507849496515568
0.2,VisBuf,0.4131766666666667,0.01148742065623673,3,0.006632265408172744
0.3,DeferredPrepass,0.2872866666666667,0.0006866100300267448,3,0.00039641448566423814
0.3,VisBuf,0.40438666666666667,0.002725038226031572,3,0.0015733015533513483
0.4,DeferredPrepass,0.28396666666666665,0.0003690979996333518,3,0.00021309882944566807
0.4,VisBuf,0.4071833333333333,0.009174531777335179,3,0.005296918391333241
0.5,DeferredPrepass,0.2881033333333333,0.000797391580927047,3,0.00046037424389777187
0.5,VisBuf,0.4171333333333333,0.016791433331712135,3,0.009694538554143657
0.6,DeferredPrepass,0.27630333333333335,0.0009351114015631208,3,0.000539886819414756
0.6,VisBuf,0.40660333333333337,0.007451901323376057,3,0.004302357235025696
0.7,DeferredPrepass,0.27160666666666666,0.0008220300075625658,3,0.0004745992461481975
0.7,VisBuf,0.3948666666666667,0.004177634897083906,3,0.002411958632407368
0.8,DeferredPrepass,0.2654033333333333,0.000672780300940311,3,0.000388429887853366
0.8,VisBuf,0.40039,0.0072288795812352445,3,0.0041735955721655576
0.9,DeferredPrepass,0.26047333333333333,0.0005342596122984885,3,0.0003084549309776775
0.9,VisBuf,0.3993,0.00953084990963554,3,0.005502638760934
0.95,DeferredPrepass,0.25723333333333337,0.00024785748593361467,3,0.00014310058622443633
0.95,VisBuf,0.39326666666666665,0.00878467605170122,3,0.005071835083193359
1.0,DeferredPrepass,0.25512666666666667,0.001471643072668541,3,0.0008496535241562302
1.0,VisBuf,0.38593666666666665,0.006249290626409796,3,0.003608029625401901
