param_material_count,param_material_assign_max_open,deferred_over_visbuf
16,1,0.8229510141744465
16,2,0.7955427866520968
16,4,0.7910389605772687
16,8,0.7884245174085787
16,16,0.7814351078556172
32,1,0.823741766972157
32,2,0.7989787380210839
32,4,0.7937053354838814
32,8,0.7924255709874113
32,16,0.7870048847750315
32,24,0.7733875349000947
32,32,0.7651369360459723
64,1,0.8226539459836874
64,2,0.8029262393296519
64,4,0.7911632891469929
64,8,0.7890873988784232
64,16,0.7855416538606667
64,24,0.7746265834513189
64,32,0.7660707052182697
64,48,0.7351212224367718
64,64,0.7116867147095982
128,1,0.8231037818113437
128,2,0.7980411370638805
128,4,0.7865983000888686
128,8,0.7828710896356896
128,16,0.7752951838431423
128,24,0.7685228994071065
128,32,0.7576239203077781
128,48,0.7224913097569126
128,64,0.7059671724348546
128,96,0.6510071800105579
128,128,0.641920288285635
255,1,0.8172125564373929
255,2,0.7961225739995065
255,4,0.7834759285093362
255,8,0.7808805535743292
255,16,0.7742847325298209
255,24,0.7682296663447374
255,32,0.7565579710503864
255,48,0.7326857798420594
255,64,0.6839194208895509
255,96,0.6496393555464756
255,128,0.6277823229983172
255,192,0.5938190800581147
255,255,0.5135588412048786
