scope,hardware,use,comparable_pool
followup_experiments/results,NVIDIA GeForce RTX 5060 Ti 16GB,current plots and conclusions,RTX5060Ti-20260730
datas/experiments archive,NVIDIA GeForce RTX 5070,historical context and plotting-method reference only,RTX5070-archive
