param_material_assign_locality,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
0.0,0.29266333333333333,0.4145733333333333,0.705938635705786,-29.4061364294214
0.05,0.2912033333333333,0.41658999999999996,0.6990166190579067,-30.098338094209332
0.1,0.2923,0.40556,0.72073182759641,-27.926817240359004
0.2,0.2895666666666667,0.4131766666666667,0.7008301533645818,-29.916984663541825
0.3,0.2872866666666667,0.40438666666666667,0.7104256652049195,-28.957433479508055
0.4,0.28396666666666665,0.4071833333333333,0.6973926568703697,-30.260734312963034
0.5,0.2881033333333333,0.4171333333333333,0.6906744446220233,-30.93255553779767
0.6,0.27630333333333335,0.40660333333333337,0.6795402562694189,-32.04597437305811
0.7,0.27160666666666666,0.3948666666666667,0.6878439979739996,-31.215600202600037
0.8,0.2654033333333333,0.40039,0.6628620428415627,-33.71379571584373
0.9,0.26047333333333333,0.3993,0.6523249019116788,-34.767509808832116
0.95,0.25723333333333337,0.39326666666666665,0.6540939142227498,-34.59060857772502
1.0,0.25512666666666667,0.38593666666666665,0.6610583774539864,-33.894162254601355
