param_material_assign_locality,param_material_assign_diversity,deferred_over_visbuf
0.0,0.0,0.7210565643434615
0.0,0.125,0.6845732428626627
0.0,0.25,0.6858682277243472
0.0,0.375,0.6968515923347196
0.0,0.5,0.6929482789961008
0.0,0.625,0.7126818963586701
0.0,0.75,0.7001314099312808
0.0,0.875,0.7016173693930611
0.0,1.0,0.7245886731358544
0.125,0.0,0.7204205604148299
0.125,0.125,0.6753192456016364
0.125,0.25,0.6975525609954298
0.125,0.375,0.6893808807327082
0.125,0.5,0.6786148440859019
0.125,0.625,0.7076591148530629
0.125,0.75,0.7129724324289429
0.125,0.875,0.6975878128635518
0.125,1.0,0.6954508201541154
0.25,0.0,0.7200217300781723
0.25,0.125,0.6804042241413364
0.25,0.25,0.6833925151960751
0.25,0.375,0.6937423353508405
0.25,0.5,0.693652946447026
0.25,0.625,0.6771825469055511
0.25,0.75,0.709931268499582
0.25,0.875,0.7162915972084642
0.25,1.0,0.7032076183913731
0.375,0.0,0.7201531598496622
0.375,0.125,0.6765292289571831
0.375,0.25,0.6924815782555458
0.375,0.375,0.6765018556408413
0.375,0.5,0.6909031567564967
0.375,0.625,0.7015258712640033
0.375,0.75,0.7053355846044254
0.375,0.875,0.7111374172198517
0.375,1.0,0.6968284549013751
0.5,0.0,0.7207510496495877
0.5,0.125,0.6720981096927902
0.5,0.25,0.6719544853559521
0.5,0.375,0.6858987249198312
0.5,0.5,0.6920129645878552
0.5,0.625,0.6786061219993155
0.5,0.75,0.6924008709332166
0.5,0.875,0.6886965122588146
0.5,1.0,0.6843350845068261
0.625,0.0,0.7194097399266297
0.625,0.125,0.6769321263826609
0.625,0.25,0.6838545828244258
0.625,0.375,0.6872918140830194
0.625,0.5,0.6837755495292055
0.625,0.625,0.6842435105564875
0.625,0.75,0.6828986498921773
0.625,0.875,0.6809108880305244
0.625,1.0,0.6777409321799713
0.75,0.0,0.7210317874912977
0.75,0.125,0.6830621700600112
0.75,0.25,0.6696829112801128
0.75,0.375,0.671947562653773
0.75,0.5,0.682429096130164
0.75,0.625,0.6681511811216811
0.75,0.75,0.6829320946879831
0.75,0.875,0.6724259909791086
0.75,1.0,0.6809091277594943
0.875,0.0,0.7183193781728916
0.875,0.125,0.6811876252885477
0.875,0.25,0.6745532737347693
0.875,0.375,0.6685059668197321
0.875,0.5,0.669107252022155
0.875,0.625,0.6694196669486818
0.875,0.75,0.672556339290211
0.875,0.875,0.6669192769728172
0.875,1.0,0.657127032816254
1.0,0.0,0.7202350814652954
1.0,0.125,0.679632740306503
1.0,0.25,0.6816832375289927
1.0,0.375,0.6661162384663628
1.0,0.5,0.669424754275475
1.0,0.625,0.6512356073027394
1.0,0.75,0.6683067773169435
1.0,0.875,0.6564687513186254
1.0,1.0,0.651569459446893
