condition,linear_gbuffer,mean,std
M1/C1/L0,False,0.7638603132974511,0.00331199066738293
M1/C1/L0,True,0.7695501108575036,0.0009378987758630212
M1/C1/L1,False,0.76522368747441,0.0013630423179586584
M1/C1/L1,True,0.7709110906975285,0.0008088167122779619
M255/C64/L0,False,0.7210482461083472,0.0026771111184871227
M255/C64/L0,True,0.7202515193255582,0.007865526993755645
M255/C64/L1,False,0.6553788777310179,0.01281981906335591
M255/C64/L1,True,0.6605064853796613,0.008287213170325464
M64/C1/L0,False,0.8507376735185466,0.0011904736379534481
M64/C1/L0,True,0.8552374051974068,0.0013599975459100344
M64/C1/L1,False,0.7666939139531064,0.001683392130683544
M64/C1/L1,True,0.7735873286382021,0.0033848861479413225
