scene,renderer,raster_metric,gpu_metric,pearson_r,window_count
Sponza,VisBuf,quad_efficiency,lighting,0.5017324361251821,42
Sponza,VisBuf,quad_efficiency,tonemap,0.8521851788376067,42
Sponza,VisBuf,quad_efficiency,index_count,0.08941510946609647,42
Sponza,VisBuf,quad_waste_lanes,total,0.8315299603379016,42
Sponza,VisBuf,quad_waste_lanes,visibility,0.787905770071669,42
Sponza,VisBuf,quad_waste_lanes,visutil_histogram,0.7420617019247041,42
Sponza,VisBuf,quad_waste_lanes,visutil_prefix,0.699979926258838,42
Sponza,VisBuf,quad_waste_lanes,visutil_flatten,0.5292476570903845,42
Sponza,VisBuf,quad_waste_lanes,gbuffer,0.789721011966795,42
Sponza,VisBuf,quad_waste_lanes,lighting,-0.024515920811823976,42
Sponza,VisBuf,quad_waste_lanes,tonemap,0.5573790932293704,42
Sponza,VisBuf,quad_waste_lanes,index_count,0.7608581686497187,42
Sponza Ivy,DeferredPrepass,triangle_count,total,0.9031135827598419,42
Sponza Ivy,DeferredPrepass,triangle_count,depth_prepass,0.9399783610934829,42
Sponza Ivy,DeferredPrepass,triangle_count,geometry,0.8349202004282488,42
Sponza Ivy,DeferredPrepass,triangle_count,lighting,-0.5615467162208528,42
Sponza Ivy,DeferredPrepass,triangle_count,tonemap,0.3340998784242172,42
Sponza Ivy,DeferredPrepass,triangle_count,index_count,0.9999999999999998,42
Sponza Ivy,DeferredPrepass,total_fragments,total,0.46559960309721604,42
Sponza Ivy,DeferredPrepass,total_fragments,depth_prepass,0.3800548271936829,42
Sponza Ivy,DeferredPrepass,total_fragments,geometry,0.4829139551921785,42
Sponza Ivy,DeferredPrepass,total_fragments,lighting,0.05851000096617613,42
Sponza Ivy,DeferredPrepass,total_fragments,tonemap,0.8335459048775495,42
Sponza Ivy,DeferredPrepass,total_fragments,index_count,0.5795858285879729,42
Sponza Ivy,DeferredPrepass,covered_pixels,total,0.34203726839240817,42
Sponza Ivy,DeferredPrepass,covered_pixels,depth_prepass,0.09850630766834394,42
Sponza Ivy,DeferredPrepass,covered_pixels,geometry,0.4527718969705353,42
Sponza Ivy,DeferredPrepass,covered_pixels,lighting,0.4639151674016486,42
Sponza Ivy,DeferredPrepass,covered_pixels,tonemap,0.9673306541988572,42
Sponza Ivy,DeferredPrepass,covered_pixels,index_count,0.257488911911708,42
Sponza Ivy,DeferredPrepass,avg_overdraw,total,0.6953255457082079,42
Sponza Ivy,DeferredPrepass,avg_overdraw,depth_prepass,0.6653735636718563,42
Sponza Ivy,DeferredPrepass,avg_overdraw,geometry,0.6712072718059044,42
Sponza Ivy,DeferredPrepass,avg_overdraw,lighting,-0.19988210067365544,42
Sponza Ivy,DeferredPrepass,avg_overdraw,tonemap,0.7096414394929769,42
Sponza Ivy,DeferredPrepass,avg_overdraw,index_count,0.7973707810995648,42
Sponza Ivy,DeferredPrepass,quad_efficiency,total,0.32710431282261365,42
Sponza Ivy,DeferredPrepass,quad_efficiency,depth_prepass,0.09205232814274718,42
Sponza Ivy,DeferredPrepass,quad_efficiency,geometry,0.43482609778293113,42
Sponza Ivy,DeferredPrepass,quad_efficiency,lighting,0.43044813249359837,42
Sponza Ivy,DeferredPrepass,quad_efficiency,tonemap,0.8739785205850794,42
Sponza Ivy,DeferredPrepass,quad_efficiency,index_count,0.1936643613044891,42
Sponza Ivy,DeferredPrepass,quad_waste_lanes,total,0.7676522932403579,42
Sponza Ivy,DeferredPrepass,quad_waste_lanes,depth_prepass,0.762363398870442,42
Sponza Ivy,DeferredPrepass,quad_waste_lanes,geometry,0.726764837941464,42
