frame,total,depth_prepass,geometry,lighting,tonemap,index_count,renderer,scene,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
3540,0.50392,0.12976,0.22528,0.0953,0.03928,2554279.0,DeferredPrepass,Bistro,,,,,
3600,0.50335,0.13198,0.22283,0.09484,0.03914,2404749.2,DeferredPrepass,Bistro,,,,,
3660,0.50536,0.13071,0.22563,0.09528,0.03896,2364661.4,DeferredPrepass,Bistro,,,,,
3720,0.51261,0.12121,0.24577,0.09395,0.0379,2323845.85,DeferredPrepass,Bistro,,,,,
3780,0.49759,0.11805,0.23896,0.09028,0.03647,2171285.25,DeferredPrepass,Bistro,,,,,
3840,0.48437,0.11228,0.23192,0.09048,0.03606,2069926.1,DeferredPrepass,Bistro,,,,,
3900,0.46735,0.099,0.22736,0.09131,0.036,1706132.85,DeferredPrepass,Bistro,,,,,
3960,0.47482,0.09981,0.23178,0.09248,0.03722,1310622.9,DeferredPrepass,Bistro,,,,,
4020,0.47351,0.09566,0.23316,0.09295,0.03799,1119696.9,DeferredPrepass,Bistro,,,,,
4080,0.48784,0.10644,0.23586,0.09375,0.03786,958432.85,DeferredPrepass,Bistro,,,,,
4140,0.45904,0.08789,0.22817,0.09189,0.0373,891260.8,DeferredPrepass,Bistro,,,,,
4200,0.40752,0.0652,0.20138,0.09055,0.03685,795127.2,DeferredPrepass,Bistro,,,,,
4260,0.39841,0.08662,0.17399,0.08932,0.03451,2716290.05,DeferredPrepass,Bistro,,,,,
4320,0.79453,0.26419,0.38064,0.09749,0.03785,7242797.15,DeferredPrepass,Bistro,,,,,
4380,0.72687,0.23446,0.34462,0.09531,0.03747,6033148.0,DeferredPrepass,Bistro,,,,,
4440,0.35146,0.04775,0.16007,0.09314,0.0367,867288.75,DeferredPrepass,Bistro,,,,,
4500,0.40141,0.06023,0.19714,0.09226,0.03808,698827.95,DeferredPrepass,Bistro,,,,,
4560,0.37548,0.05781,0.17841,0.09005,0.03546,684012.3,DeferredPrepass,Bistro,,,,,
4620,0.38025,0.06607,0.17262,0.0919,0.03602,872447.4,DeferredPrepass,Bistro,,,,,
4680,0.47623,0.11289,0.2246,0.09082,0.03439,2415162.35,DeferredPrepass,Bistro,,,,,
4740,0.581,0.1746,0.27026,0.09044,0.03224,5264990.15,DeferredPrepass,Bistro,,,,,
4800,0.73215,0.25855,0.33994,0.08948,0.03051,7605016.1,DeferredPrepass,Bistro,,,,,
4860,0.7038,0.25011,0.32275,0.0876,0.02878,7298187.05,DeferredPrepass,Bistro,,,,,
4920,0.71299,0.25848,0.3235,0.0878,0.0286,7437915.15,DeferredPrepass,Bistro,,,,,
4980,0.76938,0.28125,0.35682,0.08787,0.02987,8149009.9,DeferredPrepass,Bistro,,,,,
5040,0.62046,0.20523,0.28236,0.08774,0.03091,5907876.05,DeferredPrepass,Bistro,,,,,
5100,0.66124,0.22495,0.30177,0.08835,0.03084,6713387.25,DeferredPrepass,Bistro,,,,,
5160,0.79954,0.29321,0.37356,0.08844,0.03019,8461629.95,DeferredPrepass,Bistro,,,,,
5220,0.80767,0.30275,0.37391,0.08746,0.02994,8496360.0,DeferredPrepass,Bistro,,,,,
5280,0.78987,0.29624,0.36064,0.08757,0.02887,8448473.2,DeferredPrepass,Bistro,,,,,
5340,0.62741,0.22973,0.27254,0.08626,0.02544,6607069.85,DeferredPrepass,Bistro,,,,,
5400,0.19433,0.03043,0.03544,0.08601,0.02925,1056943.5,DeferredPrepass,Bistro,,,,,
5460,0.146,0.0105,0.0078,0.08533,0.02897,344217.0,DeferredPrepass,Bistro,,,,,
0,0.67322,,,0.1013,0.04215,3553381.35,VisBuf,Bistro,0.26623,0.02742,0.00227,0.03367,0.16691
60,0.68381,,,0.10144,0.03884,3662944.3,VisBuf,Bistro,0.24599,0.02886,0.00222,0.03676,0.19549
120,0.66761,,,0.10229,0.03751,2176008.0,VisBuf,Bistro,0.18081,0.02928,0.00217,0.04087,0.24217
180,0.61424,,,0.10384,0.0379,1760027.75,VisBuf,Bistro,0.14208,0.02781,0.00217,0.04044,0.22711
240,0.68864,,,0.10553,0.03813,2911562.3,VisBuf,Bistro,0.19432,0.03003,0.00218,0.04132,0.24426
300,0.71719,,,0.1066,0.03819,3211259.3,VisBuf,Bistro,0.22143,0.03025,0.00218,0.04142,0.24461
360,0.72346,,,0.10612,0.03815,3197534.35,VisBuf,Bistro,0.22384,0.03006,0.00218,0.04172,0.24883
420,0.65757,,,0.10578,0.03776,2080022.75,VisBuf,Bistro,0.17439,0.02871,0.00217,0.0413,0.23455
480,0.65846,,,0.10597,0.03746,2143202.1,VisBuf,Bistro,0.17794,0.02906,0.00258,0.0411,0.23616
540,0.69676,,,0.104,0.03733,2652802.15,VisBuf,Bistro,0.21417,0.02951,0.00271,0.04094,0.24299
600,0.71347,,,0.10249,0.03654,2718203.4,VisBuf,Bistro,0.24199,0.02966,0.00293,0.04068,0.23478
660,0.63638,,,0.10197,0.03703,1551084.95,VisBuf,Bistro,0.14971,0.02853,0.00304,0.04095,0.25033
720,0.65069,,,0.10263,0.03693,2455791.85,VisBuf,Bistro,0.1748,0.02904,0.00266,0.04066,0.23735
780,0.62588,,,0.1048,0.03698,2049572.45,VisBuf,Bistro,0.17101,0.02751,0.00279,0.03964,0.21755
840,0.56785,,,0.10411,0.037,904159.35,VisBuf,Bistro,0.11658,0.02669,0.00245,0.0394,0.21247
900,0.65941,,,0.09914,0.03572,2916661.7,VisBuf,Bistro,0.21451,0.02789,0.0027,0.03956,0.21352
960,0.7382,,,0.10179,0.03691,3578981.25,VisBuf,Bistro,0.24606,0.03087,0.00307,0.04133,0.25354
1020,0.6926,,,0.10083,0.03729,2767377.4,VisBuf,Bistro,0.20725,0.03019,0.00294,0.04112,0.24714
1080,0.67107,,,0.09853,0.03746,2271770.15,VisBuf,Bistro,0.19645,0.02952,0.00268,0.04063,0.24182
1140,0.74357,,,0.09954,0.03821,2903832.2,VisBuf,Bistro,0.24713,0.03109,0.00266,0.04141,0.25904
1200,0.71903,,,0.09687,0.03749,2424988.15,VisBuf,Bistro,0.22876,0.03082,0.00315,0.04206,0.25591
1260,0.67687,,,0.09667,0.03687,2026572.1,VisBuf,Bistro,0.20454,0.02973,0.00269,0.04151,0.23886
1320,0.68658,,,0.09894,0.03744,2301510.5,VisBuf,Bistro,0.21538,0.02913,0.00285,0.04071,0.2366
1380,0.70439,,,0.0982,0.0375,2404923.35,VisBuf,Bistro,0.21664,0.02999,0.0031,0.04166,0.25248
1440,0.72809,,,0.09987,0.03794,2983851.65,VisBuf,Bistro,0.22097,0.03179,0.0027,0.04305,0.26486
1500,0.83528,,,0.09873,0.03788,5965339.5,VisBuf,Bistro,0.32399,0.03343,0.00271,0.04283,0.27012
1560,0.85183,,,0.09741,0.03758,6425388.5,VisBuf,Bistro,0.3523,0.03286,0.0028,0.04203,0.26298
1620,0.85597,,,0.09829,0.03771,6351675.3,VisBuf,Bistro,0.34913,0.03325,0.00281,0.04295,0.2669
1680,0.73299,,,0.09857,0.03737,3853289.1,VisBuf,Bistro,0.24946,0.03081,0.00276,0.04205,0.24606
1740,0.63344,,,0.09901,0.03739,1807302.25,VisBuf,Bistro,0.15733,0.02933,0.00256,0.04168,0.24008
1800,0.63969,,,0.10079,0.03746,1503980.35,VisBuf,Bistro,0.16104,0.02897,0.00261,0.04147,0.23977
1860,0.63553,,,0.09998,0.03761,1304820.9,VisBuf,Bistro,0.15984,0.02903,0.00289,0.04135,0.23993
1920,0.63035,,,0.09917,0.03749,1271388.55,VisBuf,Bistro,0.15531,0.02916,0.00286,0.04165,0.24012
1980,0.6164,,,0.09914,0.03732,1145896.95,VisBuf,Bistro,0.14351,0.02899,0.00279,0.0414,0.23706
2040,0.60047,,,0.0984,0.03752,833803.5,VisBuf,Bistro,0.12953,0.02865,0.00303,0.04103,0.23551
2100,0.593,,,0.09818,0.03721,724541.55,VisBuf,Bistro,0.12674,0.02839,0.00291,0.0408,0.23258
2160,0.58743,,,0.10031,0.03735,651558.7,VisBuf,Bistro,0.12041,0.02822,0.00278,0.04069,0.23037
2220,0.57459,,,0.10094,0.03743,606690.35,VisBuf,Bistro,0.11155,0.02775,0.00255,0.04019,0.2277
2280,0.42206,,,0.09721,0.03173,387407.3,VisBuf,Bistro,0.06254,0.02487,0.00217,0.0343,0.13736
2340,0.61076,,,0.09942,0.03533,2264677.55,VisBuf,Bistro,0.17771,0.02791,0.00253,0.03819,0.2004
2400,0.74833,,,0.09614,0.03741,3983123.9,VisBuf,Bistro,0.26908,0.03158,0.00269,0.04096,0.24548
2460,0.75682,,,0.09719,0.03748,4233659.5,VisBuf,Bistro,0.27391,0.03174,0.00259,0.0416,0.24772
2520,0.74156,,,0.09568,0.03768,3774183.4,VisBuf,Bistro,0.2605,0.03168,0.00283,0.04169,0.24757
2580,0.7287,,,0.09785,0.03779,2738790.2,VisBuf,Bistro,0.24965,0.02992,0.00263,0.04096,0.24414
2640,0.69345,,,0.10102,0.03781,2234217.4,VisBuf,Bistro,0.21486,0.02922,0.00274,0.04094,0.24036
2700,0.66224,,,0.10098,0.03786,1876452.05,VisBuf,Bistro,0.18906,0.02872,0.00282,0.04071,0.23646
2760,0.63507,,,0.09963,0.03741,1554160.7,VisBuf,Bistro,0.16859,0.02825,0.0029,0.04026,0.23311
2820,0.63643,,,0.09997,0.03742,1444209.8,VisBuf,Bistro,0.16549,0.02828,0.00286,0.04064,0.23606
2880,0.61717,,,0.10161,0.03764,1270269.5,VisBuf,Bistro,0.14851,0.02804,0.00286,0.04059,0.23137
2940,0.59755,,,0.10157,0.03749,1185182.6,VisBuf,Bistro,0.12856,0.02812,0.00258,0.04061,0.23002
3000,0.70538,,,0.10097,0.03716,3737532.35,VisBuf,Bistro,0.22864,0.03019,0.00263,0.04026,0.23675
3060,0.78394,,,0.09812,0.03773,5419981.65,VisBuf,Bistro,0.2835,0.03292,0.00311,0.04139,0.26301
3120,0.79133,,,0.09823,0.0377,5328916.45,VisBuf,Bistro,0.28372,0.03308,0.00315,0.0422,0.26887
3180,0.78965,,,0.09803,0.03795,4942521.95,VisBuf,Bistro,0.27925,0.03287,0.00301,0.04222,0.2721
3240,0.76295,,,0.09976,0.03794,4355188.5,VisBuf,Bistro,0.2597,0.03271,0.00306,0.0425,0.26244
3300,0.74875,,,0.09946,0.03808,3918437.6,VisBuf,Bistro,0.24824,0.03236,0.00295,0.04248,0.26037
3360,0.7265,,,0.09955,0.03814,3488605.15,VisBuf,Bistro,0.23051,0.03175,0.00286,0.04208,0.25734
