param_material_assign_max_open,renderer,mean,std,count,sem
1,DeferredPrepass,0.28109333333333336,0.0008130395644329196,3,0.00046940861138716224
1,VisBuf,0.34434000000000003,0.0011068875281617233,3,0.0006390618123468105
2,DeferredPrepass,0.28371,0.0010448444860360847,3,0.0006032412452742298
2,VisBuf,0.35668666666666665,0.002021294964455555,3,0.0011669951918400496
4,DeferredPrepass,0.28032666666666667,0.0013400497503202491,3,0.0007736780840748867
4,VisBuf,0.3597033333333333,0.0005834666514320637,3,0.00033686462826747155
8,DeferredPrepass,0.28192666666666666,0.001614197426999979,3,0.0009319573190036392
8,VisBuf,0.3622066666666666,0.0017105067475264083,3,0.0009875615311350431
16,DeferredPrepass,0.28108333333333335,0.0008033886564629623,3,0.0004638366570727831
16,VisBuf,0.36372333333333334,0.0009018499505645904,3,0.000520683311727117
24,DeferredPrepass,0.28197,0.0008901123524589556,3,0.0005139066063011891
24,VisBuf,0.36759666666666674,0.0002281081614790148,3,0.00013169830843425982
32,DeferredPrepass,0.28201666666666664,0.0007848779098263462,3,0.0004531494725192318
32,VisBuf,0.37437666666666664,0.0021422029160033727,3,0.0012368014302133485
48,DeferredPrepass,0.28120666666666666,0.0008914220848359738,3,0.0005146627806416269
48,VisBuf,0.3944166666666667,0.006719057473584608,3,0.0038792496410746404
64,DeferredPrepass,0.28074333333333334,0.0005732654998631334,3,0.00033097499066310547
64,VisBuf,0.40908000000000005,0.009027175638038728,3,0.005211842284643692
96,DeferredPrepass,0.28073,0.00043208795400938175,3,0.0002494660965609112
96,VisBuf,0.42408,0.008155384724217481,3,0.004708513565871925
128,DeferredPrepass,0.27947666666666665,0.0011050037707326468,3,0.0006379742244880452
128,VisBuf,0.4318233333333333,0.0021944551335885748,3,0.00126696926210192
192,DeferredPrepass,0.27953,0.000661211010192681,3,0.0003817503547258888
192,VisBuf,0.46635,0.006710715312096004,3,0.003874433291893572
255,DeferredPrepass,0.27960333333333337,0.00020008331597946543,3,0.00011551815634109732
255,VisBuf,0.5619166666666667,0.013527055604725438,3,0.007809849194731268
