param_material_count,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
1,0.24253999999999998,0.31766333333333335,0.7635127336068583,-23.648726639314166
2,0.24268,0.31756666666666666,0.7641859976907737,-23.581400230922632
4,0.24607333333333334,0.3183066666666667,0.7730699953922842,-22.693000460771586
8,0.24656,0.3204166666666667,0.7694980494148244,-23.050195058517563
16,0.24731333333333336,0.32006,0.7727092836759775,-22.729071632402253
24,0.24800666666666668,0.3229933333333333,0.767838345476687,-23.216165452331307
32,0.24725666666666668,0.3223133333333333,0.7671313628560201,-23.286863714397988
48,0.25139666666666666,0.32876666666666665,0.7646659231471155,-23.533407685288456
64,0.2539266666666667,0.33047,0.7683803875288732,-23.161961247112682
96,0.2510233333333333,0.32586333333333334,0.7703331662557923,-22.96668337442077
128,0.24940666666666667,0.3266233333333333,0.7635910886137958,-23.640891138620425
192,0.2510233333333333,0.32808666666666664,0.7651128766789264,-23.488712332107365
255,0.2524,0.32868,0.7679201655105269,-23.20798344894731
