param_material_assign_locality,param_material_assign_diversity,renderer,mean,std,count,sem
0.0,0.0,DeferredPrepass,0.24522333333333335,0.0010598270299125832,3,0.0006118914210144715
0.0,0.0,VisBuf,0.3407466666666667,0.003352973804450827,3,0.0019358403285854489
0.0,0.05,DeferredPrepass,0.2660133333333334,0.0029210671565941945,3,0.001686478909180633
0.0,0.05,VisBuf,0.3856133333333333,0.015216994885105686,3,0.008785536093172926
0.0,0.1,DeferredPrepass,0.2693933333333333,0.002967732018449983,3,0.0017134208797347692
0.0,0.1,VisBuf,0.38687,0.015022206895126951,3,0.008673075194723798
0.0,0.2,DeferredPrepass,0.2728566666666667,0.00019857828011475483,3,0.00011464922347946661
0.0,0.2,VisBuf,0.3913533333333333,0.0011144654922128894,3,0.0006434369519316605
0.0,0.3,DeferredPrepass,0.27629666666666663,0.0014981432953270137,3,0.0008649534348416844
0.0,0.3,VisBuf,0.39684,0.0012080149005703593,3,0.000697447728029376
0.0,0.4,DeferredPrepass,0.2783966666666667,0.0011927419391190067,3,0.0006886298796241148
0.0,0.4,VisBuf,0.3967833333333333,0.005636934746236931,3,0.0032544857931442474
0.0,0.5,DeferredPrepass,0.28212,0.0006976388750635858,3,0.000402781992315109
0.0,0.5,VisBuf,0.4107,0.006121870629145958,3,0.003534463655681483
0.0,0.6,DeferredPrepass,0.28716,0.00039038442591885674,3,0.00022538855339168947
0.0,0.6,VisBuf,0.40234,0.0036365368140581266,3,0.0020995555085144436
0.0,0.7,DeferredPrepass,0.28787,0.0015539305003764163,3,0.0008971621926942939
0.0,0.7,VisBuf,0.4060266666666667,0.013846849220430403,3,0.007994482124843653
0.0,0.8,DeferredPrepass,0.29009666666666667,9.291573243178e-05,3,5.364492313143942e-05
0.0,0.8,VisBuf,0.41403999999999996,0.012369927243116686,3,0.0071417808236695045
0.0,0.9,DeferredPrepass,0.29175666666666666,0.0004708856903043014,3,0.00027186598005473115
0.0,0.9,VisBuf,0.41419333333333336,0.013795196023737157,3,0.007964660137828303
0.0,0.95,DeferredPrepass,0.2916,0.00014177446878758544,3,8.185352771872865e-05
0.0,0.95,VisBuf,0.40892,0.010904095560843166,3,0.006295482507322206
0.0,1.0,DeferredPrepass,0.2914466666666667,5.686240703077401e-05,3,3.2829526005987445e-05
0.0,1.0,VisBuf,0.40553333333333336,0.004630619109075321,3,0.002673489189139262
1.0,0.0,DeferredPrepass,0.24339666666666668,2.5166114784232967e-05,3,1.4529663145133925e-05
1.0,0.0,VisBuf,0.33892999999999995,0.0015352198539622763,3,0.0008863595959503782
1.0,0.05,DeferredPrepass,0.26447000000000004,0.0032927344259748434,3,0.0019010611072065237
1.0,0.05,VisBuf,0.3809766666666667,0.013011549997342121,3,0.007512221893539749
1.0,0.1,DeferredPrepass,0.2642233333333333,0.0032723742654735422,3,0.0018893061630603535
1.0,0.1,VisBuf,0.38491666666666663,0.009364295666697699,3,0.005406478623939163
1.0,0.2,DeferredPrepass,0.26304,0.001049714246831007,3,0.0006060528029800672
1.0,0.2,VisBuf,0.38082666666666665,0.0018665833314731562,3,0.0010776723888908952
1.0,0.3,DeferredPrepass,0.25772,0.0005002999100539605,3,0.0002888482877451997
1.0,0.3,VisBuf,0.38473666666666667,0.0031557302377315695,3,0.0018219617022441634
1.0,0.4,DeferredPrepass,0.25622000000000006,0.00042035699113968393,3,0.00024269322199023765
1.0,0.4,VisBuf,0.3843833333333333,0.002706516826722728,3,0.0015626082184746189
1.0,0.5,DeferredPrepass,0.25417333333333336,0.00020108041509140796,3,0.00011609383178178608
1.0,0.5,VisBuf,0.3878333333333333,0.0134394655151659,3,0.007759279032945726
1.0,0.6,DeferredPrepass,0.25404,0.0002981610303175171,3,0.00017214335111567468
1.0,0.6,VisBuf,0.3847333333333333,0.012549224411625363,3,0.007245298092172927
1.0,0.7,DeferredPrepass,0.2539166666666667,0.000237135685491105,3,0.00013691035185275593
1.0,0.7,VisBuf,0.3844366666666667,0.007458587891372845,3,0.004306217726858596
1.0,0.8,DeferredPrepass,0.2533366666666667,0.00010969655114604266,3,6.333333333334129e-05
1.0,0.8,VisBuf,0.3837966666666666,0.004655108305220547,3,0.002687628033125945
1.0,0.9,DeferredPrepass,0.25295666666666666,0.00018448125469360132,3,0.00010651030205779064
1.0,0.9,VisBuf,0.3915033333333333,0.009253887471399973,3,0.00534273442266328
1.0,0.95,DeferredPrepass,0.2535766666666667,0.0005329477773040484,3,0.00030769754269050506
1.0,0.95,VisBuf,0.3853933333333333,0.005163955202490954,3,0.002981410926241321
1.0,1.0,DeferredPrepass,0.25290666666666667,0.0002914332399252707,3,0.00016825905952165982
1.0,1.0,VisBuf,0.3883366666666667,0.00910105671520256,3,0.00525449754443225
