param_material_assign_max_open,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
1,0.28109333333333336,0.34434000000000003,0.8163249501461733,-18.367504985382666
2,0.28371,0.35668666666666665,0.7954039960376055,-20.459600396239452
4,0.28032666666666667,0.3597033333333333,0.7793274086979085,-22.06725913020915
8,0.28192666666666666,0.3622066666666666,0.7783585798163112,-22.16414201836888
16,0.28108333333333335,0.36372333333333334,0.7727943400203452,-22.72056599796548
24,0.28197,0.36759666666666674,0.7670635388423905,-23.293646115760946
32,0.28201666666666664,0.37437666666666664,0.7532965907775592,-24.670340922244083
48,0.28120666666666666,0.3944166666666667,0.7129685189097823,-28.703148109021768
64,0.28074333333333334,0.40908000000000005,0.6862797822756754,-31.372021772432458
96,0.28073,0.42408,0.6619741558196566,-33.80258441803434
128,0.27947666666666665,0.4318233333333333,0.6472014018078381,-35.279859819216185
192,0.27953,0.46635,0.5993995925806798,-40.06004074193202
255,0.27960333333333337,0.5619166666666667,0.4975886104107964,-50.24113895892036
