param_material_count,renderer,mean,std,count,sem
1,DeferredPrepass,0.24253999999999998,0.0004386342439892295,3,0.00025324559884296966
1,VisBuf,0.31766333333333335,0.0016527048536666522,3,0.0009541895921554428
2,DeferredPrepass,0.24268,9.84885780179595e-05,3,5.686240703077238e-05
2,VisBuf,0.31756666666666666,0.00024110855093365929,3,0.0001392040867854688
4,DeferredPrepass,0.24607333333333334,0.00010016652800877752,3,5.783117190965789e-05
4,VisBuf,0.3183066666666667,0.0002569695182961155,3,0.00014836142056179075
8,DeferredPrepass,0.24656,0.0007199999999999984,3,0.00041569219381652967
8,VisBuf,0.3204166666666667,0.0014403587516078592,3,0.0008315915129704308
16,DeferredPrepass,0.24731333333333336,0.00038004385711825977,3,0.00021941842321109096
16,VisBuf,0.32006,2.645751311064876e-05,3,1.5275252316521116e-05
24,DeferredPrepass,0.24800666666666668,0.001242349923867405,3,0.0007172710629725573
24,VisBuf,0.3229933333333333,0.002595772203667573,3,0.0014986697805424215
32,DeferredPrepass,0.24725666666666668,7.371114795830987e-05,3,4.255715111600654e-05
32,VisBuf,0.3223133333333333,0.000387857362097626,3,0.00022392955241424254
48,DeferredPrepass,0.25139666666666666,0.004855783493251463,3,0.002803487906955274
48,VisBuf,0.32876666666666665,0.008848775809869546,3,0.005108843095826832
64,DeferredPrepass,0.2539266666666667,0.0025793474626993134,3,0.001489186951923027
64,VisBuf,0.33047,0.00890015168410067,3,0.005138504970644024
96,DeferredPrepass,0.2510233333333333,0.0001738773514099494,3,0.00010038813564251344
96,VisBuf,0.32586333333333334,9.018499505646499e-05,3,5.2068331172715136e-05
128,DeferredPrepass,0.24940666666666667,0.0009584536156399719,3,0.0005533634529955079
128,VisBuf,0.3266233333333333,0.0003162804662531686,3,0.00018260461233068727
192,DeferredPrepass,0.2510233333333333,0.0002074447717666638,3,0.00011976829482146383
192,VisBuf,0.32808666666666664,0.0002973774257292054,3,0.0001716909367956747
255,DeferredPrepass,0.2524,0.0006385138996137622,3,0.00036864617182332334
255,VisBuf,0.32868,0.00024331050121191203,3,0.0001404753833713602
