param_material_assign_locality,param_material_assign_diversity,param_seed,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
0.0,0.0,0,0.24534,0.33923,0.7232261297644667,-27.677387023553337
0.0,0.0,1,0.24622,0.33842,0.7275574729625909,-27.244252703740912
0.0,0.0,2,0.24411,0.34459,0.7084070924867233,-29.15929075132767
0.0,0.05,0,0.26661,0.39798,0.6699080355796774,-33.00919644203226
0.0,0.05,1,0.26284,0.39024,0.6735342353423535,-32.64657646576465
0.0,0.05,2,0.26859,0.36862,0.7286365362704139,-27.13634637295861
0.0,0.1,0,0.26771,0.40229,0.665465211663228,-33.453478833677195
0.0,0.1,1,0.26765,0.38604,0.6933219355507202,-30.66780644492798
0.0,0.1,2,0.27282,0.37228,0.732835500161169,-26.716449983883095
0.0,0.2,0,0.2729,0.39073,0.6984362603332224,-30.156373966677762
0.0,0.2,1,0.27264,0.39069,0.6978422790447669,-30.215772095523306
0.0,0.2,2,0.27303,0.39264,0.695369804400978,-30.463019559902204
0.0,0.3,0,0.27797,0.39577,0.7023523763802209,-29.764762361977915
0.0,0.3,1,0.27584,0.39815,0.692804219515258,-30.719578048474204
0.0,0.3,2,0.27508,0.3966,0.6935955622793747,-30.640443772062532
0.0,0.4,0,0.27762,0.39636,0.7004238570996064,-29.95761429003936
0.0,0.4,1,0.27977,0.40262,0.694873578063683,-30.5126421936317
0.0,0.4,2,0.2778,0.39137,0.7098142422771291,-29.018575772287093
0.0,0.5,0,0.28194,0.41587,0.6779522446918509,-32.20477553081491
0.0,0.5,1,0.28153,0.40394,0.6969599445462197,-30.304005545378033
0.0,0.5,2,0.28289,0.41229,0.6861432486841785,-31.385675131582147
0.0,0.6,0,0.28718,0.40576,0.7077582807570978,-29.22417192429022
0.0,0.6,1,0.28676,0.40274,0.7120226448825545,-28.79773551174455
0.0,0.6,2,0.28754,0.39852,0.7215196226036336,-27.848037739636645
0.0,0.7,0,0.28964,0.42174,0.6867738417034192,-31.322615829658083
0.0,0.7,1,0.28724,0.40073,0.7167918548648716,-28.320814513512836
0.0,0.7,2,0.28673,0.39561,0.7247794545132832,-27.522054548671683
0.0,0.8,0,0.29007,0.41753,0.6947285225013771,-30.527147749862294
0.0,0.8,1,0.2902,0.42429,0.6839661552240214,-31.603384477597864
0.0,0.8,2,0.29002,0.4003,0.7245066200349738,-27.549337996502622
0.0,0.9,0,0.29179,0.41201,0.7082109657532584,-29.178903424674164
0.0,0.9,1,0.29221,0.42895,0.6812215875976222,-31.87784124023778
0.0,0.9,2,0.29127,0.40162,0.7252377869628006,-27.47622130371994
0.0,0.95,0,0.29149,0.40276,0.7237312543450194,-27.62687456549806
0.0,0.95,1,0.29176,0.42151,0.6921781215155038,-30.782187848449617
0.0,0.95,2,0.29155,0.40249,0.7243658227533603,-27.563417724663974
0.0,1.0,0,0.29143,0.40281,0.7234924654303518,-27.650753456964814
0.0,1.0,1,0.29151,0.41088,0.7094772196261682,-29.052278037383182
0.0,1.0,2,0.2914,0.40291,0.7232384403464793,-27.676155965352066
1.0,0.0,0,0.24342,0.33781,0.7205825760042628,-27.94174239957372
1.0,0.0,1,0.24337,0.3383,0.7193910730121195,-28.060892698788052
1.0,0.0,2,0.2434,0.34068,0.7144534460490783,-28.554655395092166
1.0,0.05,0,0.26246,0.3896,0.6736652977412732,-32.633470225872685
1.0,0.05,1,0.26268,0.38732,0.6781989052979449,-32.18010947020551
1.0,0.05,2,0.26827,0.36601,0.7329581158984727,-26.704188410152728
1.0,0.1,0,0.26223,0.38108,0.6881232287183794,-31.18767712816206
1.0,0.1,1,0.26244,0.39559,0.6634141409034606,-33.65858590965394
1.0,0.1,2,0.268,0.37808,0.7088446889547185,-29.11553110452815
1.0,0.2,0,0.26422,0.3829,0.6900496213110473,-30.99503786889527
1.0,0.2,1,0.26221,0.3803,0.689481987904286,-31.051801209571394
1.0,0.2,2,0.26269,0.37928,0.6926017717781058,-30.73982282218942
