frame,total,depth_prepass,geometry,lighting,index_count
1090,0.70372,0.23720,0.42683,0.02949,7767534.90000
1100,0.70081,0.23944,0.42044,0.02954,7719672.60000
1110,0.64734,0.22459,0.38346,0.02880,7176438.30000
1120,0.62961,0.22523,0.36700,0.02822,6990166.80000
1130,0.62513,0.21993,0.36772,0.02776,6758233.20000
1140,0.64808,0.22744,0.38226,0.02835,7029954.30000
1150,0.69106,0.24460,0.40629,0.02935,7408249.20000
1160,0.67296,0.25101,0.38252,0.02966,7500250.20000
1170,0.69979,0.26352,0.39677,0.02945,7953082.20000
1180,0.68789,0.25867,0.38986,0.02927,7999884.00000
1190,0.68553,0.25862,0.38724,0.02970,8001468.00000
1200,0.68608,0.25762,0.38868,0.02974,8001468.00000
1210,0.67455,0.24850,0.38776,0.02872,8001468.00000
1220,0.67094,0.24624,0.38716,0.02837,8001468.00000
1230,0.67282,0.24685,0.38778,0.02819,8001480.60000
1240,0.66861,0.24687,0.38354,0.02860,8003038.20000
1250,0.67068,0.24590,0.38666,0.02817,8001468.00000
1260,0.66906,0.24519,0.38608,0.02816,8001473.40000
1270,0.67079,0.24129,0.39178,0.02734,7966094.40000
1280,0.65104,0.23432,0.37994,0.02710,7745203.20000
1290,0.63705,0.22720,0.37376,0.02611,7579748.40000
1300,0.62882,0.22427,0.36915,0.02537,7498017.00000
1310,0.63512,0.22788,0.37111,0.02654,7510593.30000
1320,0.61251,0.21966,0.35788,0.02556,7033727.70000
1330,0.61813,0.22620,0.35787,0.02458,6970671.00000
1340,0.62156,0.22281,0.36404,0.02478,6970383.00000
1350,0.60798,0.21926,0.35440,0.02440,6970383.00000
1360,0.60785,0.21743,0.35636,0.02438,6970383.00000
1370,0.61380,0.21806,0.36072,0.02438,6970383.00000
1380,0.61682,0.21700,0.36437,0.02460,6970383.00000
1390,0.61770,0.21931,0.36300,0.02498,6970383.00000
1400,0.62736,0.22530,0.36628,0.02616,7212977.40000
1410,0.67719,0.24278,0.39508,0.02868,8001493.20000
1420,0.67837,0.24359,0.39614,0.02878,8001594.00000
1430,0.67181,0.24280,0.39005,0.02925,7931326.20000
1440,0.66695,0.23944,0.38770,0.02947,7829976.00000
1450,0.67009,0.23879,0.39164,0.02959,7834560.60000
1460,0.67054,0.23932,0.39065,0.02983,7925053.80000
1470,0.68436,0.24109,0.40307,0.03010,7991727.00000
1480,0.67917,0.24119,0.39784,0.03006,7999516.80000
1490,0.69061,0.24481,0.40568,0.03034,8090580.60000
1500,0.70784,0.25219,0.41395,0.03129,8357266.20000
1510,0.71674,0.25556,0.41911,0.03205,8470036.80000
1520,0.72794,0.25162,0.43374,0.03288,8477401.20000
1530,0.72626,0.25334,0.43009,0.03316,8489996.40000
1540,0.72572,0.25429,0.42805,0.03313,8495800.80000
1550,0.72096,0.25352,0.42411,0.03342,8494414.20000
1560,0.70374,0.25275,0.41378,0.02690,8494104.00000
1570,0.69788,0.25297,0.40761,0.02719,8494104.00000
1580,0.70706,0.25262,0.41551,0.02835,8494104.00000
1590,0.70601,0.25152,0.41554,0.02898,8494104.00000
1600,0.71286,0.25368,0.41698,0.03182,8494104.00000
1610,0.71392,0.25339,0.41712,0.03324,8494104.00000
1620,0.72052,0.25307,0.42306,0.03405,8492731.20000
1630,0.72296,0.25288,0.42561,0.03412,8491920.00000
1640,0.72284,0.25338,0.42448,0.03492,8492370.00000
1650,0.71413,0.25266,0.41506,0.03555,8449743.60000
1660,0.71510,0.25009,0.41854,0.03596,8384289.00000
1670,0.71907,0.24946,0.42277,0.03621,8374041.00000
1680,0.72342,0.24888,0.42662,0.03680,8367843.60000
1690,0.72790,0.24684,0.43291,0.03789,8358251.40000
1700,0.71702,0.24632,0.42247,0.03781,8295681.00000
1710,0.70834,0.24493,0.41571,0.03722,8261586.00000
1720,0.68967,0.24277,0.39974,0.03707,8187317.10000
1730,0.68163,0.23736,0.39866,0.03604,8043384.00000
1740,0.68766,0.23845,0.40324,0.03572,8041504.80000
1750,0.68430,0.23640,0.40221,0.03527,7985956.20000
1760,0.67017,0.23142,0.39472,0.03449,7787619.60000
1770,0.65930,0.22399,0.39084,0.03380,7530717.00000
1780,0.65421,0.22206,0.38910,0.03314,7427402.40000
1790,0.62465,0.20996,0.37400,0.03034,6990182.40000
1800,0.61681,0.21025,0.36659,0.02990,6983793.00000
1810,0.62130,0.21028,0.37167,0.02918,6983793.00000
1820,0.62673,0.21181,0.37536,0.02907,6973673.70000
1830,0.62177,0.21083,0.37272,0.02818,6963402.00000
1840,0.62784,0.21164,0.37846,0.02762,6963356.40000
1850,0.63030,0.21034,0.38290,0.02723,6962112.00000
1860,0.63134,0.21062,0.38340,0.02700,6953349.00000
1870,0.63340,0.21053,0.38641,0.02622,6944862.00000
1880,0.62626,0.21072,0.37955,0.02612,6944862.00000
