frame,total,visibility,gbuffer,lighting,tonemap,index_count
940,5.59971,1.61268,3.13586,0.58568,0.08430,22669159.20000
950,5.78313,1.60016,3.10488,0.58864,0.08460,22675995.60000
960,5.21694,1.58042,2.81920,0.58694,0.08427,22710366.60000
970,4.93295,1.57722,2.51000,0.58868,0.08300,22421611.80000
980,4.45436,1.47922,2.01510,0.58733,0.08160,21648012.30000
990,3.82343,1.42169,1.58947,0.58534,0.07452,21358438.20000
1000,3.81408,1.37981,1.56117,0.58266,0.07260,20832129.90000
1010,3.83645,1.32273,1.73200,0.58205,0.07258,20399097.30000
1020,3.83455,1.28215,1.77489,0.58322,0.07334,20261161.20000
1030,3.79321,1.24385,1.74394,0.58412,0.07325,20050881.60000
1040,3.77706,1.23672,1.78971,0.58322,0.07324,20010486.60000
1050,4.04159,1.26055,1.96829,0.58478,0.07421,20314063.20000
1060,4.37650,1.33904,2.17616,0.58474,0.07430,21039028.50000
1070,4.89982,1.44126,2.65778,0.58382,0.07416,21848523.00000
1080,4.68469,1.36117,2.48270,0.58369,0.07422,20805311.70000
1090,3.66002,1.14128,1.78876,0.58432,0.07424,19459068.00000
1100,3.87216,1.12992,1.89813,0.58571,0.07377,19238143.80000
1110,3.61030,1.11314,1.60657,0.58588,0.07321,19026399.00000
1120,3.15920,1.09012,1.27464,0.58749,0.07408,18822052.80000
1130,2.96236,1.08395,1.05177,0.58728,0.07438,18694563.30000
1140,2.44635,0.47578,1.05257,0.58442,0.07289,5389947.60000
1150,2.16461,0.22663,1.11724,0.67380,0.07524,1301457.60000
1160,2.46688,0.42896,1.29214,0.58429,0.07305,8054462.10000
1170,3.58914,1.05988,1.70105,0.58444,0.07331,18352998.60000
1180,3.38449,1.04581,1.56994,0.58550,0.07325,18247214.40000
1190,3.35673,1.03849,1.42615,0.58725,0.07389,18177996.90000
1200,3.28194,1.04783,1.46309,0.58516,0.07303,18110781.30000
1210,3.40232,1.05898,1.61224,0.58532,0.07354,18034769.10000
1220,3.30026,1.01704,1.49122,0.58646,0.07401,17600804.40000
1230,3.16984,1.05249,1.31503,0.58496,0.07385,17953003.80000
1240,2.95204,1.14221,0.98373,0.58449,0.07344,18440531.10000
1250,3.17289,1.14296,1.18557,0.58437,0.07327,18571515.30000
1260,3.36549,1.09946,1.48342,0.58500,0.07511,17955660.60000
1270,2.88259,1.05328,1.10441,0.58508,0.07603,17176931.70000
1280,2.47242,1.04294,0.57830,0.77133,0.07700,16633705.50000
1290,1.90956,0.96272,0.26306,0.58322,0.07279,16363025.70000
1300,2.10957,0.93140,0.36280,0.58610,0.07529,16233924.60000
1310,2.01864,0.94926,0.34728,0.58641,0.07592,16418315.40000
