scene,renderer,max_open,active_bins,diversity_0_ms,diversity_1_ms,diversity_1_vs_0_percent
Bistro,Deferred + prepass,64,64,0.23133576086956523,0.2357170652173913,1.8939157229116876
Bistro,Deferred + prepass,255,132,0.23126782608695648,0.23530043478260868,1.7436963731115585
Bistro,Visibility + G-buffer,64,64,0.3353836956521739,0.3513958695652174,4.774285130917555
Bistro,Visibility + G-buffer,255,132,0.3650509782608696,0.369175652173913,1.1298898396858714
Sponza,Deferred + prepass,64,29,0.47028119047619044,0.4717061904761904,0.30301020514067467
Sponza,Deferred + prepass,255,29,0.4758026190476191,0.4916554761904762,3.331813762309399
Sponza,Visibility + G-buffer,64,29,0.662597380952381,0.5448878571428571,-17.764864032564486
Sponza,Visibility + G-buffer,255,29,0.6688819047619048,0.530785,-20.64593223090133
