frame,Forward,Forward + Prepass,Deferred,Deferred + Prepass,TVB,TVB + G-buffer
0,0.25449,0.40669999999999995,0.27787,0.46191000000000004,0.32267,0.34417
10,0.25624,0.40444,0.27888,0.46338,0.32504999999999995,0.34646999999999994
20,0.2622,0.40456000000000003,0.27876,0.46860999999999997,0.32601,0.34722
30,0.26114,0.4084,0.27965,0.46558999999999995,0.32794,0.34965999999999997
40,0.26232,0.42764,0.27882,0.47078,0.33075,0.36628
50,0.26388,0.41618,0.28118,0.47884000000000004,0.33632,0.35417
60,0.26864,0.42314,0.28441,0.47731999999999997,0.34047,0.36044
70,0.27668,0.42173,0.28570999999999996,0.5059800000000001,0.34565,0.36745
80,0.2727,0.42121,0.28453,0.48155000000000003,0.37056999999999995,0.36704000000000003
90,0.26744,0.45783999999999997,0.2837,0.47883,0.34507000000000004,0.36506999999999995
100,0.29475,0.42308999999999997,0.28817,0.50786,0.33926,0.3607
110,0.27334,0.45347000000000004,0.30624,0.48461,0.3502,0.35406
120,0.2726,0.43223,0.28964,0.50937,0.33143,0.34999
130,0.27181,0.42438,0.28833,0.48096999999999995,0.32964,0.35181
140,0.27845,0.42935,0.29356,0.4838299999999999,0.33521,0.35384
150,0.27637,0.43013,0.29466,0.5073099999999999,0.33716,0.35442999999999997
160,0.2751,0.4314,0.29403999999999997,0.48754,0.33759,0.35736
170,0.27715,0.43226,0.29644000000000004,0.49112,0.34025,0.35979999999999995
180,0.27843,0.43415000000000004,0.29772,0.51646,0.34392,0.36155
190,0.27767,0.43696,0.29635,0.4929200000000001,0.34405,0.36327
200,0.27634,0.43569,0.29664,0.51737,0.34336,0.36273
210,0.27629,0.43569,0.29868,0.49298,0.34390000000000004,0.36311999999999994
220,0.27667,0.43482,0.29697,0.49117,0.3437,0.36251
230,0.27031,0.43411,0.29036,0.4912,0.34609,0.36491999999999997
240,0.27156,0.43461000000000005,0.28963,0.4883,0.35358,0.37233
250,0.27048,0.42751,0.29012000000000004,0.4861,0.35424999999999995,0.37267000000000006
260,0.26989,0.42273,0.28659999999999997,0.48259,0.35124,0.36855
270,0.27087,0.42569999999999997,0.28848,0.48323,0.35396,0.37161
280,0.27182,0.42641,0.28917,0.4860300000000001,0.34727,0.36580999999999997
290,0.27382,0.42894,0.2942,0.48626,0.33966999999999997,0.35754
300,0.27559,0.43004,0.29457,0.48516,0.33884,0.35774999999999996
310,0.30071,0.43091999999999997,0.29569999999999996,0.48774999999999996,0.33628,0.35615
