,Forward,Forward + Prepass,Deferred,Deferred + Prepass,TVB,TVB + G-buffer
Forward,1.0,0.39772773259402183,0.7259262553190449,0.5586605819053716,0.6065880178766703,0.6479970116501023
Forward + Prepass,0.39772773259402183,1.0,0.08716340168531664,0.7503596641328094,0.7681221168542507,0.7200955199989991
Deferred,0.7259262553190449,0.08716340168531664,1.0,0.3809776915941959,0.3821785364400415,0.4185468388206592
Deferred + Prepass,0.5586605819053716,0.7503596641328094,0.3809776915941959,1.0,0.6256210056820659,0.6120224443720886
TVB,0.6065880178766703,0.7681221168542507,0.3821785364400415,0.6256210056820659,1.0,0.9647741437653555
TVB + G-buffer,0.6479970116501023,0.7200955199989991,0.4185468388206592,0.6120224443720886,0.9647741437653555,1.0
