scene,max_open,diversity,active_bins,source_materials,condition_order,condition_key,condition_label,frame,deferred_ms,visbuf_ms,vis_over_deferred,vis_minus_deferred_ms,vis_overhead_percent
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",0,0.20143,0.29943,1.4865213721888497,0.09799999999999998,48.652137218884974
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",60,0.21616,0.31762,1.469374537379719,0.10146000000000002,46.93745373797189
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",120,0.18561,0.28866,1.5551963795054147,0.10305000000000003,55.519637950541465
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",180,0.14738,0.26314,1.785452571583661,0.11575999999999997,78.54525715836611
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",240,0.21599,0.31976,1.4804389092087598,0.10377,48.043890920875974
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",300,0.24533,0.33643,1.3713365670729223,0.09110000000000001,37.13365670729223
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",360,0.24174,0.33634,1.391329527591627,0.09459999999999996,39.132952759162706
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",420,0.18827,0.2868,1.5233441334253996,0.09853,52.33441334253997
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",480,0.19651,0.28871,1.469187318711516,0.09220000000000003,46.91873187115161
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",540,0.20953,0.31284,1.4930558869851573,0.10331000000000001,49.305588698515734
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",600,0.21333,0.32032,1.5015234613040829,0.10699,50.15234613040829
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",660,0.151,0.25845,1.71158940397351,0.10745000000000002,71.158940397351
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",720,0.18976,0.29974,1.5795741989881955,0.10998,57.95741989881955
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",780,0.18098,0.28435,1.5711680848712564,0.10336999999999999,57.11680848712564
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",840,0.12263,0.23078,1.8819212264535596,0.10815000000000001,88.19212264535597
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",900,0.19494,0.31153,1.5980814609623473,0.11658999999999997,59.80814609623473
Bistro,1,1.0,1,132,14,M1_D1,"1 bins
M1, D1",960,0.23735,0.34829,1.4674109964187907,0.11093999999999998,46.74109964187907
