source_file,run_id,result_id,frame,total,forward,index_count,depth_prepass,geometry,lighting,visibility,resolve,gbuffer
run_00000.csv_0_result.csv,00000,0,0,0.49422,0.49005,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,10,0.52279,0.51892,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,20,0.52963,0.52554,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,30,0.55032,0.54640,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,40,0.55542,0.55128,6388479.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,50,0.59372,0.58952,7620873.90000,,,,,,
run_00000.csv_0_result.csv,00000,0,60,0.67432,0.67001,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,70,0.73012,0.72562,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,80,0.70030,0.69582,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,90,0.73708,0.73218,7933098.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,100,0.73790,0.73363,7778540.10000,,,,,,
run_00000.csv_0_result.csv,00000,0,110,0.64706,0.62683,6388359.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,120,0.63332,0.62914,6388359.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,130,0.58439,0.58032,6328608.30000,,,,,,
run_00000.csv_0_result.csv,00000,0,140,0.64762,0.64362,6278724.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,150,0.62358,0.61946,6278724.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,160,0.61532,0.61138,6344505.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,170,0.60880,0.60474,6548192.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,180,0.60522,0.60088,6654137.70000,,,,,,
run_00000.csv_0_result.csv,00000,0,190,0.60583,0.60188,6649594.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,200,0.68354,0.67942,6279649.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,210,0.60834,0.60440,6153959.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,220,0.64848,0.64448,5654925.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,230,0.63899,0.63488,5715609.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,240,0.68162,0.67743,6556806.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,250,0.62840,0.62432,6632634.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,260,0.67088,0.66666,6632607.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,270,0.69168,0.68745,6632600.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,280,0.65416,0.65018,6632592.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,290,0.67028,0.66610,6632589.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,300,0.62958,0.62524,6086332.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,310,0.61855,0.61460,5774538.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,320,0.62047,0.61631,5711706.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,330,0.64870,0.64472,5522449.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,340,0.64594,0.64187,5438616.30000,,,,,,
run_00000.csv_0_result.csv,00000,0,350,0.60448,0.60036,5419182.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,360,0.58008,0.57604,5369350.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,370,0.57320,0.56923,4967546.10000,,,,,,
run_00000.csv_0_result.csv,00000,0,380,0.52955,0.52550,4898302.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,390,0.48568,0.48179,4809108.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,400,0.49902,0.49504,4843965.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,410,0.52500,0.52057,4857206.70000,,,,,,
run_00000.csv_0_result.csv,00000,0,420,0.56656,0.56267,4924218.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,430,0.56314,0.55927,4921590.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,440,0.50340,0.49942,4919838.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,450,0.47047,0.46641,4918621.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,460,0.46242,0.45838,4915782.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,470,0.44615,0.44204,4915782.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,480,0.47109,0.46714,4724589.90000,,,,,,
run_00000.csv_0_result.csv,00000,0,490,0.38064,0.37664,4350555.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,500,0.43301,0.42912,4561743.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,510,0.41114,0.40730,4649973.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,520,0.42512,0.42109,4649973.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,530,0.42891,0.42467,4649973.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,540,0.43682,0.43283,4649973.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,550,0.46484,0.46093,4889201.10000,,,,,,
run_00000.csv_0_result.csv,00000,0,560,0.48555,0.48166,4808830.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,570,0.47104,0.46722,4297629.90000,,,,,,
run_00000.csv_0_result.csv,00000,0,580,0.48258,0.47845,3585789.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,590,0.49376,0.48912,5050871.70000,,,,,,
run_00000.csv_0_result.csv,00000,0,600,0.70991,0.70556,7428586.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,610,0.71770,0.71331,9154439.10000,,,,,,
run_00000.csv_0_result.csv,00000,0,620,0.78234,0.77758,9521362.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,630,0.75588,0.75103,9517167.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,640,0.75594,0.75160,9459631.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,650,0.79480,0.78998,9421272.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,660,0.83109,0.82665,10768835.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,670,0.82761,0.82323,10858999.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,680,0.81252,0.80795,10858885.50000,,,,,,
run_00000.csv_0_result.csv,00000,0,690,0.77078,0.76629,10855368.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,700,0.81196,0.80752,10855368.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,710,0.83574,0.83117,10855368.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,720,0.79521,0.79065,10673067.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,730,0.76775,0.76327,10593060.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,740,0.75799,0.75348,10404744.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,750,0.78478,0.77989,10279200.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,760,0.84763,0.84248,10437937.50000,,,,,,
run_00000.csv_0_result.csv,00000,0,770,0.87892,0.87414,10766673.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,780,0.88084,0.87603,10864798.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,790,0.87826,0.87383,9787313.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,800,0.89225,0.88791,9664446.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,810,0.89126,0.88679,9667598.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,820,0.87576,0.87138,9667593.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,830,0.91469,0.91025,9667602.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,840,0.95568,0.95121,9667602.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,850,1.00270,0.99808,9667603.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,860,1.01800,1.01330,9667607.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,870,0.96374,0.95924,10385949.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,880,1.10408,1.09956,10864839.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,890,1.15056,1.14610,10864839.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,900,1.21121,1.20654,10864835.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,910,1.22058,1.21598,10864828.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,920,1.12361,1.11904,10864825.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,930,1.12996,1.12555,10864821.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,940,1.12633,1.12160,10864821.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,950,1.13952,1.13502,10864821.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,960,1.12510,1.12050,10864818.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,970,1.12082,1.11620,10864786.20000,,,,,,
run_00000.csv_0_result.csv,00000,0,980,1.10788,1.10349,10864773.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,990,1.09899,1.09453,10864773.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1000,1.07192,1.06751,10625328.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,1010,1.00620,1.00127,9667551.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1020,0.97044,0.96610,9667551.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1030,0.92021,0.91548,9667551.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1040,0.90087,0.89626,9667551.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1050,0.84272,0.83814,10146439.80000,,,,,,
run_00000.csv_0_result.csv,00000,0,1060,0.86846,0.86401,10864773.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1070,0.86584,0.86120,10864773.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1080,0.85218,0.84775,10025094.60000,,,,,,
run_00000.csv_0_result.csv,00000,0,1090,0.86532,0.86078,9329834.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,1100,0.89055,0.88606,9156234.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1110,0.88559,0.88114,9156234.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1120,0.95417,0.94962,9156234.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1130,0.98297,0.97822,9153888.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1140,0.91629,0.91157,8888382.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1150,0.80106,0.79687,6681090.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1160,0.82346,0.81954,7146947.40000,,,,,,
run_00000.csv_0_result.csv,00000,0,1170,0.91000,0.90510,9101922.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1180,0.87452,0.86988,9097980.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1190,0.90585,0.90096,9099990.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1200,0.94060,0.93598,9103005.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1210,0.96221,0.95759,9103881.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1220,0.95416,0.94941,9103005.00000,,,,,,
run_00000.csv_0_result.csv,00000,0,1230,0.95880,0.95428,9103013.40000,,,,,,
