frame,total,visibility,gbuffer,lighting,index_count
1090,2.13685,0.29010,1.81248,0.02314,9329834.40000
1100,2.13507,0.28888,1.81240,0.02337,9156234.00000
1110,2.20039,0.28699,1.87703,0.02560,9156234.00000
1120,2.13208,0.28612,1.81244,0.02308,9156234.00000
1130,2.15207,0.28601,1.81245,0.02355,9153888.00000
1140,2.11799,0.27117,1.81241,0.02115,8888382.00000
1150,2.06430,0.21863,1.81221,0.02160,6681090.00000
1160,2.05842,0.21540,1.81238,0.02078,7146947.40000
1170,2.13182,0.28732,1.81228,0.02219,9101922.00000
1180,2.12254,0.27832,1.81226,0.02173,9097980.00000
1190,2.15854,0.27800,1.81246,0.02550,9099990.00000
1200,2.12589,0.28194,1.81230,0.02076,9103005.00000
1210,2.12192,0.27812,1.81247,0.02075,9103881.00000
1220,2.12093,0.27654,1.81248,0.02121,9103005.00000
1230,2.12026,0.27461,1.81263,0.02176,9103013.40000
1240,2.16230,0.28108,1.81250,0.02518,9103039.20000
1250,2.21808,0.28160,1.81272,0.02264,9100531.50000
1260,2.17327,0.27328,1.81256,0.02215,9094303.20000
1270,2.18871,0.27211,1.81271,0.02256,9091825.20000
1280,2.15122,0.26841,1.81277,0.02268,8847516.90000
1290,2.10603,0.26138,1.81225,0.01990,8728518.00000
1300,2.09409,0.25132,1.81235,0.01915,8236771.20000
1310,2.06026,0.18556,1.81211,0.02076,6191688.00000
1320,2.04974,0.20841,1.81198,0.01928,6862126.50000
1330,2.02987,0.18714,1.81218,0.02019,5573805.00000
1340,2.03650,0.19602,1.81199,0.01809,6060954.00000
1350,2.07116,0.23007,1.81222,0.01949,6881545.80000
1360,2.18332,0.30491,1.81230,0.02363,9634320.90000
1370,2.18953,0.34544,1.81223,0.02136,10864779.00000
1380,2.19119,0.34562,1.81240,0.02280,10864773.60000
1390,2.19053,0.34449,1.81234,0.02359,10864773.00000
1400,2.19192,0.34282,1.81044,0.02654,10864774.80000
1410,1.94350,0.32661,1.58503,0.02194,10566703.20000
1420,1.72907,0.31886,1.38135,0.01894,10592118.60000
1430,1.95404,0.34206,1.57885,0.02300,10864791.00000
1440,1.94090,0.34358,1.56368,0.02315,10864798.20000
1450,1.94650,0.34599,1.56652,0.02368,10864803.00000
1460,1.99034,0.34879,1.60472,0.02606,10864803.00000
1470,2.00910,0.35039,1.62158,0.02662,10864803.00000
1480,2.02636,0.35279,1.63572,0.02752,10864807.80000
1490,2.02900,0.35467,1.63672,0.02779,10864813.20000
1500,2.02398,0.35872,1.62753,0.02711,10864818.60000
1510,2.00704,0.36054,1.61074,0.02573,10864824.00000
1520,1.97286,0.36387,1.57436,0.02396,10864827.00000
1530,1.86532,0.36068,1.47297,0.02191,10864822.20000
1540,1.76340,0.35827,1.37424,0.02050,10864824.00000
1550,1.75800,0.35967,1.36795,0.02016,10864827.00000
1560,1.77757,0.36234,1.38538,0.01977,10864828.20000
1570,1.79562,0.36277,1.40350,0.01938,10869039.60000
1580,1.82396,0.36456,1.43011,0.01951,10951032.60000
1590,1.86869,0.36590,1.47242,0.02031,10974487.80000
1600,1.88038,0.36520,1.48545,0.02004,10974497.40000
1610,1.83877,0.36410,1.44516,0.01947,10974504.00000
1620,1.77818,0.36129,1.38840,0.01859,10974501.00000
1630,1.71583,0.35968,1.32783,0.01837,10974495.00000
1640,1.69422,0.35930,1.30650,0.01825,10974492.00000
1650,1.68810,0.35877,1.30152,0.01805,10974492.00000
1660,1.66811,0.35816,1.28170,0.01806,10974493.80000
1670,1.64986,0.35714,1.26508,0.01790,10974916.20000
1680,1.63457,0.36163,1.24468,0.01804,11108102.10000
1690,1.60055,0.36644,1.20670,0.01754,11241013.20000
1700,1.54497,0.36480,1.15260,0.01746,11241018.60000
1710,1.49416,0.36481,1.10114,0.01736,11241024.00000
1720,1.44597,0.36338,1.05526,0.01735,11241025.80000
1730,1.39860,0.36236,1.00863,0.01719,11241037.20000
1740,1.34316,0.36083,0.95541,0.01694,11241052.20000
1750,1.29361,0.35939,0.90736,0.01645,11241054.00000
1760,1.24782,0.35858,0.86277,0.01616,11241054.00000
1770,1.22189,0.35930,0.83664,0.01609,11241054.00000
1780,1.19687,0.35993,0.81111,0.01590,11241054.00000
1790,1.16082,0.35861,0.77647,0.01574,11241054.00000
1800,1.14436,0.35877,0.75984,0.01575,11241054.00000
1810,1.13649,0.35871,0.75206,0.01577,11241049.80000
1820,1.14462,0.35852,0.76036,0.01561,11241039.60000
1830,1.16296,0.35881,0.77805,0.01596,11241032.40000
1840,1.19171,0.35925,0.80644,0.01607,11241024.00000
1850,1.21810,0.36006,0.83241,0.01602,11241018.00000
1860,1.26064,0.36049,0.87372,0.01622,11241019.80000
1870,1.31031,0.36185,0.92155,0.01652,11241019.80000
1880,1.35494,0.36310,0.96500,0.01672,11241012.60000
1890,1.40321,0.36411,1.01263,0.01699,11241006.00000
1900,1.45765,0.36533,1.06496,0.01720,11241003.00000
1910,1.49521,0.36546,1.10232,0.01733,11240994.00000
1920,1.54876,0.36713,1.15464,0.01766,11240985.60000
1930,1.59556,0.36722,1.20047,0.01774,11240971.20000
1940,1.65517,0.36795,1.25882,0.01808,11240961.00000
