frame,triangle_count,total_fragments,covered_pixels,overdraw_extra,avg_overdraw,max_overdraw,rasterized_triangles,skipped_triangles,quad_instances,quad_covered_lanes,quad_waste_lanes,quad_efficiency
115,6288072,4950138,1754537,3195601,2.821336,10,208957,6079115,1620811,4950138,1533106,0.763528
116,6288072,4969677,1762220,3207457,2.820123,10,209627,6078445,1624621,4969677,1528807,0.764744
117,6288072,4990810,1770923,3219887,2.818197,10,210351,6077721,1630132,4990810,1529718,0.765400
118,6288072,5010884,1778406,3232478,2.817627,12,211852,6076220,1641784,5010884,1556252,0.763024
119,6288072,5032682,1785803,3246879,2.818162,11,212657,6075415,1643679,5032682,1542034,0.765460
120,6288072,5054316,1793113,3261203,2.818738,11,213550,6074522,1652909,5054316,1557320,0.764458
121,6288072,5238841,1865394,3373447,2.808437,11,223306,6064766,1713742,5238841,1616127,0.764240
122,6289112,5368027,1922581,3445446,2.792094,11,233010,6056102,1757952,5368027,1663781,0.763392
123,6297487,5491894,1970413,3521481,2.787179,12,241925,6055562,1806307,5491894,1733334,0.760100
124,6298947,5595556,2009960,3585596,2.783914,12,248901,6050046,1840592,5595556,1766812,0.760021
125,6300622,5713235,2044198,3669037,2.794854,12,256314,6044308,1882928,5713235,1818477,0.758557
126,6300632,5817995,2073600,3744395,2.805746,12,258497,6042135,1915753,5817995,1845017,0.759231
127,6300632,5867874,2073600,3794274,2.829800,12,261381,6039251,1938035,5867874,1884266,0.756936
128,6300632,5913991,2073600,3840391,2.852040,13,263158,6037474,1956442,5913991,1911777,0.755707
129,6357514,5966141,2073600,3892541,2.877190,12,265098,6092416,1980544,5966141,1956035,0.753094
130,6368686,6034948,2073600,3961348,2.910372,13,268634,6100052,2005626,6034948,1987556,0.752252
131,6368686,6021109,2073599,3947510,2.903700,13,267815,6100871,1992399,6021109,1948487,0.755510
132,6368686,5997046,2073600,3923446,2.892094,14,266782,6101904,1989854,5997046,1962370,0.753453
133,6363100,5975368,2073600,3901768,2.881640,13,266220,6096880,1981358,5975368,1950064,0.753949
134,6363100,5966568,2073600,3892968,2.877396,12,264413,6098687,1978298,5966568,1946624,0.754003
135,6357514,5948655,2073600,3875055,2.868757,13,264192,6093322,1969926,5948655,1931049,0.754934
136,6357512,5931573,2073599,3857974,2.860521,13,263243,6094269,1964209,5931573,1925263,0.754957
137,6357488,5917670,2073598,3844072,2.853817,13,261866,6095622,1963361,5917670,1935774,0.753513
138,6300608,5902908,2073600,3829308,2.846696,12,260919,6039689,1954631,5902908,1915616,0.754990
139,6300608,5892497,2073600,3818897,2.841675,13,261598,6039010,1950901,5892497,1911107,0.755099
140,6300288,5887690,2073600,3814090,2.839357,12,260694,6039594,1950322,5887690,1913598,0.754707
141,6300288,5882925,2073600,3809325,2.837059,12,260111,6040177,1950419,5882925,1918751,0.754059
142,6300288,5881445,2073600,3807845,2.836345,13,259672,6040616,1945980,5881445,1902475,0.755589
143,6300288,5875112,2073599,3801513,2.833292,13,258289,6041999,1944500,5875112,1902888,0.755350
144,6272470,5884117,2073600,3810517,2.837634,12,258838,6013632,1944793,5884117,1895055,0.756394
145,6272470,5884928,2073600,3811328,2.838025,12,258416,6014054,1946733,5884928,1902004,0.755744
146,6272470,5878550,2073600,3804950,2.834949,12,257131,6015339,1944905,5878550,1901070,0.755635
147,6272470,5878654,2073600,3805054,2.834999,11,257671,6014799,1938575,5878654,1875646,0.758115
148,6272402,5883845,2073600,3810245,2.837502,12,256944,6015458,1940903,5883845,1879767,0.757875
149,6272402,5889230,2073600,3815630,2.840099,11,256389,6016013,1946189,5889230,1895526,0.756508
150,6270727,5896059,2073600,3822459,2.843393,12,255740,6014987,1944600,5896059,1882341,0.758004
151,6264393,5898089,2073599,3824490,2.844373,11,254217,6010176,1942020,5898089,1869991,0.759272
152,6264393,5899660,2073598,3826062,2.845132,11,251832,6012561,1939621,5899660,1858824,0.760414
153,6264393,5915678,2073600,3842078,2.852854,12,250725,6013668,1942441,5915678,1854086,0.761372
154,6264393,5920250,2073600,3846650,2.855059,11,248149,6016244,1939116,5920250,1836214,0.763267
155,6227483,5926238,2073599,3852639,2.857948,11,245044,5982439,1928085,5926238,1786102,0.768410
156,6227115,5938487,2073600,3864887,2.863854,11,243211,5983904,1926662,5938487,1768161,0.770567
157,6227115,5913918,2073600,3840318,2.852005,11,238123,5988992,1917416,5913918,1755746,0.771079
158,6227115,5920516,2073599,3846917,2.855188,11,234772,5992343,1907451,5920516,1709288,0.775972
159,6226727,5932542,2073599,3858943,2.860988,12,230975,5995752,1907199,5932542,1696254,0.777651
160,6222320,5945859,2073600,3872259,2.867409,11,224666,5997654,1905893,5945859,1677713,0.779931
161,6216734,5896692,2073600,3823092,2.843698,10,217964,5998770,1881729,5896692,1630224,0.783414
162,6181321,5870625,2073600,3797025,2.831127,10,210602,5970719,1867402,5870625,1598983,0.785935
163,6180281,5826304,2073600,3752704,2.809753,11,202924,5977357,1836857,5826304,1521124,0.792972
164,6174695,5789100,2073599,3715501,2.791813,10,196839,5977856,1825800,5789100,1514100,0.792680
165,6174695,5700133,2073600,3626533,2.748907,10,190525,5984170,1791929,5700133,1467583,0.795251
166,6174695,5556570,2073600,3482970,2.679673,10,183980,5990715,1742817,5556570,1414698,0.797067
167,6147665,5412242,2073599,3338643,2.610072,9,177842,5969823,1699968,5412242,1387630,0.795933
168,6141857,5325524,2073600,3251924,2.568250,10,171833,5970024,1670437,5325524,1356224,0.797026
169,5910483,5213006,2073599,3139407,2.513989,10,167220,5743263,1633398,5213006,1320586,0.797877
170,5910483,5059924,2073600,2986324,2.440164,10,163549,5746934,1589625,5059924,1298576,0.795773
171,5906303,4972080,2073600,2898480,2.397801,10,160397,5745906,1565355,4972080,1289340,0.794082
172,5906303,4900971,2073599,2827372,2.363510,9,157314,5748989,1547662,4900971,1289677,0.791673
173,5900495,4896871,2073600,2823271,2.361531,9,153994,5746501,1540268,4896871,1264201,0.794808
174,5896755,4899284,2073600,2825684,2.362695,9,150247,5746508,1539442,4899284,1258484,0.795627
175,5808656,4899621,2073600,2826021,2.362857,9,146985,5661671,1537374,4899621,1249875,0.796752
176,5784500,4904555,2073600,2830955,2.365237,9,144135,5640365,1533246,4904555,1228429,0.799701
177,5784500,4911178,2073600,2837578,2.368431,9,142284,5642216,1531558,4911178,1215054,0.801664
178,5756682,4918421,2073600,2844821,2.371924,9,140286,5616396,1534491,4918421,1219543,0.801311
179,5732526,4923670,2073600,2850070,2.374455,11,138355,5594171,1531334,4923670,1201666,0.803820
180,5726886,4931722,2073600,2858122,2.378338,10,136325,5590561,1535528,4931722,1210390,0.802936
181,5726886,4929944,2073599,2856345,2.377482,10,135336,5591550,1528105,4929944,1182476,0.806545
182,5720552,4936416,2073600,2862816,2.380602,10,135220,5585332,1536223,4936416,1208476,0.803336
183,5720552,4940209,2073600,2866609,2.382431,10,134324,5586228,1534226,4940209,1196695,0.805000
184,5720548,4941729,2073599,2868130,2.383165,11,133665,5586883,1533880,4941729,1193791,0.805430
185,5720548,4945899,2073600,2872299,2.385175,10,133046,5587502,1533104,4945899,1186517,0.806517
186,5720540,4947340,2073600,2873740,2.385870,10,132313,5588227,1533156,4947340,1185284,0.806725
187,5715320,4954043,2073600,2880443,2.389103,10,132361,5582959,1536269,4954043,1191033,0.806181
188,5715320,4956779,2073600,2883179,2.390422,10,131311,5584009,1534354,4956779,1180637,0.807633
189,5657907,4960776,2073600,2887176,2.392350,10,130948,5526959,1537437,4960776,1188972,0.806663
190,5657907,4967150,2073600,2893550,2.395423,10,130605,5527302,1534846,4967150,1172234,0.809063
191,5657907,4971093,2073600,2897493,2.397325,10,129770,5528137,1540714,4971093,1191763,0.806622
192,5657907,4970655,2073600,2897055,2.397114,11,128979,5528928,1537397,4970655,1178933,0.808291
193,5657907,4978061,2073600,2904461,2.400685,10,127491,5530416,1534656,4978061,1160563,0.810941
194,5619313,4980785,2073600,2907185,2.401999,10,127145,5492168,1538755,4980785,1174235,0.809223
195,5619321,4987776,2073600,2914176,2.405370,10,125850,5493471,1534855,4987776,1151644,0.812418
196,5619283,4997011,2073600,2923411,2.409824,11,125231,5494052,1534986,4997011,1142933,0.813853
197,5619283,5007539,2073600,2933939,2.414901,12,124529,5494754,1540617,5007539,1154929,0.812587
198,5616803,5012066,2073600,2938466,2.417084,10,123630,5493173,1539027,5012066,1144042,0.814161
199,5615026,5020060,2073600,2946460,2.420939,10,122400,5492626,1539178,5020060,1136652,0.815380
200,5615026,5026202,2073600,2952602,2.423901,9,122009,5493017,1543963,5026202,1149650,0.813848
201,5615026,5036816,2073600,2963216,2.429020,9,121107,5493919,1543984,5036816,1139120,0.815555
202,5615026,5045317,2073600,2971717,2.433120,9,120684,5494342,1544799,5045317,1133879,0.816501
203,5615026,5057020,2073600,2983420,2.438764,10,119918,5495108,1547469,5057020,1132856,0.816982
204,5615026,5066060,2073600,2992460,2.443123,9,118165,5496861,1547540,5066060,1124100,0.818405
205,5615026,5088287,2073600,3014687,2.453842,9,118137,5496889,1553788,5088287,1126865,0.818691
206,5615026,5101026,2073600,3027426,2.459986,9,116581,5498445,1553232,5101026,1111902,0.821034
207,5639182,5112860,2073600,3039260,2.465693,10,115981,5523201,1556411,5112860,1112784,0.821258
208,5639182,5131031,2073599,3057432,2.474457,9,114606,5524576,1560864,5131031,1112425,0.821825
209,5639182,5151602,2073600,3078002,2.484376,10,114644,5524538,1568465,5151602,1122258,0.821122
210,5639182,5172013,2073600,3098413,2.494219,9,113197,5525985,1569678,5172013,1106699,0.823738
211,5637502,5142027,2073600,3068427,2.479758,10,111405,5526097,1556174,5142027,1082669,0.826069
212,5637502,5074620,2073600,3001020,2.447251,11,108735,5528767,1538414,5074620,1079036,0.824651
213,5637066,4997653,2073600,2924053,2.410134,9,105861,5531205,1514427,4997653,1060055,0.825007
214,5631472,4793535,2073600,2719935,2.311697,8,103050,5528422,1460654,4793535,1049081,0.820443
215,5631472,4526380,2073600,2452780,2.182861,9,99126,5532346,1382227,4526380,1002528,0.818675
216,5631472,4419753,2073600,2346153,2.131440,8,96381,5535091,1351137,4419753,984795,0.817784
217,5631472,4389881,2073600,2316281,2.117034,9,93388,5538084,1338403,4389881,963731,0.819985
218,5631472,4371601,2073600,2298001,2.108218,8,90197,5541275,1330278,4371601,949511,0.821558
219,5631472,4369372,2073599,2295773,2.107144,8,87575,5543897,1325987,4369372,934576,0.823796
220,5640532,4371660,2073600,2298060,2.108247,8,85484,5555048,1322010,4371660,916380,0.826707
221,5574266,4319200,2073600,2245600,2.082948,9,82858,5491408,1304916,4319200,900464,0.827486
222,5566800,4334757,2073600,2261157,2.090450,10,81400,5485400,1310323,4334757,906535,0.827040
223,5539282,4325438,2073599,2251839,2.085957,11,80413,5458869,1308259,4325438,907598,0.826564
224,5559539,4318777,2073599,2245178,2.082745,11,79639,5479900,1307271,4318777,910307,0.825915
225,5575061,4329482,2073600,2255882,2.087906,12,78312,5496749,1308595,4329482,904898,0.827124
226,5641703,4336735,2073600,2263135,2.091404,11,77439,5564264,1306924,4336735,890961,0.829569
227,5494152,4299586,2073598,2225988,2.073491,11,73907,5420245,1288364,4299586,853870,0.834311
228,560704,4186555,2073600,2112955,2.018979,10,75502,485202,1255878,4186555,836957,0.833392
229,550648,4088116,2073600,2014516,1.971507,10,74503,476145,1224904,4088116,811500,0.834375
230,523376,4120563,2073600,2046963,1.987154,9,72606,450770,1230718,4120563,802309,0.837024
231,549755,4207653,2073600,2134053,2.029154,10,75142,474613,1260297,4207653,833535,0.834655
232,544456,4182051,2073600,2108451,2.016807,9,82381,462075,1263497,4182051,871937,0.827475
233,560072,4131032,2073600,2057432,1.992203,9,81681,478391,1251337,4131032,874316,0.825324
234,649187,4083362,2073503,2009859,1.969306,9,83969,565218,1241455,4083362,882458,0.822294
235,689157,4056750,2073260,1983490,1.956701,10,105418,583739,1255045,4056750,963430,0.808089
236,691958,4230693,2073302,2157391,2.040558,16,111480,580478,1314704,4230693,1028123,0.804495
237,754643,4404436,2073325,2331111,2.124335,18,112651,641992,1364901,4404436,1055168,0.806732
238,758082,4614312,2073314,2540998,2.225573,20,113376,644706,1428613,4614312,1100140,0.807481
239,786402,4565736,2073341,2492395,2.202115,19,111239,675163,1409737,4565736,1073212,0.809679
240,764104,4379357,2073347,2306010,2.112216,18,110900,653204,1355555,4379357,1042863,0.807669
241,773065,4217078,2073362,2143716,2.033932,20,110195,662870,1304887,4217078,1002470,0.807939
242,754300,4341068,2073375,2267693,2.093721,19,112773,641527,1342085,4341068,1027272,0.808643
243,781302,4603315,2073368,2529947,2.220211,19,118707,662595,1420771,4603315,1079769,0.810003
244,781302,4872547,2073323,2799224,2.350115,20,131441,649861,1513398,4872547,1181045,0.804902
245,781306,5018855,2073300,2945555,2.420709,18,133906,647400,1555366,5018855,1202609,0.806700
246,787118,4992782,2073359,2919423,2.408064,18,135732,651386,1552543,4992782,1217390,0.803968
247,807314,4990431,2073340,2917091,2.406953,18,134528,672786,1552837,4990431,1220917,0.803438
248,807326,4906373,2073340,2833033,2.366410,17,131824,675502,1527611,4906373,1204071,0.802949
249,768847,4907735,2073344,2834391,2.367063,17,131799,637048,1532249,4907735,1221261,0.800740
250,762887,4973872,2073355,2900517,2.398949,16,131721,631166,1549919,4973872,1225804,0.802279
