renderer,pass,n,selected_term_count,selected_terms,elastic_net_direct_terms,elastic_alpha_1se,elastic_l1_ratio,nested_cv_rmse_ms,nested_cv_mae_ms,nested_cv_r2,refit_train_rmse_ms,refit_train_mae_ms,refit_train_r2,refit_adjusted_r2
Forward,forward,173,9,"G, Q, O, A, GO, OA, GQO, GQA, QOA","G, Q, O, A, GO, OA, GQO, GQA, QOA",0.040433950991487444,0.95,0.8314254493520723,0.45307924283655965,0.9895012889168899,0.7494861033194666,0.4134036242252772,0.9914686742226924,0.9909976194251723
Forward,total,173,9,"G, Q, O, A, GO, OA, GQO, GQA, QOA","G, Q, O, A, GO, OA, GQO, GQA, QOA",0.040433950991487444,0.95,0.8314254493520723,0.45307924283655965,0.9895012889168899,0.7494861033194666,0.4134036242252772,0.9914686742226924,0.9909976194251723
ForwardPrepass,depth_prepass,157,10,"G, Q, O, A, GQ, GO, QO, QA, OA, GQA","G, Q, GQ, GO, QO, QA, OA, GQA",0.009712884003685,1.0,0.6517549292977951,0.3627241199329596,0.991157786592941,0.6030079655767906,0.326949389356914,0.9924310011082282,0.9919125765266
ForwardPrepass,forward,157,9,"G, Q, O, A, GQ, GO, QO, QA, OA","G, Q, A, GQ, GO, QO, QA, OA",0.00969374505386853,1.0,0.6721827153862063,0.3684271263057642,0.9905919049764655,0.6156035882566002,0.3318048167839128,0.9921090498663643,0.9916259304704274
ForwardPrepass,total,157,9,"G, Q, O, A, GQ, GO, QO, QA, OA","G, Q, A, GQ, GO, QO, QA, OA",0.019417118340086973,1.0,1.307478964467418,0.7211361218334733,0.9911015298998154,1.21669368335282,0.6576503089781895,0.9922943650375164,0.9918225914683848
VisBuf,visibility,178,6,"G, Q, O, A, GO, GA","G, Q, O, GO, GA",0.08960374801407023,1.0,0.9321912284821239,0.5175570053408943,0.9680407440937555,0.9008623832810253,0.4912352249491806,0.9701528037892494,0.9691055337467669
VisBuf,resolve,178,6,"G, Q, O, A, GA, QO","O, A, GA, QO",0.0017246018041914585,0.3,0.0045068869453759475,0.0036463049007526165,0.999867411390334,0.0039698979920088735,0.00339417057501953,0.9998971245888999,0.9998935149253525
VisBuf,total,178,6,"G, Q, O, A, GO, GA","G, Q, O, A, GO, GA",0.049391612985221114,0.9,0.9338179079209431,0.5124215310476491,0.9679273053338217,0.8997942585808486,0.4900245864174106,0.9702218653900377,0.969177018561618
