gpu,scene,resolution,warmup_frames,measure_frames,profile_window_frames,vfc,textures,renderer_variant,renderer_name,plot_label,total_avg_ms,total_median_ms,total_p90_ms,total_p99_ms,total_reduction_vs_deferred_pct,total_reduction_vs_prepass_pct,index_count_profile_identical,index_count_min,index_count_max,depth_prepass_avg_ms,geometry_avg_ms,visibility_avg_ms,gbuffer_avg_ms,lighting_avg_ms,tonemap_avg_ms,unprofiled_avg_ms
NVIDIA GeForce RTX 5060 Ti 16GB,Sponza + Ivy,1920x1080,60,2500,10,1,1,7,DonutDeferred,Deferred,4.198280,4.462240,5.875810,7.903940,0.000000,-17.285789,true,0,26437728,0.000000,3.460820,0.000000,0.000000,0.569520,0.057220,0.110720
NVIDIA GeForce RTX 5060 Ti 16GB,Sponza + Ivy,1920x1080,60,2500,10,1,1,8,DonutDeferredPrepass,Deferred + Prepass,3.579530,3.823170,5.316130,5.922590,14.738178,0.000000,true,0,26437728,0.799290,2.028200,0.000000,0.000000,0.592970,0.067040,0.092030
NVIDIA GeForce RTX 5060 Ti 16GB,Sponza + Ivy,1920x1080,60,2500,10,1,1,9,DonutVisGBuffer,VisBuf + G-buffer,3.734130,3.987620,5.607460,6.334750,11.055718,-4.319003,true,0,26437728,0.000000,0.000000,1.023050,1.889310,0.590400,0.070140,0.161230
