alu_calc_count,Forward_over_Forward,Deferred_over_Forward,Forward_over_Forward+Prepass,Deferred_over_Forward+Prepass,Forward_over_Deferred,Deferred_over_Deferred,Forward_over_TVB,Deferred_over_TVB,Forward_over_Deferred+Prepass,Deferred_over_Deferred+Prepass,Forward_over_TVB+GBuffer,Deferred_over_TVB+GBuffer
10,1.0,1.052499636200077,1.1645240057616908,1.2256610924104359,0.9501190932572476,1.0,1.37329566615495,1.4453931890232272,1.0813621635540422,1.1381332837411573,1.3048116342294913,1.3733137703361673
20,1.0,1.0447058823529412,1.4022216313307538,1.4649091866137758,0.9572072072072072,1.0,1.7742622117853855,1.8535821694887322,1.3392486939215522,1.3991209884733393,1.7104313808556126,1.7868977249409226
40,1.0,0.9945278033405877,1.6631949576464635,1.6540936277552791,1.005502306361905,1.0,2.2303372518619984,2.218132407802996,1.6238599776805756,1.6149738965353584,2.1863013462053242,2.174337475282151
80,1.0,1.0035125803277258,1.721934381658555,1.7279828144932037,0.9964997147055409,1.0,2.46755075196431,2.476218222193325,1.7713079911249614,1.7775298527289305,2.4427618679817007,2.451342265264492
160,1.0,1.00426126984913,1.842173330913369,1.8500233285852616,0.9957568115219955,1.0,2.5801327182757805,2.591127360034923,1.8044975049542553,1.8121869557649473,2.5611160652359155,2.572029671904828
