variant,renderer,beta_0_ms,beta_inv_waste_quad_ms,beta_inv_waste_quad_squared_ms,beta_alu_ms_per_count,beta_alu_over_waste_quad_ms,beta_alu_over_waste_quad_squared_ms,r_squared,rmse_ms,mape_percent
1,Forward,0.013993171271444518,2.703799067290159,36.72597601667416,0.017874211258602564,-0.2452584280770395,1.45669381557577,0.9569386027616663,0.17612416452718727,9.800163629730692
2,ForwardPrepass,0.02872771909665305,5.289648842541451,74.48513626089333,0.017617798462896447,-0.23877579491833406,1.4150565603457683,0.9605826031440053,0.18426109766588525,9.707624769956727
4,VisBuf,0.051054368688535495,2.5986245309441265,36.98350318129911,0.009867271701475226,-0.002756106030505662,0.020362922462197335,0.9997754832958617,0.009819096570370216,2.971756182145752
