gpu,scene,resolution,warmup_frames,measure_frames,profile_window_frames,vfc,textures,renderer_variant,renderer_name,plot_label,total_avg_ms,total_median_ms,total_p90_ms,total_p99_ms,total_reduction_vs_deferred_pct,total_reduction_vs_prepass_pct,index_count_profile_identical,index_count_min,index_count_max,depth_prepass_avg_ms,geometry_avg_ms,visibility_avg_ms,gbuffer_avg_ms,lighting_avg_ms,tonemap_avg_ms,unprofiled_avg_ms
NVIDIA GeForce RTX 5060 Ti 16GB,Sponza,1920x1080,60,2500,10,1,1,7,DonutDeferred,Deferred,3.280800,3.482300,4.669790,5.802340,0.000000,-45.224689,true,0,11241054,0.000000,2.880320,0.000000,0.000000,0.339100,0.047460,0.013920
NVIDIA GeForce RTX 5060 Ti 16GB,Sponza,1920x1080,60,2500,10,1,1,8,DonutDeferredPrepass,Deferred + Prepass,2.259120,2.530300,3.197540,3.603940,31.141185,0.000000,true,0,11241054,0.232470,1.547590,0.000000,0.000000,0.386160,0.066730,0.026170
NVIDIA GeForce RTX 5060 Ti 16GB,Sponza,1920x1080,60,2500,10,1,1,9,DonutVisGBuffer,VisBuf + G-buffer,2.755040,3.011650,4.228130,4.893920,16.025360,-21.951910,true,0,11241054,0.000000,0.000000,0.339700,1.892480,0.425440,0.064520,0.032900
