run_id,run_name,run_current_time,output_filepath,renderer_variant,renderer_variant_name,variable,to_use_scene,scene_path,warmup_frames,measure_frames,auto_terminate,window_width,window_height,seed,camera_pos_x,camera_pos_y,camera_pos_z,camera_lookat_x,camera_lookat_y,camera_lookat_z,camera_near_z,camera_far_z,camera_fov,sphere_count,material_count,geometry_count,z_min,z_max,xy_minmax,radius,geometry_div,gbuffer_cnt,texture_count,texture_size,texture_sampling_count,alu_calc_count,variant_name,pass_index,pass_name,time_min_ms,time_median_ms,time_max_ms,time_avg_ms,time_p01_ms,time_p10_ms,time_p90_ms,time_p99_ms
17,no-run-name,,../../../../scripts/res1-16.csv,4,no-variant-name,65536,0,assets/scenes/unpacked/CornellBox/CornellBox-Empty-RG.obj,1200,120,1,1280,720,0,1,0.1,-4,0,0,0,0.1,1000,45,1000,1,65536,-1,1,1,0.1,10,1,1,1,0,0,TVB,0,visibility,0.14090,0.14266,0.14438,0.14270,0.14102,0.14189,0.14365,0.14422
17,no-run-name,,../../../../scripts/res1-16.csv,4,no-variant-name,65536,0,assets/scenes/unpacked/CornellBox/CornellBox-Empty-RG.obj,1200,120,1,1280,720,0,1,0.1,-4,0,0,0,0.1,1000,45,1000,1,65536,-1,1,1,0.1,10,1,1,1,0,0,TVB,1,resolve,0.01581,0.01610,0.01645,0.01612,0.01584,0.01597,0.01632,0.01645
17,no-run-name,,../../../../scripts/res1-16.csv,4,no-variant-name,65536,0,assets/scenes/unpacked/CornellBox/CornellBox-Empty-RG.obj,1200,120,1,1280,720,0,1,0.1,-4,0,0,0,0.1,1000,45,1000,1,65536,-1,1,1,0.1,10,1,1,1,0,0,TVB,3,total,0.15702,0.15888,0.16061,0.15882,0.15722,0.15798,0.15971,0.16042
