variant,renderer,beta_0_ms,beta_overdraw_ms_per_count,beta_alu_ms_per_count,beta_overdraw_x_alu_ms_per_product,r_squared,rmse_ms,mape_percent
1,Forward,0.14624484304150484,0.010444456577740971,0.009494239793731984,0.0106079432251492,0.9999537673584953,0.038072959777830595,3.5226116421042972
2,ForwardPrepass,0.2928835085834493,0.0007857387392312498,0.00947772409701375,1.478759060663019e-06,0.9999073512156008,0.0018403427469630348,0.365393871615558
4,VisBuf,0.1750222512103975,0.008818430944473077,0.009834187126172862,-1.7759714537693693e-06,0.9997733129470028,0.0035633965693568793,0.7287239603589994
