frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.59155,0.08816,1.33649,0.10584,0.04423,2955774.10000
60,1.42511,0.08309,1.19040,0.09697,0.03857,3390293.45000
120,1.30520,0.05132,1.09922,0.09708,0.03833,1763572.05000
180,1.15371,0.05194,0.95020,0.09723,0.03824,1334104.85000
240,0.98016,0.05020,0.78363,0.09095,0.03762,1563999.05000
300,0.82688,0.04231,0.64262,0.08786,0.03755,942806.45000
360,1.18791,0.03734,1.00089,0.08943,0.03806,651664.20000
420,1.27528,0.03143,1.09461,0.09178,0.03842,531526.60000
480,1.07294,0.02142,0.90611,0.09080,0.03778,335265.25000
540,0.97597,0.02536,0.80770,0.09095,0.03794,394504.35000
