frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,1.18886,0.13038,0.02759,0.00217,0.03822,0.82616,0.09369,0.03581,2955774.10000
60,1.42917,0.15315,0.02957,0.00217,0.04228,1.03422,0.09686,0.03881,3390293.45000
120,1.33376,0.09643,0.02828,0.00217,0.04120,0.99544,0.09651,0.03847,1763572.05000
180,1.26035,0.08909,0.02774,0.00227,0.04075,0.93482,0.09642,0.03791,1334104.85000
240,1.16347,0.09807,0.02767,0.00265,0.04020,0.83993,0.09079,0.03783,1563999.05000
300,0.98854,0.08993,0.02722,0.00275,0.03954,0.67881,0.08711,0.03739,942806.45000
360,1.25819,0.07521,0.02795,0.00277,0.04023,0.95802,0.08873,0.03831,651664.20000
420,1.38640,0.06802,0.02793,0.00284,0.04026,1.09138,0.09095,0.03824,531526.60000
480,1.17603,0.06013,0.02754,0.00267,0.03961,0.89320,0.09090,0.03769,335265.25000
540,1.07715,0.06400,0.02742,0.00264,0.03977,0.78839,0.08990,0.03800,394504.35000
