frame,total,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer,lighting,tonemap,index_count
0,0.70418,0.26454,0.02809,0.00217,0.03457,0.19712,0.10027,0.04456,3553381.35000
60,0.83585,0.28464,0.03077,0.00217,0.03793,0.27122,0.12332,0.05243,3662944.30000
120,0.78649,0.20665,0.03084,0.00211,0.04214,0.30776,0.11581,0.04637,2176008.00000
180,0.65580,0.14260,0.02843,0.00207,0.04122,0.26899,0.10204,0.03818,1760027.75000
240,0.73254,0.19459,0.03029,0.00208,0.04166,0.28775,0.10431,0.03812,2911562.30000
300,0.76624,0.22167,0.03037,0.00207,0.04157,0.29193,0.10540,0.03823,3211259.30000
360,0.75297,0.22412,0.03009,0.00207,0.04180,0.27826,0.10577,0.03828,3197534.35000
420,0.67346,0.17462,0.02899,0.00313,0.04082,0.25683,0.10496,0.03752,2080022.75000
480,0.68637,0.17771,0.02920,0.00258,0.04113,0.26907,0.10364,0.03757,2143202.10000
540,0.73282,0.21446,0.02969,0.00275,0.04109,0.27915,0.10288,0.03772,2652802.15000
