frame,total,depth_prepass,geometry,lighting,tonemap,index_count
0,1.32010,0.07775,1.08603,0.09907,0.03890,2955774.10000
60,1.39646,0.08297,1.16185,0.09721,0.03815,3390293.45000
120,1.30726,0.05114,1.10196,0.09771,0.03826,1763572.05000
180,1.15596,0.05188,0.95197,0.09768,0.03810,1334104.85000
240,0.97671,0.05031,0.78043,0.09223,0.03770,1563999.05000
300,0.82266,0.04215,0.64102,0.08756,0.03760,942806.45000
360,1.23128,0.03725,1.04353,0.09112,0.03811,651664.20000
420,1.27307,0.03131,1.09340,0.09130,0.03807,531526.60000
480,1.07552,0.02138,0.90538,0.09228,0.03748,335265.25000
540,0.97651,0.02534,0.80630,0.09011,0.03811,394504.35000
