frame,total,depth_prepass,geometry,lighting,index_count
1090,0.54594,0.18757,0.31972,0.02751,9329834.40000
1100,0.53927,0.18279,0.31667,0.02965,9156234.00000
1110,0.54000,0.18417,0.31472,0.02940,9156234.00000
1120,0.54848,0.18442,0.32245,0.03116,9156234.00000
1130,0.54168,0.18587,0.31627,0.02913,9153888.00000
1140,0.54757,0.18157,0.32598,0.02829,8888382.00000
1150,0.45138,0.14526,0.26994,0.02614,6681090.00000
1160,0.41921,0.13696,0.24976,0.02166,7146947.40000
1170,0.51567,0.18247,0.29540,0.02706,9101922.00000
1180,0.53548,0.18315,0.31137,0.02996,9097980.00000
1190,0.53201,0.18319,0.30794,0.03032,9099990.00000
1200,0.51150,0.18260,0.29147,0.02619,9103005.00000
1210,0.51590,0.18269,0.29675,0.02671,9103881.00000
1220,0.54457,0.18381,0.32186,0.02851,9103005.00000
1230,0.52674,0.18326,0.30590,0.02663,9103013.40000
1240,0.50573,0.18423,0.28631,0.02458,9103039.20000
1250,0.50972,0.18389,0.29079,0.02448,9100531.50000
1260,0.51962,0.18279,0.30092,0.02594,9094303.20000
1270,0.53045,0.18366,0.31077,0.02512,9091825.20000
1280,0.53263,0.17811,0.32155,0.02232,8847516.90000
1290,0.53026,0.17699,0.31925,0.02293,8728518.00000
1300,0.50194,0.17276,0.29016,0.02814,8236771.20000
1310,0.38418,0.12071,0.23441,0.01895,6191688.00000
1320,0.43453,0.13786,0.26552,0.02030,6862126.50000
1330,0.39170,0.11522,0.24884,0.01732,5573805.00000
1340,0.35146,0.11277,0.21187,0.01704,6060954.00000
1350,0.42434,0.14437,0.25205,0.01719,6881545.80000
1360,0.59197,0.19560,0.36444,0.02152,9634320.90000
1370,0.60636,0.22364,0.34636,0.02578,10864779.00000
1380,0.61896,0.22351,0.35762,0.02769,10864773.60000
1390,0.64460,0.22455,0.38031,0.02952,10864773.00000
1400,0.64717,0.22537,0.38320,0.02854,10864774.80000
1410,0.62892,0.21972,0.37672,0.02242,10566703.20000
1420,0.60752,0.21554,0.36102,0.02015,10592118.60000
1430,0.63398,0.22661,0.37482,0.02285,10864791.00000
1440,0.63511,0.22526,0.37601,0.02313,10864798.20000
1450,0.63842,0.22537,0.37970,0.02368,10864803.00000
1460,0.63944,0.22552,0.37896,0.02467,10864803.00000
1470,0.64228,0.22619,0.38100,0.02523,10864803.00000
1480,0.64732,0.22810,0.38379,0.02521,10864807.80000
1490,0.64664,0.22908,0.38229,0.02496,10864813.20000
1500,0.65120,0.23157,0.38560,0.02410,10864818.60000
1510,0.65312,0.23470,0.38469,0.02368,10864824.00000
1520,0.65316,0.23610,0.38310,0.02342,10864827.00000
1530,0.64237,0.23448,0.37462,0.02350,10864822.20000
1540,0.62937,0.23181,0.36524,0.02263,10864824.00000
1550,0.63057,0.23295,0.36484,0.02242,10864827.00000
1560,0.63274,0.23480,0.36494,0.02294,10864828.20000
1570,0.62747,0.23606,0.35805,0.02330,10869039.60000
1580,0.63318,0.24172,0.35650,0.02524,10951032.60000
1590,0.63205,0.24355,0.35086,0.02741,10974487.80000
1600,0.62727,0.24238,0.34711,0.02801,10974497.40000
1610,0.61919,0.24156,0.34077,0.02695,10974504.00000
1620,0.61142,0.24104,0.33443,0.02611,10974501.00000
1630,0.60085,0.24229,0.32502,0.02384,10974495.00000
1640,0.59392,0.24258,0.31843,0.02309,10974492.00000
1650,0.58970,0.24270,0.31462,0.02235,10974492.00000
1660,0.58673,0.24346,0.31126,0.02190,10974493.80000
1670,0.58343,0.24376,0.30843,0.02142,10974916.20000
1680,0.58565,0.24552,0.30938,0.02063,11108102.10000
1690,0.58826,0.24583,0.31171,0.02064,11241013.20000
1700,0.58289,0.24601,0.30747,0.01933,11241018.60000
1710,0.58012,0.24712,0.30412,0.01890,11241024.00000
1720,0.57806,0.24874,0.30130,0.01816,11241025.80000
1730,0.57282,0.24749,0.29762,0.01764,11241037.20000
1740,0.56479,0.24498,0.29308,0.01666,11241052.20000
1750,0.56002,0.24457,0.28910,0.01650,11241054.00000
1760,0.55664,0.24441,0.28614,0.01609,11241054.00000
1770,0.55644,0.24568,0.28470,0.01622,11241054.00000
1780,0.55806,0.24964,0.28250,0.01598,11241054.00000
1790,0.55774,0.25029,0.28153,0.01598,11241054.00000
1800,0.55609,0.25038,0.28005,0.01583,11241054.00000
1810,0.55591,0.25054,0.27997,0.01576,11241049.80000
1820,0.55789,0.25076,0.28151,0.01586,11241039.60000
1830,0.56012,0.25118,0.28325,0.01598,11241032.40000
1840,0.56290,0.25128,0.28557,0.01602,11241024.00000
1850,0.56652,0.25128,0.28882,0.01624,11241018.00000
1860,0.56905,0.25094,0.29162,0.01650,11241019.80000
1870,0.57400,0.25111,0.29608,0.01677,11241019.80000
1880,0.57790,0.25088,0.29971,0.01732,11241012.60000
1890,0.58786,0.25112,0.30892,0.01775,11241006.00000
1900,0.59406,0.25088,0.31526,0.01824,11241003.00000
1910,0.59264,0.25046,0.31359,0.01866,11240994.00000
1920,0.60200,0.25018,0.32276,0.01947,11240985.60000
1930,0.60520,0.24994,0.32476,0.02061,11240971.20000
1940,0.60998,0.24955,0.32810,0.02234,11240961.00000
1950,0.61344,0.24800,0.33008,0.02374,11240949.00000
1960,0.61868,0.24697,0.33569,0.02570,11240934.60000
1970,0.62444,0.24618,0.34108,0.02708,11240930.40000
1980,0.63145,0.24423,0.34818,0.02856,11161169.70000
