frame,total,visibility,gbuffer,lighting,index_count
1090,0.47384,0.28751,0.15498,0.02130,9329834.40000
1100,0.47434,0.28677,0.15520,0.02201,9156234.00000
1110,0.47315,0.28627,0.15498,0.02146,9156234.00000
1120,0.47047,0.28469,0.15462,0.02108,9156234.00000
1130,0.47066,0.28552,0.15446,0.02071,9153888.00000
1140,0.45604,0.27205,0.15400,0.01999,8888382.00000
1150,0.39858,0.21544,0.15412,0.01944,6681090.00000
1160,0.39746,0.21379,0.15447,0.01905,7146947.40000
1170,0.46991,0.28537,0.15434,0.02008,9101922.00000
1180,0.46231,0.27749,0.15442,0.02034,9097980.00000
1190,0.46174,0.27710,0.15453,0.02009,9099990.00000
1200,0.46382,0.27969,0.15431,0.01970,9103005.00000
1210,0.46197,0.27736,0.15437,0.02004,9103881.00000
1220,0.45988,0.27482,0.15445,0.02056,9103005.00000
1230,0.45711,0.27297,0.15427,0.01986,9103013.40000
1240,0.46381,0.28017,0.15378,0.01956,9103039.20000
1250,0.46413,0.27952,0.15398,0.02062,9100531.50000
1260,0.45426,0.27017,0.15412,0.01961,9094303.20000
1270,0.45258,0.26917,0.15378,0.01921,9091825.20000
1280,0.44892,0.26623,0.15339,0.01900,8847516.90000
1290,0.44116,0.25906,0.15281,0.01878,8728518.00000
1300,0.43192,0.25076,0.15310,0.01754,8236771.20000
1310,0.36245,0.18253,0.15293,0.01715,6191688.00000
1320,0.38352,0.20362,0.15267,0.01748,6862126.50000
1330,0.36286,0.18294,0.15284,0.01734,5573805.00000
1340,0.36956,0.19118,0.15206,0.01659,6060954.00000
1350,0.40674,0.22718,0.15278,0.01737,6881545.80000
1360,0.48532,0.30324,0.15360,0.01870,9634320.90000
1370,0.52798,0.34413,0.15414,0.01987,10864779.00000
1380,0.53055,0.34547,0.15473,0.02063,10864773.60000
1390,0.53057,0.34329,0.15504,0.02206,10864773.00000
1400,0.53082,0.34171,0.15490,0.02419,10864774.80000
1410,0.49422,0.32538,0.13730,0.02154,10566703.20000
1420,0.47034,0.31926,0.12250,0.01898,10592118.60000
1430,0.51339,0.34101,0.13799,0.02296,10864791.00000
1440,0.51455,0.34406,0.13637,0.02355,10864798.20000
1450,0.51698,0.34598,0.13670,0.02412,10864803.00000
1460,0.52303,0.34776,0.13985,0.02524,10864803.00000
1470,0.52887,0.35123,0.14126,0.02626,10864803.00000
