run-id,run-name,run-current-time,output-filepath,renderer-variant,renderer-variant-name,variable,to-use-scene,scene-path,warmup-frames,measure-frames,auto-terminate,window-width,window-height,seed,camera-pos-x,camera-pos-y,camera-pos-z,camera-lookat-x,camera-lookat-y,camera-lookat-z,camera-near-z,camera-far-z,camera-fov,object-count,material-count,geometry-count,overdraw-count,z-min,z-max,xy-minmax,radius,geometry-div,gbuffer-cnt,texture-count,texture-size,texture-sampling-count,alu-calc-count,renderer_name,pass_name_0,pass_name_1,pass_name_2,pass_name_3,pass_0_time_min_ms,pass_0_time_median_ms,pass_0_time_max_ms,pass_0_time_avg_ms,pass_0_time_p01_ms,pass_0_time_p10_ms,pass_0_time_p90_ms,pass_0_time_p99_ms,pass_1_time_min_ms,pass_1_time_median_ms,pass_1_time_max_ms,pass_1_time_avg_ms,pass_1_time_p01_ms,pass_1_time_p10_ms,pass_1_time_p90_ms,pass_1_time_p99_ms,pass_2_time_min_ms,pass_2_time_median_ms,pass_2_time_max_ms,pass_2_time_avg_ms,pass_2_time_p01_ms,pass_2_time_p10_ms,pass_2_time_p90_ms,pass_2_time_p99_ms,pass_3_time_min_ms,pass_3_time_median_ms,pass_3_time_max_ms,pass_3_time_avg_ms,pass_3_time_p01_ms,pass_3_time_p10_ms,pass_3_time_p90_ms,pass_3_time_p99_ms,variable-geometry-count,variable-overdraw-count,variable-waste-quad-count,variable-alu-op-count,param_run_id,param_run_name,param_run_current_time,param_output_filepath,param_renderer_variant_name,param_variable,param_to_use_scene,param_scene_path,param_warmup_frames,param_measure_frames,param_auto_terminate,param_window_width,param_window_height,param_seed,param_camera_pos_x,param_camera_pos_y,param_camera_pos_z,param_camera_lookat_x,param_camera_lookat_y,param_camera_lookat_z,param_camera_near_z,param_camera_far_z,param_camera_fov,param_geometry_count,param_z_min,param_z_max,param_xy_minmax,param_radius,param_geometry_div,param_gbuffer_cnt,param_texture_count,param_texture_size,param_texture_sampling_count,param_alu_calc_count,param_overdraw_count,param_renderer_variant,runner_experiment,runner_repeat,runner_run_index,runner_result_row,runner_status,runner_return_code,runner_error
10,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00010.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,4,ForwardPrepass,depth_prepass,forward,,total,0.00384,0.00426,0.00486,0.00426,0.00384,0.00400,0.00454,0.00477,0.05706,0.05734,0.05757,0.05734,0.05709,0.05722,0.05747,0.05754,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06115,0.06163,0.06221,0.06160,0.06115,0.06125,0.06192,0.06214,256,0,16,4,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,4,0,2,overdraw_alu_orthogonal,0,10,0,success,0,
11,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00011.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,4,VisBuf,visibility,resolve,,total,0.01216,0.01248,0.01302,0.01251,0.01219,0.01229,0.01277,0.01290,0.06938,0.07011,0.07069,0.07011,0.06966,0.06995,0.07027,0.07056,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08202,0.08259,0.08323,0.08262,0.08218,0.08234,0.08291,0.08323,256,0,16,4,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,4,0,4,overdraw_alu_orthogonal,0,11,0,success,0,
12,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00012.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,8,Forward,forward,,,total,0.10163,0.10224,0.10278,0.10225,0.10170,0.10195,0.10259,0.10275,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10163,0.10224,0.10278,0.10225,0.10170,0.10195,0.10259,0.10275,256,0,16,8,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,8,0,1,overdraw_alu_orthogonal,0,12,0,success,0,
13,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00013.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,8,ForwardPrepass,depth_prepass,forward,,total,0.00390,0.00432,0.00614,0.00431,0.00390,0.00400,0.00461,0.00490,0.09955,0.10003,0.10074,0.09996,0.09958,0.09965,0.10019,0.10032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10358,0.10429,0.10573,0.10427,0.10362,0.10384,0.10470,0.10512,256,0,16,8,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,8,0,2,overdraw_alu_orthogonal,0,13,0,success,0,
14,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00014.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,8,VisBuf,visibility,resolve,,total,0.01222,0.01251,0.01286,0.01255,0.01226,0.01238,0.01277,0.01286,0.10733,0.10768,0.10794,0.10767,0.10733,0.10749,0.10781,0.10787,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11981,0.12019,0.12070,0.12022,0.11981,0.12000,0.12051,0.12067,256,0,16,8,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,8,0,4,overdraw_alu_orthogonal,0,14,0,success,0,
15,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00015.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,12,Forward,forward,,,total,0.14371,0.14461,0.14534,0.14457,0.14371,0.14416,0.14499,0.14525,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14371,0.14461,0.14534,0.14457,0.14371,0.14416,0.14499,0.14525,256,0,16,12,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,12,0,1,overdraw_alu_orthogonal,0,15,0,success,0,
16,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00016.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,12,ForwardPrepass,depth_prepass,forward,,total,0.00390,0.00429,0.00474,0.00430,0.00397,0.00406,0.00458,0.00464,0.14160,0.14227,0.14269,0.14219,0.14163,0.14173,0.14250,0.14266,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14560,0.14650,0.14720,0.14649,0.14566,0.14602,0.14694,0.14720,256,0,16,12,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,12,0,2,overdraw_alu_orthogonal,0,16,0,success,0,
17,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00017.csv,4,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,12,VisBuf,visibility,resolve,,total,0.01219,0.01251,0.01290,0.01253,0.01222,0.01238,0.01277,0.01283,0.14586,0.14621,0.14653,0.14620,0.14589,0.14605,0.14637,0.14643,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15834,0.15872,0.15920,0.15873,0.15837,0.15853,0.15901,0.15920,256,0,16,12,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,12,0,4,overdraw_alu_orthogonal,0,17,0,success,0,
18,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00018.csv,1,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,16,Forward,forward,,,total,0.18554,0.18666,0.18736,0.18660,0.18563,0.18602,0.18707,0.18730,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18554,0.18666,0.18736,0.18660,0.18563,0.18602,0.18707,0.18730,256,0,16,16,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,16,0,1,overdraw_alu_orthogonal,0,18,0,success,0,
19,overdraw_alu_orthogonal,,C:\Users\mgkim15\AppData\Local\Temp\tvbperf_yxi18ypg\run_00019.csv,2,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0,0,-10,0,0,0,0.1,1000,0.11,1,1,1,0,-1,1,1,0.5,16,1,1,256,1,16,ForwardPrepass,depth_prepass,forward,,total,0.00390,0.00432,0.00477,0.00433,0.00390,0.00410,0.00461,0.00477,0.18358,0.18458,0.18502,0.18436,0.18362,0.18384,0.18477,0.18493,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18768,0.18880,0.18954,0.18868,0.18778,0.18806,0.18925,0.18944,256,0,16,16,0,no-run-name,,temp.csv,no-variant-name,1,0,assets/scenes/unpacked/main_sponza/NewSponza_Main_glTF_003.gltf,600,120,1,1280,720,0,0.0,0.0,-10.0,0.0,0.0,0.0,0.1,1000.0,0.11,1,-1.0,1.0,1.0,0.5,16,1,1,256,1,16,0,2,overdraw_alu_orthogonal,0,19,0,success,0,
