renderer_name,factor,level,mean_total_time_ms,std_total_time_ms,count,normalized_to_renderer_grand_mean
DonutDeferredPrepass,material-assign-max-open,1.0,0.06212925925925926,0.0032508542379431973,27,1.0000973771755852
DonutDeferredPrepass,material-assign-max-open,64.0,0.06210962962962963,0.0033026067577008604,27,0.9997813981772585
DonutDeferredPrepass,material-assign-max-open,255.0,0.062130740740740736,0.003178147653448869,27,1.000121224647157
DonutDeferredPrepass,geometry-div,8.0,0.05821703703703704,0.00034790377554294724,27,0.9371221666222841
DonutDeferredPrepass,geometry-div,64.0,0.06217925925925926,0.0003104949637387401,27,1.0009022293411343
DonutDeferredPrepass,geometry-div,128.0,0.06597333333333333,0.0003418276668822423,27,1.0619756040365822
DonutDeferredPrepass,material-assign-locality,0.0,0.062070370370370366,0.003301232265826581,27,0.999149440180605
DonutDeferredPrepass,material-assign-locality,0.5,0.06214851851851852,0.0031372031930756213,27,1.000407394306019
DonutDeferredPrepass,material-assign-locality,1.0,0.062150740740740736,0.003291146545513523,27,1.0004431655133765
DonutDeferredPrepass,material-assign-diversity,0.0,0.062138148148148144,0.0032501112845290943,27,1.000240462005016
DonutDeferredPrepass,material-assign-diversity,0.5,0.06213111111111111,0.003189753225725408,27,1.0001271865150498
DonutDeferredPrepass,material-assign-diversity,1.0,0.06210037037037037,0.003292049258302241,27,0.9996323514799345
DonutVisGBuffer,material-assign-max-open,1.0,0.11691592592592592,0.0018240746004887331,27,1.0019265804625064
DonutVisGBuffer,material-assign-max-open,64.0,0.11651296296296296,0.0014403573670201861,27,0.9984733357455264
DonutVisGBuffer,material-assign-max-open,255.0,0.11664444444444444,0.001512500052977327,27,0.9996000837919675
DonutVisGBuffer,geometry-div,8.0,0.1148462962962963,0.00036649218847954463,27,0.9841906140300763
DonutVisGBuffer,geometry-div,64.0,0.11670296296296297,0.000642727450400694,27,1.000101566021088
DonutVisGBuffer,geometry-div,128.0,0.11852407407407407,0.0004543825841331631,27,1.0157078199488363
DonutVisGBuffer,material-assign-locality,0.0,0.11670407407407407,0.001577001193256609,27,1.0001110878355648
DonutVisGBuffer,material-assign-locality,0.5,0.11665,0.0016788572120527538,27,0.9996476928643524
DonutVisGBuffer,material-assign-locality,1.0,0.11671925925925926,0.0015713025609002645,27,1.0002412193000834
DonutVisGBuffer,material-assign-diversity,0.0,0.11668370370370369,0.0016890396637601406,27,0.9999365212368203
DonutVisGBuffer,material-assign-diversity,0.5,0.11667037037037037,0.001503121064476489,27,0.9998222594630968
DonutVisGBuffer,material-assign-diversity,1.0,0.11671925925925926,0.0016320796688838604,27,1.0002412193000834
