material-assign-max-open,geometry-div,material-assign-locality,material-assign-diversity,DonutDeferredPrepass,DonutVisGBuffer,vis_to_deferred_ratio,vis_overhead_ms,vis_overhead_percent
1,8,0.0,0.0,0.0579,0.11448,1.9772020725388602,0.05658,97.72020725388602
1,8,0.0,0.5,0.05778,0.11547,1.9984423676012462,0.057690000000000005,99.84423676012462
1,8,0.0,1.0,0.05794,0.1145,1.9761822575077668,0.056560000000000006,97.61822575077667
1,8,0.5,0.0,0.05904,0.11445,1.9385162601626016,0.055409999999999994,93.85162601626016
1,8,0.5,0.5,0.05843,0.11449,1.9594386445319183,0.05605999999999999,95.94386445319184
1,8,0.5,1.0,0.05839,0.11498,1.9691728035622538,0.05659,96.91728035622538
1,8,1.0,0.0,0.0584,0.11467,1.9635273972602738,0.056269999999999994,96.35273972602738
1,8,1.0,0.5,0.05807,0.11568,1.9920785259169969,0.05761000000000001,99.20785259169969
1,8,1.0,1.0,0.05807,0.1144,1.9700361632512486,0.056330000000000005,97.00361632512487
1,64,0.0,0.0,0.06149,0.11625,1.8905513091559603,0.05476,89.05513091559602
1,64,0.0,0.5,0.06241,0.11718,1.8775837205576031,0.054770000000000006,87.75837205576032
1,64,0.0,1.0,0.06247,0.1172,1.8761005282535617,0.05473,87.61005282535616
1,64,0.5,0.0,0.06239,0.11645,1.8664850136239781,0.05406,86.64850136239781
1,64,0.5,0.5,0.06249,0.11635,1.8618979036645864,0.05386,86.18979036645864
1,64,0.5,1.0,0.0616,0.11777,1.9118506493506493,0.05617,91.18506493506493
1,64,1.0,0.0,0.06258,0.11808,1.8868648130393098,0.05550000000000001,88.68648130393098
1,64,1.0,0.5,0.06201,0.1177,1.8980809546847281,0.055689999999999996,89.80809546847281
1,64,1.0,1.0,0.06229,0.11614,1.8645047359126665,0.053849999999999995,86.45047359126666
1,128,0.0,0.0,0.06542,0.11959,1.8280342402934882,0.054169999999999996,82.80342402934882
1,128,0.0,0.5,0.06543,0.11817,1.8060522696011003,0.052739999999999995,80.60522696011003
1,128,0.0,1.0,0.06629,0.11942,1.8014783526927138,0.05313,80.14783526927138
1,128,0.5,0.0,0.06525,0.11896,1.8231417624521071,0.053709999999999994,82.31417624521072
1,128,0.5,0.5,0.06571,0.11848,1.803074113529143,0.05277,80.3074113529143
1,128,0.5,1.0,0.06633,0.11966,1.8040102517714458,0.05333,80.40102517714458
1,128,1.0,0.0,0.06668,0.11817,1.7721955608878224,0.051489999999999994,77.21955608878224
1,128,1.0,0.5,0.06643,0.11913,1.7933162727683274,0.0527,79.33162727683273
1,128,1.0,1.0,0.0662,0.11891,1.796223564954683,0.05271000000000001,79.6223564954683
64,8,0.0,0.0,0.05808,0.11468,1.9745179063360883,0.056600000000000004,97.45179063360882
64,8,0.0,0.5,0.05919,0.11531,1.9481331305963845,0.056119999999999996,94.81331305963845
64,8,0.0,1.0,0.05739,0.11561,2.0144624499041646,0.05822000000000001,101.44624499041646
64,8,0.5,0.0,0.05814,0.11456,1.9704162366701066,0.05642,97.04162366701065
64,8,0.5,0.5,0.05807,0.11461,1.973652488376098,0.05654000000000001,97.3652488376098
64,8,0.5,1.0,0.05825,0.11462,1.9677253218884119,0.056369999999999996,96.77253218884118
64,8,1.0,0.0,0.05799,0.11471,1.978099672357303,0.056720000000000007,97.8099672357303
64,8,1.0,0.5,0.05798,0.11483,1.9805105208692655,0.056850000000000005,98.05105208692655
64,8,1.0,1.0,0.05829,0.11506,1.973923486018185,0.056769999999999994,97.3923486018185
64,64,0.0,0.0,0.06212,0.11649,1.8752414681262073,0.054369999999999995,87.52414681262073
64,64,0.0,0.5,0.06202,0.11614,1.872621734924218,0.054119999999999994,87.2621734924218
64,64,0.0,1.0,0.06204,0.11629,1.8744358478401033,0.05425000000000001,87.44358478401033
64,64,0.5,0.0,0.06191,0.11629,1.8783718300759167,0.054380000000000005,87.83718300759166
64,64,0.5,0.5,0.06237,0.11614,1.8621131954465286,0.05376999999999999,86.21131954465287
64,64,0.5,1.0,0.06225,0.11624,1.867309236947791,0.053989999999999996,86.73092369477911
64,64,1.0,0.0,0.06207,0.11651,1.8770742709843724,0.05444,87.70742709843724
64,64,1.0,0.5,0.06188,0.11665,1.8851001939237235,0.054770000000000006,88.51001939237236
64,64,1.0,1.0,0.06237,0.1165,1.8678852012185345,0.054130000000000005,86.78852012185345
64,128,0.0,0.0,0.06625,0.11825,1.7849056603773583,0.05199999999999999,78.49056603773583
64,128,0.0,0.5,0.06596,0.11869,1.7994238932686475,0.05273,79.94238932686474
64,128,0.0,1.0,0.06618,0.11813,1.7849803566032032,0.051949999999999996,78.49803566032033
64,128,0.5,0.0,0.06626,0.11827,1.78493812254754,0.05201,78.493812254754
64,128,0.5,0.5,0.06603,0.1182,1.7900954111767378,0.052169999999999994,79.00954111767378
64,128,0.5,1.0,0.06613,0.11819,1.7872372599425377,0.05206000000000001,78.72372599425377
64,128,1.0,0.0,0.06594,0.11835,1.7948134667879891,0.05241,79.48134667879891
64,128,1.0,0.5,0.06591,0.1183,1.794871794871795,0.052390000000000006,79.48717948717949
64,128,1.0,1.0,0.06589,0.11823,1.7943542267415389,0.05234,79.43542267415388
255,8,0.0,0.0,0.05803,0.11489,1.9798380148199208,0.05686000000000001,97.98380148199209
255,8,0.0,0.5,0.05825,0.11484,1.9715021459227466,0.056589999999999994,97.15021459227466
255,8,0.0,1.0,0.05826,0.11504,1.9745966357706832,0.056780000000000004,97.45966357706833
255,8,0.5,0.0,0.05818,0.11526,1.9810931591612237,0.05708,98.10931591612237
255,8,0.5,0.5,0.0585,0.11463,1.9594871794871793,0.05612999999999999,95.94871794871793
255,8,0.5,1.0,0.05834,0.11459,1.9641755227973945,0.056249999999999994,96.41755227973945
255,8,1.0,0.0,0.0583,0.11454,1.9646655231560892,0.056240000000000005,96.46655231560892
255,8,1.0,0.5,0.05826,0.11476,1.969790593889461,0.0565,96.97905938894611
255,8,1.0,1.0,0.05834,0.11519,1.9744600617072334,0.05685,97.44600617072334
255,64,0.0,0.0,0.06244,0.11655,1.866591928251121,0.05411,86.6591928251121
255,64,0.0,0.5,0.06211,0.11622,1.8711962646916762,0.054110000000000005,87.11962646916763
255,64,0.0,1.0,0.06223,0.11639,1.8703197814558894,0.05415999999999999,87.03197814558894
255,64,0.5,0.0,0.06275,0.11863,1.8905179282868525,0.05588,89.05179282868525
255,64,0.5,0.5,0.06187,0.11665,1.8854048812025215,0.05478,88.54048812025215
255,64,0.5,1.0,0.06219,0.11653,1.8737739186364366,0.05433999999999999,87.37739186364367
255,64,1.0,0.0,0.06207,0.11641,1.8754631867246656,0.05434,87.54631867246655
255,64,1.0,0.5,0.06266,0.11655,1.860038301947016,0.05389000000000001,86.00383019470159
255,64,1.0,1.0,0.06176,0.11668,1.8892487046632125,0.054920000000000004,88.92487046632125
255,128,0.0,0.0,0.06646,0.11834,1.7806199217574479,0.051879999999999996,78.06199217574479
255,128,0.0,0.5,0.06604,0.11832,1.791641429436705,0.05227999999999999,79.16414294367048
255,128,0.0,1.0,0.06572,0.11857,1.8041692026780278,0.052849999999999994,80.41692026780278
255,128,0.5,0.0,0.06556,0.11813,1.8018608907870655,0.052570000000000006,80.18608907870654
255,128,0.5,0.5,0.06585,0.11825,1.7957479119210324,0.05239999999999999,79.57479119210325
255,128,0.5,1.0,0.06573,0.11817,1.7978092195344593,0.05244,79.78092195344593
255,128,1.0,0.0,0.06603,0.1185,1.7946388005452065,0.05246999999999999,79.46388005452066
255,128,1.0,0.5,0.06583,0.11836,1.7979644538964,0.05253000000000001,79.79644538963998
