sweep,x_value,DonutDeferredPrepass,DonutVisGBuffer,vis_to_deferred_ratio,vis_overhead_ms,vis_overhead_percent
geometry-div,8.0,0.05798,0.11481,1.980165574335978,0.05683,98.01655743359781
geometry-div,16.0,0.05861,0.11494,1.9610987886026274,0.05633,96.10987886026274
geometry-div,24.0,0.05918,0.11494,1.9422102061507265,0.05576,94.22102061507265
geometry-div,32.0,0.05993,0.11507,1.9200734189888204,0.05514000000000001,92.00734189888205
geometry-div,40.0,0.06095,0.11529,1.8915504511894998,0.054340000000000006,89.15504511894999
geometry-div,48.0,0.06103,0.11546,1.8918564640340814,0.05442999999999999,89.18564640340814
geometry-div,56.0,0.06139,0.11617,1.8923277406743768,0.054779999999999995,89.23277406743767
geometry-div,64.0,0.0621,0.1164075,1.8745169082125603,0.054307499999999995,87.45169082125604
geometry-div,72.0,0.06255,0.11682,1.8676258992805757,0.05427,86.76258992805757
geometry-div,80.0,0.0631,0.11705,1.8549920760697305,0.05395,85.49920760697304
geometry-div,88.0,0.0637,0.11697,1.8362637362637362,0.05327,83.62637362637362
geometry-div,96.0,0.06415,0.11701,1.8240062353858146,0.052860000000000004,82.40062353858147
geometry-div,104.0,0.06453,0.11696,1.8124903145823645,0.05242999999999999,81.24903145823646
geometry-div,112.0,0.06462,0.1174,1.8167749922624576,0.05278000000000001,81.67749922624577
geometry-div,120.0,0.0652,0.11803,1.810276073619632,0.05283,81.02760736196319
geometry-div,128.0,0.06572,0.11845,1.8023432744978698,0.05273,80.23432744978697
material-assign-diversity,0.0,0.06195,0.11667,1.8832929782082324,0.05472,88.32929782082324
material-assign-diversity,0.05,0.06222,0.1163,1.869173899067824,0.05408,86.91738990678239
material-assign-diversity,0.1,0.06211,0.1164,1.8740943487361135,0.054290000000000005,87.40943487361135
material-assign-diversity,0.15,0.0621,0.11638,1.874074074074074,0.054279999999999995,87.4074074074074
material-assign-diversity,0.2,0.06208,0.11633,1.8738724226804122,0.05425,87.38724226804122
material-assign-diversity,0.25,0.06215,0.11631,1.8714400643604183,0.05416,87.14400643604183
material-assign-diversity,0.3,0.06206,0.11663,1.8793103448275863,0.05457,87.93103448275863
material-assign-diversity,0.35,0.06211,0.11653,1.8761874094348736,0.054419999999999996,87.61874094348737
material-assign-diversity,0.4,0.06222,0.11639,1.8706203792992606,0.054169999999999996,87.06203792992606
material-assign-diversity,0.45,0.06203,0.11638,1.8761889408350798,0.054349999999999996,87.61889408350798
material-assign-diversity,0.5,0.0621,0.1164075,1.8745169082125603,0.054307499999999995,87.45169082125604
material-assign-diversity,0.55,0.06222,0.11642,1.8711025393764062,0.0542,87.11025393764062
