scene,metric,metric_label,renderer,series,series_kind,pearson_r
sponza,avg_overdraw,Average overdraw,VisBuf,tonemap,pass,0.4656391920446003
sponza,max_overdraw,Maximum overdraw,Deferred,total,total,0.6699162936959899
sponza,max_overdraw,Maximum overdraw,Deferred,geometry,pass,0.6958944412576274
sponza,max_overdraw,Maximum overdraw,Deferred,lighting,pass,-0.11200229715563272
sponza,max_overdraw,Maximum overdraw,Deferred,tonemap,pass,-0.023746026614504045
sponza,max_overdraw,Maximum overdraw,Prepass,total,total,0.6553298200367044
sponza,max_overdraw,Maximum overdraw,Prepass,depth_prepass,pass,0.7563841864329471
sponza,max_overdraw,Maximum overdraw,Prepass,geometry,pass,0.5536390283268317
sponza,max_overdraw,Maximum overdraw,Prepass,lighting,pass,0.03153414498595791
sponza,max_overdraw,Maximum overdraw,Prepass,tonemap,pass,0.42191697828847596
sponza,max_overdraw,Maximum overdraw,VisBuf,total,total,0.5772436471847529
sponza,max_overdraw,Maximum overdraw,VisBuf,visibility,pass,0.7774234358587477
sponza,max_overdraw,Maximum overdraw,VisBuf,gbuffer,pass,0.4627706815007376
sponza,max_overdraw,Maximum overdraw,VisBuf,lighting,pass,0.012401185366346022
sponza,max_overdraw,Maximum overdraw,VisBuf,tonemap,pass,0.30491842386533957
sponza,rasterized_triangles,Rasterized triangle count,Deferred,total,total,0.7034684640207516
sponza,rasterized_triangles,Rasterized triangle count,Deferred,geometry,pass,0.7700885254027217
sponza,rasterized_triangles,Rasterized triangle count,Deferred,lighting,pass,-0.27146001446489204
sponza,rasterized_triangles,Rasterized triangle count,Deferred,tonemap,pass,-0.048812789598611905
sponza,rasterized_triangles,Rasterized triangle count,Prepass,total,total,0.7335357410815186
sponza,rasterized_triangles,Rasterized triangle count,Prepass,depth_prepass,pass,0.840106378073902
sponza,rasterized_triangles,Rasterized triangle count,Prepass,geometry,pass,0.6226729534666234
sponza,rasterized_triangles,Rasterized triangle count,Prepass,lighting,pass,-0.006224797462159475
sponza,rasterized_triangles,Rasterized triangle count,Prepass,tonemap,pass,0.35034984931741114
sponza,rasterized_triangles,Rasterized triangle count,VisBuf,total,total,0.7474613876317201
sponza,rasterized_triangles,Rasterized triangle count,VisBuf,visibility,pass,0.8819817375683755
sponza,rasterized_triangles,Rasterized triangle count,VisBuf,gbuffer,pass,0.642122578411128
sponza,rasterized_triangles,Rasterized triangle count,VisBuf,lighting,pass,-0.0993749496351914
sponza,rasterized_triangles,Rasterized triangle count,VisBuf,tonemap,pass,0.2196221579522648
sponza,skipped_triangles,Skipped triangle count,Deferred,total,total,0.5953652599364662
sponza,skipped_triangles,Skipped triangle count,Deferred,geometry,pass,0.6650165078162498
sponza,skipped_triangles,Skipped triangle count,Deferred,lighting,pass,-0.205063134006539
sponza,skipped_triangles,Skipped triangle count,Deferred,tonemap,pass,0.050122401952399795
sponza,skipped_triangles,Skipped triangle count,Prepass,total,total,0.7033991749572722
sponza,skipped_triangles,Skipped triangle count,Prepass,depth_prepass,pass,0.9885806416559203
sponza,skipped_triangles,Skipped triangle count,Prepass,geometry,pass,0.6081999710197386
sponza,skipped_triangles,Skipped triangle count,Prepass,lighting,pass,-0.13046549822276682
sponza,skipped_triangles,Skipped triangle count,Prepass,tonemap,pass,0.06160524762073199
sponza,skipped_triangles,Skipped triangle count,VisBuf,total,total,0.6179918094853473
sponza,skipped_triangles,Skipped triangle count,VisBuf,visibility,pass,0.9822736829923279
sponza,skipped_triangles,Skipped triangle count,VisBuf,gbuffer,pass,0.4678119233972173
sponza,skipped_triangles,Skipped triangle count,VisBuf,lighting,pass,-0.18127663926330193
sponza,skipped_triangles,Skipped triangle count,VisBuf,tonemap,pass,-0.017338781869925098
sponza,quad_instances,Quad instances,Deferred,total,total,0.7276992393200801
sponza,quad_instances,Quad instances,Deferred,geometry,pass,0.730709043414574
sponza,quad_instances,Quad instances,Deferred,lighting,pass,-0.145248486853617
sponza,quad_instances,Quad instances,Deferred,tonemap,pass,-0.015981339996411457
sponza,quad_instances,Quad instances,Prepass,total,total,0.5594051112799546
sponza,quad_instances,Quad instances,Prepass,depth_prepass,pass,0.47498847280454987
sponza,quad_instances,Quad instances,Prepass,geometry,pass,0.4635076021807795
sponza,quad_instances,Quad instances,Prepass,lighting,pass,0.26428210291166915
sponza,quad_instances,Quad instances,Prepass,tonemap,pass,0.7637688911206493
sponza,quad_instances,Quad instances,VisBuf,total,total,0.6045741882016978
sponza,quad_instances,Quad instances,VisBuf,visibility,pass,0.5593188740470463
sponza,quad_instances,Quad instances,VisBuf,gbuffer,pass,0.552873181664917
sponza,quad_instances,Quad instances,VisBuf,lighting,pass,0.12910279607812236
sponza,quad_instances,Quad instances,VisBuf,tonemap,pass,0.6288518057573254
sponza,quad_covered_lanes,Quad covered lanes,Deferred,total,total,0.6745027719535284
sponza,quad_covered_lanes,Quad covered lanes,Deferred,geometry,pass,0.6576228220892554
sponza,quad_covered_lanes,Quad covered lanes,Deferred,lighting,pass,-0.08664231691980301
sponza,quad_covered_lanes,Quad covered lanes,Deferred,tonemap,pass,0.010267268881269788
sponza,quad_covered_lanes,Quad covered lanes,Prepass,total,total,0.4549695088109764
sponza,quad_covered_lanes,Quad covered lanes,Prepass,depth_prepass,pass,0.3347860162099773
sponza,quad_covered_lanes,Quad covered lanes,Prepass,geometry,pass,0.37306473987718114
sponza,quad_covered_lanes,Quad covered lanes,Prepass,lighting,pass,0.31823047659553144
sponza,quad_covered_lanes,Quad covered lanes,Prepass,tonemap,pass,0.8120536396142458
sponza,quad_covered_lanes,Quad covered lanes,VisBuf,total,total,0.5033462594919235
sponza,quad_covered_lanes,Quad covered lanes,VisBuf,visibility,pass,0.42356220623586466
sponza,quad_covered_lanes,Quad covered lanes,VisBuf,gbuffer,pass,0.4694757594521848
sponza,quad_covered_lanes,Quad covered lanes,VisBuf,lighting,pass,0.18412416912885285
sponza,quad_covered_lanes,Quad covered lanes,VisBuf,tonemap,pass,0.6886328841429654
sponza,quad_waste_lanes,Quad waste lanes,Deferred,total,total,0.7305264602118757
sponza,quad_waste_lanes,Quad waste lanes,Deferred,geometry,pass,0.7812719011063701
sponza,quad_waste_lanes,Quad waste lanes,Deferred,lighting,pass,-0.26224474389533187
sponza,quad_waste_lanes,Quad waste lanes,Deferred,tonemap,pass,-0.07689492786201964
sponza,quad_waste_lanes,Quad waste lanes,Prepass,total,total,0.7157476596432876
sponza,quad_waste_lanes,Quad waste lanes,Prepass,depth_prepass,pass,0.7327554387977527
sponza,quad_waste_lanes,Quad waste lanes,Prepass,geometry,pass,0.6025363991135468
sponza,quad_waste_lanes,Quad waste lanes,Prepass,lighting,pass,0.0875414363377513
sponza,quad_waste_lanes,Quad waste lanes,Prepass,tonemap,pass,0.5141186013401777
sponza,quad_waste_lanes,Quad waste lanes,VisBuf,total,total,0.745298135181888
sponza,quad_waste_lanes,Quad waste lanes,VisBuf,visibility,pass,0.7916695312974423
sponza,quad_waste_lanes,Quad waste lanes,VisBuf,gbuffer,pass,0.6593047278017747
sponza,quad_waste_lanes,Quad waste lanes,VisBuf,lighting,pass,-0.026790316003920067
sponza,quad_waste_lanes,Quad waste lanes,VisBuf,tonemap,pass,0.374713836890723
sponza,quad_efficiency,Quad efficiency,Deferred,total,total,0.477073375416262
sponza,quad_efficiency,Quad efficiency,Deferred,geometry,pass,0.4072395441788228
sponza,quad_efficiency,Quad efficiency,Deferred,lighting,pass,0.23832448574090556
sponza,quad_efficiency,Quad efficiency,Deferred,tonemap,pass,0.23021771955099193
sponza,quad_efficiency,Quad efficiency,Prepass,total,total,0.4271855795353801
sponza,quad_efficiency,Quad efficiency,Prepass,depth_prepass,pass,0.09503549436914303
sponza,quad_efficiency,Quad efficiency,Prepass,geometry,pass,0.45212598393016257
sponza,quad_efficiency,Quad efficiency,Prepass,lighting,pass,0.23503498228983202
sponza,quad_efficiency,Quad efficiency,Prepass,tonemap,pass,0.6698063131650015
sponza,quad_efficiency,Quad efficiency,VisBuf,total,total,0.3817282944879289
sponza,quad_efficiency,Quad efficiency,VisBuf,visibility,pass,0.13657731385855168
sponza,quad_efficiency,Quad efficiency,VisBuf,gbuffer,pass,0.3963950068784584
sponza,quad_efficiency,Quad efficiency,VisBuf,lighting,pass,0.37198112375029824
sponza,quad_efficiency,Quad efficiency,VisBuf,tonemap,pass,0.5817664412024829
sponza_ivy,triangle_count,Visible triangle count,Deferred,total,total,0.6571932199328787
sponza_ivy,triangle_count,Visible triangle count,Deferred,geometry,pass,0.7181814186031437
sponza_ivy,triangle_count,Visible triangle count,Deferred,lighting,pass,-0.15736862727674708
sponza_ivy,triangle_count,Visible triangle count,Deferred,tonemap,pass,-0.34796754208629654
sponza_ivy,triangle_count,Visible triangle count,Prepass,total,total,0.8788806035189143
sponza_ivy,triangle_count,Visible triangle count,Prepass,depth_prepass,pass,0.9630552754856807
sponza_ivy,triangle_count,Visible triangle count,Prepass,geometry,pass,0.7673825721919576
sponza_ivy,triangle_count,Visible triangle count,Prepass,lighting,pass,-0.20561179896377352
sponza_ivy,triangle_count,Visible triangle count,Prepass,tonemap,pass,0.06091093835718531
sponza_ivy,triangle_count,Visible triangle count,VisBuf,total,total,0.8284341863037503
sponza_ivy,triangle_count,Visible triangle count,VisBuf,visibility,pass,0.9857283690578854
sponza_ivy,triangle_count,Visible triangle count,VisBuf,gbuffer,pass,0.5741930027210577
sponza_ivy,triangle_count,Visible triangle count,VisBuf,lighting,pass,-0.15423811528796863
sponza_ivy,triangle_count,Visible triangle count,VisBuf,tonemap,pass,0.18432291005294438
sponza_ivy,total_fragments,Total fragments,Deferred,total,total,0.6716669906948867
sponza_ivy,total_fragments,Total fragments,Deferred,geometry,pass,0.6886515451305908
sponza_ivy,total_fragments,Total fragments,Deferred,lighting,pass,0.02725915448936465
sponza_ivy,total_fragments,Total fragments,Deferred,tonemap,pass,-0.05459034430938479
sponza_ivy,total_fragments,Total fragments,Prepass,total,total,0.5224718917697673
sponza_ivy,total_fragments,Total fragments,Prepass,depth_prepass,pass,0.4484342019876159
sponza_ivy,total_fragments,Total fragments,Prepass,geometry,pass,0.4806986223535221
sponza_ivy,total_fragments,Total fragments,Prepass,lighting,pass,0.12792814066700445
sponza_ivy,total_fragments,Total fragments,Prepass,tonemap,pass,0.5794131937784003
sponza_ivy,total_fragments,Total fragments,VisBuf,total,total,0.5653504066700541
sponza_ivy,total_fragments,Total fragments,VisBuf,visibility,pass,0.5403601317352895
sponza_ivy,total_fragments,Total fragments,VisBuf,gbuffer,pass,0.4663136159862975
