plot_id,title,input_configs,filters,x_axis,series,metric,png,svg
experiment_31_capture_representative_frames,31_capture_representative_frames — per-experiment result,31_capture_representative_frames.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,Bistro · DonutDeferredPrepass; Bistro · DonutVisGBuffer; Sponza · DonutDeferredPrepass; Sponza · DonutVisGBuffer; SponzaIvy · DonutDeferredPrepass; SponzaIvy · DonutVisGBuffer; Synthetic · DonutVisGBuffer,GPU total time unless noted,png/experiment_31_capture_representative_frames.png,svg/experiment_31_capture_representative_frames.svg
experiment_32_nsight_representative_cases,32_nsight_representative_cases — per-experiment result,32_nsight_representative_cases.json,runner_status=success; no failed/skipped rows plotted,param_material_assign_locality,Bistro · DonutDeferredPrepass; Bistro · DonutVisGBuffer; Sponza · DonutDeferredPrepass; Sponza · DonutVisGBuffer; Synthetic · DonutVisGBuffer,GPU total time unless noted,png/experiment_32_nsight_representative_cases.png,svg/experiment_32_nsight_representative_cases.svg
locality_change,Synthetic locality change,10_synth_locality_fixed64.json,three seeds; diversity=1; success rows,param_material_assign_locality,64 open classes,GPU total time unless noted,png/locality_change.png,svg/locality_change.svg
diversity_change,Synthetic diversity change,11_synth_diversity_fixed64.json,three seeds; 64 open classes; success rows,param_material_assign_diversity,locality 0.0; locality 1.0,GPU total time unless noted,png/diversity_change.png,svg/diversity_change.svg
locality_diversity_heatmap,Synthetic locality × diversity map (64 open classes),12_synth_locality_diversity_map_fixed64.json,three seeds averaged; runner_status=success,material_assign_locality,heatmap rows=material_assign_diversity,GPU total time unless noted,png/locality_diversity_heatmap.png,svg/locality_diversity_heatmap.svg
open_bin_class_count,Synthetic material/open-bin class count,13_synth_open_bin_count_diagnostic.json,three seeds; diversity=1; success rows,param_material_assign_max_open,locality 0.0; locality 1.0,GPU total time unless noted,png/open_bin_class_count.png,svg/open_bin_class_count.svg
workload_scaling,Synthetic workload scaling,14_synth_workload_scaling.json,success rows; full configured resolution/locality matrix,param_geometry_div,1280×720 · locality 0.0; 1280×720 · locality 1.0; 1920×1080 · locality 0.0; 1920×1080 · locality 1.0; 2560×1440 · locality 0.0; 2560×1440 · locality 1.0; 3840×2160 · locality 0.0; 3840×2160 · locality 1.0,GPU total time unless noted,png/workload_scaling.png,svg/workload_scaling.svg
seed_robustness,Synthetic seed robustness,15_synth_seed_robustness.json,"fixed locality=0.5, diversity=0.5; success rows only",seed,"individual seed, mean, population std",GPU total time unless noted,png/seed_robustness.png,svg/seed_robustness.svg
renderer_comparison,Renderer comparison — synthetic and real scenes,16_synth_renderer_compare_selected.json;22_real_pbr_feature_renderer_compare_full.json,success rows; synthetic selected conditions and real full-camera PBR,scene class,renderer_name,GPU total time unless noted,png/renderer_comparison.png,svg/renderer_comparison.svg
real_bin_count,Real-scene material/open-bin count,20_real_random_bin_count_quick_all_scenes.json,three seeds; success rows,param_material_assign_max_open,Bistro; Sponza; SponzaIvy,GPU total time unless noted,png/real_bin_count.png,svg/real_bin_count.svg
real_diversity,Real-scene material diversity,21_real_random_diversity_quick_all_scenes.json,three seeds; max open=255; success rows,param_material_assign_diversity,Bistro; Sponza; SponzaIvy,GPU total time unless noted,png/real_diversity.png,svg/real_diversity.svg
resolution_scaling,Real-scene resolution scaling,24_real_resolution_scaling_pbr_quick.json,"PBR, texture=true, VFC=true, success rows",param_window_width,Bistro · DonutDeferredPrepass; Bistro · DonutVisGBuffer; Sponza · DonutDeferredPrepass; Sponza · DonutVisGBuffer,GPU total time unless noted,png/resolution_scaling.png,svg/resolution_scaling.svg
texture_vfc_ablation,Texture loading / view-frustum culling ablation,25_real_texture_vfc_ablation_quick.json,success rows; all configured 2×2 ablation combinations,to_load_texture × use_vfc,scene × renderer,GPU total time unless noted,png/texture_vfc_ablation.png,svg/texture_vfc_ablation.svg
scene_comparison,Scene comparison across real-scene experiments,20_real_random_bin_count_quick_all_scenes.json;21_real_random_diversity_quick_all_scenes.json;22_real_pbr_feature_renderer_compare_full.json;23_real_random_selected_renderer_compare_quick.json;24_real_resolution_scaling_pbr_quick.json;25_real_texture_vfc_ablation_quick.json;30_final_selected_full_camera.json,success rows; aggregates heterogeneous experiment families,scene,mean ± population std,GPU total time unless noted,png/scene_comparison.png,svg/scene_comparison.svg
synthetic_combined,Synthetic experiment family overview,10_synth_locality_fixed64.json;11_synth_diversity_fixed64.json;12_synth_locality_diversity_map_fixed64.json;13_synth_open_bin_count_diagnostic.json;14_synth_workload_scaling.json;15_synth_seed_robustness.json;16_synth_renderer_compare_selected.json,success rows; mean ± std per experiment,experiment config,mean ± population std,GPU total time unless noted,png/synthetic_combined.png,svg/synthetic_combined.svg
real_scene_combined,Real-scene experiment family overview,20_real_random_bin_count_quick_all_scenes.json;21_real_random_diversity_quick_all_scenes.json;22_real_pbr_feature_renderer_compare_full.json;23_real_random_selected_renderer_compare_quick.json;24_real_resolution_scaling_pbr_quick.json;25_real_texture_vfc_ablation_quick.json;30_final_selected_full_camera.json,success rows; mean ± std per experiment,experiment config,mean ± population std,GPU total time unless noted,png/real_scene_combined.png,svg/real_scene_combined.svg
pass_timing_breakdown,Major pass timing breakdown — final full-camera runs,30_final_selected_full_camera.json,pass slot 0 total excluded; success rows only,scene × renderer,named GPU pass,GPU total time unless noted,png/pass_timing_breakdown.png,svg/pass_timing_breakdown.svg
total_time_statistics,Total-time average / median / p90 / p99,30_final_selected_full_camera.json,final full-camera success rows,scene × renderer,ProgramResult total-time statistic,GPU total time unless noted,png/total_time_statistics.png,svg/total_time_statistics.svg
status_summary,Campaign success / salvaged / failed / skipped counts,00_smoke_synthetic_material_grid.json;01_smoke_real_pbr_feature.json;10_synth_locality_fixed64.json;11_synth_diversity_fixed64.json;12_synth_locality_diversity_map_fixed64.json;13_synth_open_bin_count_diagnostic.json;14_synth_workload_scaling.json;15_synth_seed_robustness.json;16_synth_renderer_compare_selected.json;20_real_random_bin_count_quick_all_scenes.json;21_real_random_diversity_quick_all_scenes.json;22_real_pbr_feature_renderer_compare_full.json;23_real_random_selected_renderer_compare_quick.json;24_real_resolution_scaling_pbr_quick.json;25_real_texture_vfc_ablation_quick.json;30_final_selected_full_camera.json;31_capture_representative_frames.json;32_nsight_representative_cases.json,"all runner statuses, including non-measurement cases",run count,runner status,GPU total time unless noted,png/status_summary.png,svg/status_summary.svg
