frame,total,geometry,lighting,tonemap,index_count
1100,3.64443,2.98416,0.33109,0.03853,4041469.80000
1110,3.66603,2.97111,0.33289,0.03830,3829725.00000
1120,4.23911,3.09867,0.56747,0.05067,3625378.80000
1130,4.14027,3.12634,0.56655,0.05098,3497889.30000
1140,3.69486,2.66837,0.56648,0.04955,2350612.80000
1150,3.60140,2.43920,0.56946,0.04927,1301457.60000
1160,4.24060,3.13543,0.57613,0.05554,1975792.50000
1170,6.49760,5.30542,0.58766,0.07313,3156324.60000
1180,6.16752,5.02093,0.58797,0.07359,3050540.40000
1190,6.53347,5.24146,0.58777,0.07347,2981322.90000
1200,4.90008,3.82094,0.57570,0.05602,2914107.30000
1210,4.36978,3.21837,0.57181,0.05020,2838095.10000
1220,4.05514,3.02112,0.57179,0.05034,2404130.40000
1230,4.12442,2.96758,0.57165,0.05019,2756329.80000
1240,4.06030,2.92946,0.57131,0.04984,3243857.10000
1250,3.98190,2.94719,0.57156,0.04995,3374841.30000
1260,3.91165,2.83679,0.57162,0.05036,2758986.60000
1270,3.66718,2.47269,0.57176,0.05016,1980257.70000
1280,3.23198,2.21475,0.57125,0.05012,1437031.50000
1290,1.81618,1.08522,0.57070,0.04919,1166351.70000
1300,1.41521,0.78102,0.57084,0.04981,1037250.60000
1310,2.70160,1.60756,0.99313,0.07333,1221641.40000
1320,2.80907,1.66622,1.04402,0.07316,759526.20000
1330,2.73167,1.70127,0.93076,0.07202,430540.20000
1340,3.34171,2.20807,0.70350,0.06842,694622.10000
1350,4.80093,3.50396,0.58737,0.07096,1566384.90000
1360,6.23533,5.11809,0.58641,0.07194,2940508.80000
1370,7.75962,6.48972,0.58736,0.07222,4580042.10000
1380,5.62917,4.71164,0.57270,0.05340,5117127.00000
1390,5.14701,4.25393,0.57184,0.05144,5701572.00000
1400,5.14330,4.44064,0.57130,0.05250,6038218.80000
1410,4.91104,3.96730,0.57060,0.04996,4462831.50000
1420,4.49058,3.42791,0.56896,0.04733,4482807.90000
1430,5.15956,4.52625,0.56949,0.04954,6096565.50000
1440,4.95939,4.32624,0.56932,0.04934,6378838.20000
1450,5.04042,4.40738,0.56937,0.04936,6844768.20000
1460,5.22355,4.58900,0.56977,0.05024,7461451.50000
1470,4.98786,4.35303,0.56988,0.05037,7820832.30000
1480,5.30660,4.60232,0.59883,0.05084,8167075.80000
1490,5.45943,4.82308,0.57061,0.05091,8579003.40000
1500,5.71312,4.97700,0.63758,0.05074,8897062.20000
1510,5.80028,5.11297,0.57056,0.05066,9153365.10000
1520,5.66361,4.99056,0.57015,0.04978,9295424.70000
1530,5.12342,4.44763,0.56948,0.04845,9095182.20000
1540,4.73428,3.98939,0.60064,0.04765,9066057.60000
1550,4.79748,4.10907,0.56825,0.04754,9353040.90000
1560,4.98742,4.32608,0.56832,0.04763,9720191.10000
1570,4.77406,4.10319,0.56854,0.04733,9982925.40000
1580,4.67030,3.99894,0.56868,0.04803,10171514.40000
1590,4.33703,3.69462,0.56910,0.04892,10457815.80000
1600,4.04773,3.41378,0.56935,0.04914,10653773.10000
1610,4.01644,3.38178,0.56973,0.04913,10718238.00000
1620,3.85189,3.21809,0.56902,0.04873,10718247.00000
1630,4.62002,3.97290,0.57315,0.05823,10720095.00000
1640,5.63037,4.93674,0.57792,0.06766,10736792.40000
1650,5.53373,4.83093,0.57754,0.06766,10788409.20000
1660,5.38401,4.72340,0.57736,0.06728,10885447.80000
1670,5.38349,4.69186,0.60830,0.06771,10912725.00000
1680,5.40616,4.71594,0.57752,0.06753,11006847.30000
1690,5.28555,4.57934,0.57642,0.06777,11241010.80000
1700,5.24599,4.54080,0.60497,0.06682,11241018.60000
1710,5.30646,4.58002,0.60406,0.06588,11241024.00000
1720,4.85842,4.17496,0.57397,0.06464,11241025.80000
1730,4.77496,4.10380,0.57308,0.06379,11241037.20000
1740,4.63852,3.98765,0.57195,0.06272,11159436.00000
1750,4.43922,3.75661,0.57164,0.06239,11057419.80000
1760,4.21741,3.56902,0.57099,0.06136,11241048.60000
1770,4.23688,3.58948,0.57079,0.06058,11241054.00000
1780,4.21073,3.56435,0.57033,0.05972,11241054.00000
1790,4.01842,3.37400,0.56981,0.05849,11241054.00000
1800,4.09298,3.45039,0.56954,0.05694,11241054.00000
1810,3.83382,3.19252,0.56934,0.05564,11241049.80000
1820,4.02248,3.37926,0.56953,0.05593,11241039.60000
1830,4.28650,3.64359,0.56964,0.05613,11241032.40000
1840,4.05121,3.38175,0.57015,0.05559,11241024.00000
1850,4.32673,3.65537,0.57065,0.05624,11241018.00000
1860,4.34761,3.63743,0.57093,0.05609,11241019.80000
1870,4.53828,3.86918,0.57166,0.05705,11241019.80000
1880,4.72894,4.01702,0.57224,0.05905,11241012.60000
1890,4.96909,4.20620,0.67092,0.06106,11241004.80000
1900,5.07174,4.32810,0.63328,0.06182,11240997.00000
1910,5.25728,4.57179,0.57435,0.06239,11240988.00000
1920,5.45508,4.72578,0.57552,0.06364,11240979.60000
1930,5.57790,4.87983,0.57632,0.06476,11240965.20000
1940,5.87681,5.11500,0.61774,0.06722,11240951.40000
1950,5.96870,5.28185,0.57826,0.06773,11240937.00000
1960,6.12100,5.39175,0.61970,0.06992,11240920.80000
1970,6.18768,5.49024,0.58070,0.07000,11240906.40000
1980,6.38625,5.67866,0.58148,0.07073,11048367.60000
1990,6.18877,5.52404,0.57955,0.06929,10373694.60000
2000,6.27693,5.55174,0.65163,0.06911,10223550.60000
2010,6.47822,5.73241,0.61290,0.06901,10177897.20000
2020,6.53150,5.83445,0.58068,0.06962,10158671.40000
2030,4.43493,3.80352,0.56856,0.04817,9564483.60000
2040,4.39369,3.76302,0.56814,0.04776,8650854.90000
2050,4.40300,3.77241,0.56816,0.04786,8318451.60000
2060,4.68158,4.04811,0.56930,0.04923,8665887.00000
2070,4.77138,4.04894,0.59828,0.05013,7881299.40000
2080,4.40006,3.57912,0.56992,0.04880,5397019.20000
2090,3.81803,2.62890,0.56937,0.04752,3795908.10000
2100,3.90930,2.66545,0.56952,0.04791,3118903.80000
2110,3.97822,2.94721,0.57054,0.04959,3664485.60000
2120,4.32031,3.27604,0.57207,0.05282,5019081.60000
2130,4.91164,4.10962,0.57370,0.05764,5231196.00000
2140,7.99294,7.16782,0.58818,0.08571,5636161.80000
2150,5.22679,4.58944,0.57098,0.05209,6005308.80000
2160,4.32641,3.25404,0.57090,0.05002,4074952.50000
2170,3.02633,1.89981,0.79994,0.04735,1575881.40000
2180,2.70248,1.65871,0.99138,0.04982,1637140.20000
2190,2.19808,1.33755,0.67266,0.04982,1388206.80000
2200,1.34711,0.72298,0.56602,0.04452,724267.50000
2210,1.01750,0.40114,0.56142,0.04083,522360.60000
2220,0.89416,0.27974,0.56084,0.03970,359120.40000
2230,0.70716,0.09408,0.55955,0.04083,318315.00000
2240,0.65890,0.04088,0.55954,0.04477,235974.30000
2250,0.64526,0.02510,0.55996,0.04553,40580.10000
2260,0.69374,0.06267,0.56132,0.05580,142475.40000
2270,0.97970,0.35650,0.56350,0.04587,404724.00000
2280,0.88557,0.26216,0.56330,0.04623,264973.50000
2290,0.75325,0.12832,0.56241,0.04951,205083.00000
2300,0.65795,0.03056,0.56026,0.05345,20613.00000
2310,0.64387,0.01740,0.56038,0.05297,0.00000
2320,0.64246,0.01741,0.56031,0.05167,0.00000
2330,0.64218,0.01740,0.56040,0.05123,0.00000
2340,0.64344,0.01741,0.56012,0.05265,0.00000
2350,0.64114,0.01738,0.55968,0.05101,0.00000
2360,0.64120,0.01740,0.56019,0.05071,0.00000
2370,0.64222,0.01741,0.55997,0.05150,0.00000
2380,0.64238,0.01740,0.56008,0.05148,0.00000
2390,0.64214,0.01745,0.55998,0.05151,0.00000
2400,0.64374,0.01740,0.56014,0.05224,0.00000
2410,0.64238,0.01738,0.55990,0.05216,0.00000
2420,0.64301,0.01741,0.55992,0.05257,0.00000
2430,0.64152,0.01743,0.56008,0.05102,0.00000
2440,0.64299,0.01742,0.56031,0.05222,0.00000
2450,0.64227,0.01741,0.56021,0.05174,0.00000
2460,0.64243,0.01741,0.56018,0.05138,0.00000
2470,0.64303,0.01744,0.56010,0.05235,0.00000
2480,0.64294,0.01744,0.56028,0.05211,0.00000
2490,0.64257,0.01741,0.56009,0.05211,0.00000
