frame,total,visibility,visibility_debug,index_count
0,0.25021,0.20532,0.03611,2955774.10000
60,0.29123,0.24010,0.04256,3390293.45000
120,0.18294,0.13856,0.03637,1763572.05000
180,0.12101,0.08496,0.02828,1334104.85000
240,0.11750,0.08380,0.02547,1563999.05000
300,0.09024,0.05892,0.02359,942806.45000
360,0.07469,0.04407,0.02321,651664.20000
420,0.06915,0.03825,0.02338,531526.60000
480,0.06336,0.03310,0.02324,335265.25000
540,0.06471,0.03461,0.02307,394504.35000
600,0.38667,0.32878,0.04798,4763095.10000
660,0.55707,0.49078,0.05690,7008309.50000
720,0.56122,0.49724,0.05560,6851715.25000
780,0.44580,0.39400,0.04244,6833477.10000
840,0.41817,0.38295,0.02660,7736553.50000
900,0.42899,0.39275,0.02821,7912527.20000
960,0.35987,0.32449,0.02767,6364935.35000
1020,0.30349,0.26729,0.02768,5390683.35000
1080,0.25146,0.21469,0.02917,4144249.10000
1140,0.16212,0.12918,0.02526,2469341.80000
1200,0.18527,0.15138,0.02590,2921893.50000
1260,0.11295,0.08141,0.02404,1600253.25000
1320,0.14414,0.11103,0.02365,1828604.05000
1380,0.30870,0.27367,0.02617,5316520.45000
1440,0.40274,0.36604,0.02715,7541994.90000
1500,0.46723,0.43334,0.02582,9143355.45000
1560,0.49324,0.46190,0.02320,10284076.30000
1620,0.49587,0.46682,0.02143,10793619.40000
1680,0.50539,0.47776,0.02000,11201993.95000
1740,0.50096,0.47514,0.01826,11196844.40000
1800,0.50584,0.48040,0.01789,11241036.30000
1860,0.51205,0.48497,0.01937,11241007.00000
1920,0.52129,0.49217,0.02149,11240943.40000
1980,0.49062,0.46003,0.02293,10257777.50000
2040,0.37509,0.34356,0.02364,7118236.70000
2100,0.27862,0.24455,0.02437,4779189.60000
2160,0.11570,0.08944,0.01920,1653801.50000
2220,0.03257,0.01405,0.01145,250198.20000
2280,0.02541,0.00705,0.01114,81778.25000
2340,0.02189,0.00334,0.01108,0.00000
2400,0.02397,0.00532,0.01113,0.00000
2460,0.02214,0.00372,0.01109,0.00000
